i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
64,32,2,2048,64,16,256,1,1,[64; 32; 2; 2048; 64; 16; 256; 1; 1],0.4319984759786166,0.01618178548160593,tvm
16,4,2,2048,128,64,3584,56,4,[16; 4; 2; 2048; 128; 64; 3584; 56; 4],0.13971159898210317,0.05003526348275593,tvm
64,32,2,256,128,128,2048,32,8,[64; 32; 2; 256; 128; 128; 2048; 32; 8],0.12013783998554572,0.05818738432044161,tvm
32,32,8,256,64,32,32,2,2,[32; 32; 8; 256; 64; 32; 32; 2; 2],0.043372373504098505,0.1611741784434761,tvm
16,2,2,1024,512,32,224,4,2,[16; 2; 2; 1024; 512; 32; 224; 4; 2],0.15008801699150354,0.046576047887036835,tvm
8,1,1,1024,128,32,112,2,2,[8; 1; 1; 1024; 128; 32; 112; 2; 2],0.25670256599551067,0.027231931397167723,tvm
16,8,1,256,64,32,1024,1,2,[16; 8; 1; 256; 64; 32; 1024; 1; 2],0.13368883851217106,0.052289381405840024,tvm
32,16,1,256,128,128,3584,7,8,[32; 16; 1; 256; 128; 128; 3584; 7; 8],0.26618990499991924,0.02626135152145904,tvm
2,2,1,512,64,16,56,1,1,[2; 2; 1; 512; 64; 16; 56; 1; 1],0.2048398139886558,0.03412669895830801,tvm
32,4,2,2048,64,16,3584,16,1,[32; 4; 2; 2048; 64; 16; 3584; 16; 1],0.3376646879478358,0.0207025102599612,tvm
8,4,1,512,256,64,112,1,4,[8; 4; 1; 512; 256; 64; 112; 1; 4],0.11577128298813477,0.060382043683346875,tvm
8,8,4,64,16,16,64,32,1,[8; 8; 4; 64; 16; 16; 64; 32; 1],0.05706728500081226,0.12249586898285363,tvm
64,8,8,512,128,32,14336,1,2,[64; 8; 8; 512; 128; 32; 14336; 1; 2],0.09723752448917367,0.07189103901390438,tvm
32,16,2,512,512,128,2,1,8,[32; 16; 2; 512; 512; 128; 2; 1; 8],0.027500673997565173,0.25419401238259054,tvm
16,8,4,1024,128,16,14336,4,1,[16; 8; 4; 1024; 128; 16; 14336; 4; 1],0.08949560151086189,0.07811005846827282,tvm
8,1,1,512,256,128,7168,1,8,[8; 1; 1; 512; 256; 128; 7168; 1; 8],0.23374262894503772,0.029906853953929027,tvm
32,16,1,2048,2048,32,14,14,2,[32; 16; 1; 2048; 2048; 32; 14; 14; 2],0.08007635799003765,0.08729800957651396,tvm
4,1,1,4096,256,64,112,1,4,[4; 1; 1; 4096; 256; 64; 112; 1; 4],0.2501501740189269,0.027945240070621536,tvm
64,16,4,1024,32,32,448,8,2,[64; 16; 4; 1024; 32; 32; 448; 8; 2],0.10016458801692352,0.06979020035988738,tvm
32,4,2,128,64,32,7168,2,2,[32; 4; 2; 128; 64; 32; 7168; 2; 2],0.16866002703318372,0.04144732329072431,tvm
16,8,4,2048,256,64,4,4,4,[16; 8; 4; 2048; 256; 64; 4; 4; 4],0.04036261749570258,0.17319259999456052,tvm
32,1,1,1024,128,128,7168,16,8,[32; 1; 1; 1024; 128; 128; 7168; 16; 8],0.2594269890105352,0.02694594996969566,tvm
16,8,1,1024,512,64,1024,16,4,[16; 8; 1; 1024; 512; 64; 1024; 16; 4],0.10030758200446144,0.06969071058213472,tvm
64,16,1,4096,128,128,3584,64,8,[64; 16; 1; 4096; 128; 128; 3584; 64; 8],1.9499623060110025,0.003584944511551611,tvm
8,8,8,4096,32,32,32,1,2,[8; 8; 8; 4096; 32; 32; 32; 1; 2],0.06169693198171444,0.113303959242876,tvm
64,16,1,128,64,64,14,14,4,[64; 16; 1; 128; 64; 64; 14; 14; 4],0.038082357990788296,0.18356286310731057,tvm
32,4,1,2048,16,16,224,7,1,[32; 4; 1; 2048; 16; 16; 224; 7; 1],0.3571516399970278,0.019572937329154758,tvm
16,1,1,1024,128,32,896,64,2,[16; 1; 1; 1024; 128; 32; 896; 64; 2],0.26360472600208595,0.02651889733802174,tvm
16,8,2,2048,32,32,256,64,2,[16; 8; 2; 2048; 32; 32; 256; 64; 2],0.06776125400210731,0.10316377359913187,tvm
4,4,2,2048,128,128,2,1,8,[4; 4; 2; 2048; 128; 128; 2; 1; 8],0.0667465245060157,0.10473214475813837,tvm
8,4,2,2048,64,64,32,32,4,[8; 4; 2; 2048; 64; 64; 32; 32; 4],0.08155402247211896,0.08571627069721209,tvm
16,16,2,512,128,64,224,4,4,[16; 16; 2; 512; 128; 64; 224; 4; 4],0.04998620024707634,0.13984873089199326,tvm
