kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
8,1,4,1,1792,32,2,[8; 1; 4; 1; 1792; 32; 2],0.0172040221223142,0.40632978828827143,tvm
256,2,32,8,2048,16,1,[256; 2; 32; 8; 2048; 16; 1],0.09015209099743515,0.07754125932437383,tvm
4,4,64,8,448,32,2,[4; 4; 64; 8; 448; 32; 2],0.02108620850049192,0.3315203236515273,tvm
64,16,32,16,1024,16,1,[64; 16; 32; 16; 1024; 16; 1],0.04734581724915188,0.14764781923353304,tvm
16,2,32,1,256,128,8,[16; 2; 32; 1; 256; 128; 8],0.027939310006331652,0.2502032679075635,tvm
16,8,16,2,2048,128,8,[16; 8; 16; 2; 2048; 128; 8],0.018041663250187412,0.3874646461209197,tvm
2,1,4,1,1792,32,2,[2; 1; 4; 1; 1792; 32; 2],0.029970144256367348,0.23324901631667952,tvm
128,8,32,8,1024,32,2,[128; 8; 32; 8; 1024; 32; 2],0.03071210799680557,0.2276140298605932,tvm
16,4,32,1,1792,16,1,[16; 4; 32; 1; 1792; 16; 1],0.020246476378815714,0.3452702848571207,tvm
128,8,4,4,3584,64,4,[128; 8; 4; 4; 3584; 64; 4],0.056592134991660714,0.12352434958845027,tvm
1,1,16,16,64,16,1,[1; 1; 16; 16; 64; 16; 1],0.03732588350248989,0.187283086445907,tvm
2,2,4,4,32,16,1,[2; 2; 4; 4; 32; 16; 1],0.02844862124766223,0.24572391771854718,tvm
256,8,16,8,1024,32,2,[256; 8; 16; 8; 1024; 32; 2],0.040942378240288235,0.17074012226744192,tvm
16,4,32,4,224,32,2,[16; 4; 32; 4; 224; 32; 2],0.024420696870947722,0.2862533654796305,tvm
2,1,16,1,32,32,2,[2; 1; 16; 1; 32; 32; 2],0.03099172774818726,0.22556040513344885,tvm
128,4,8,4,32,32,2,[128; 4; 8; 4; 32; 32; 2],0.02623508300166577,0.26645643416576237,tvm
8,4,4,1,896,224,14,[8; 4; 4; 1; 896; 224; 14],0.026097575755557045,0.26786038412698754,tvm
64,1,8,8,32,16,1,[64; 1; 8; 8; 32; 16; 1],0.04043793099117465,0.17287003798963663,tvm
8,4,16,4,896,64,4,[8; 4; 16; 4; 896; 64; 4],0.01970246062410297,0.3548037374638802,tvm
64,4,64,2,3584,128,8,[64; 4; 64; 2; 3584; 128; 8],0.031945054259267636,0.2188290747585329,tvm
4,1,8,2,448,16,1,[4; 1; 8; 2; 448; 16; 1],0.0173157636236283,0.40370767461434626,tvm
8,1,64,1,112,16,1,[8; 1; 64; 1; 112; 16; 1],0.023495405628636945,0.29752653676880625,tvm
16,16,32,16,896,16,1,[16; 16; 32; 16; 896; 16; 1],0.021508371122763492,0.3250132995551778,tvm
64,4,2,1,3584,128,8,[64; 4; 2; 1; 3584; 128; 8],0.06299095449503511,0.11097635720407527,tvm
256,16,32,16,64,16,1,[256; 16; 32; 16; 64; 16; 1],0.041007689491380006,0.17046819153603135,tvm
16,1,2,1,256,128,8,[16; 1; 2; 1; 256; 128; 8],0.02726101625012234,0.2564286893242762,tvm
128,2,16,4,896,32,2,[128; 2; 16; 4; 896; 32; 2],0.034143285753089,0.20474030288763945,tvm
2,2,2,2,896,64,4,[2; 2; 2; 2; 896; 64; 4],0.026757763989735395,0.26125152570103805,tvm
64,32,32,2,3584,112,7,[64; 32; 32; 2; 3584; 112; 7],0.0464553382480517,0.15047800597942784,tvm
