kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
64,4,1,1,768,128,8,[64; 4; 1; 1; 768; 128; 8],0.005270312813081546,0.041010306318187535,tvm
64,32,197,1,384,128,8,[64; 32; 197; 1; 384; 128; 8],0.0026590693751131766,0.08128300257226027,tvm
2,2,1,1,32,16,1,[2; 2; 1; 1; 32; 16; 1],0.0006233465819605044,0.34673670974077375,tvm
8,2,1,1,384,16,1,[8; 2; 1; 1; 384; 16; 1],0.004200248249617289,0.051458182948314175,tvm
24,1,1,1,16,16,1,[24; 1; 1; 1; 16; 16; 1],0.0018653742808965035,0.11586797623974252,tvm
6,2,1,1,96,96,6,[6; 2; 1; 1; 96; 96; 6],0.0010857370702979097,0.19906950657753458,tvm
24,4,197,1,192,64,4,[24; 4; 197; 1; 192; 64; 4],0.0007980531327120843,0.27083051741508446,tvm
4,4,197,1,64,64,4,[4; 4; 197; 1; 64; 64; 4],0.001172583289189788,0.18432562091728738,tvm
8,4,197,1,128,64,4,[8; 4; 197; 1; 128; 64; 4],0.0010175102111134038,0.21241766470396028,tvm
24,3,197,1,384,192,12,[24; 3; 197; 1; 384; 192; 12],0.0013518211094378785,0.15988590601830308,tvm
8,8,1,1,768,64,4,[8; 8; 1; 1; 768; 64; 4],0.0031193300155791803,0.06928960442712621,tvm
16,4,197,1,256,128,8,[16; 4; 197; 1; 256; 128; 8],0.0009866884765870054,0.2190530729666265,tvm
24,2,1,1,16,16,1,[24; 2; 1; 1; 16; 16; 1],0.0020030100940857665,0.10790616757016108,tvm
2,2,197,1,384,96,6,[2; 2; 197; 1; 384; 96; 6],0.006491556625405792,0.033295117847582816,tvm
48,1,197,1,256,128,8,[48; 1; 197; 1; 256; 128; 8],0.006092724281188566,0.03547463053998217,tvm
8,2,197,1,128,64,4,[8; 2; 197; 1; 128; 64; 4],0.0010187095308538119,0.21216758684488957,tvm
8,4,1,1,128,64,4,[8; 4; 1; 1; 128; 64; 4],0.0010150547891498718,0.21293150396163532,tvm
3,1,1,1,384,128,8,[3; 1; 1; 1; 384; 128; 8],0.004219203563479823,0.051227000452872665,tvm
12,4,1,1,192,96,6,[12; 4; 1; 1; 192; 96; 6],0.0013939697187197453,0.1550515337274674,tvm
8,4,197,1,64,32,2,[8; 4; 197; 1; 64; 32; 2],0.001790784514923871,0.12069410979150172,tvm
6,2,1,1,768,16,1,[6; 2; 1; 1; 768; 16; 1],0.003914002563760732,0.05522151284680547,tvm
24,12,197,1,384,32,2,[24; 12; 197; 1; 384; 32; 2],0.004002659718025825,0.05399838059772543,tvm
16,16,1,1,384,48,3,[16; 16; 1; 1; 384; 48; 3],0.0018166151721743518,0.1189779465501452,tvm
16,1,1,1,192,32,2,[16; 1; 1; 1; 192; 32; 2],0.0020544647495626123,0.10520362683426797,tvm
4,2,197,1,256,128,8,[4; 2; 197; 1; 256; 128; 8],0.0011347462968842592,0.1904717763350306,tvm
16,2,197,1,192,64,4,[16; 2; 197; 1; 192; 64; 4],0.0014491418123725452,0.14914837251385465,tvm
16,8,1,1,768,192,12,[16; 8; 1; 1; 768; 192; 12],0.006002746094964095,0.03600637765413192,tvm
16,8,1,1,64,32,2,[16; 8; 1; 1; 64; 32; 2],0.0006180909961130965,0.3496849884828199,tvm
4,2,1,1,192,32,2,[4; 2; 1; 1; 192; 32; 2],0.000842822031245305,0.2564445812335863,tvm
24,4,197,1,96,16,1,[24; 4; 197; 1; 96; 16; 1],0.0012957761873622076,0.16680129251111647,tvm
2,2,197,1,48,16,1,[2; 2; 197; 1; 48; 16; 1],0.003952855344323325,0.05467873828662521,tvm
32,1,197,1,192,192,12,[32; 1; 197; 1; 192; 192; 12],0.0022686107968183933,0.09527290585069231,tvm
16,16,1,1,256,64,4,[16; 16; 1; 1; 256; 64; 4],0.001097961640880385,0.19685309104590973,tvm
12,1,1,1,192,192,12,[12; 1; 1; 1; 192; 192; 12],0.0008207287578443356,0.26334783665291855,tvm
64,64,1,1,768,128,8,[64; 64; 1; 1; 768; 128; 8],0.0057068142195930704,0.03787352006572849,tvm
12,2,197,1,128,32,2,[12; 2; 197; 1; 128; 32; 2],0.0005249092969279445,0.4117609349312258,tvm
64,64,1,1,256,128,8,[64; 64; 1; 1; 256; 128; 8],0.0019178944694431266,0.11269501336009363,tvm
24,1,1,1,384,192,12,[24; 1; 1; 1; 384; 192; 12],0.002312143390554411,0.09347912579302316,tvm
24,6,197,1,96,16,1,[24; 6; 197; 1; 96; 16; 1],0.0020588542811310617,0.10497932993023903,tvm
12,3,1,1,64,32,2,[12; 3; 1; 1; 64; 32; 2],0.0012037025703648396,0.17956025697580105,tvm
6,3,1,1,768,32,2,[6; 3; 1; 1; 768; 32; 2],0.003524617781295092,0.061322150731965334,tvm
64,64,197,1,256,128,8,[64; 64; 197; 1; 256; 128; 8],0.0009196946875817957,0.23500966763812045,tvm
8,4,1,1,192,96,6,[8; 4; 1; 1; 192; 96; 6],0.0007484068478333938,0.2887963191182052,tvm
24,24,1,1,256,64,4,[24; 24; 1; 1; 256; 64; 4],0.0011553481640476093,0.18707533329168496,tvm
8,8,197,1,192,16,1,[8; 8; 197; 1; 192; 16; 1],0.002790751203065156,0.07744765732601089,tvm
4,4,197,1,128,32,2,[4; 4; 197; 1; 128; 32; 2],0.002557859124863171,0.08449923639508676,tvm
32,2,197,1,192,192,12,[32; 2; 197; 1; 192; 192; 12],0.0008814468669697817,0.24520722797526556,tvm
24,3,1,1,192,192,12,[24; 3; 1; 1; 192; 192; 12],0.0026156498124692007,0.08263229344646374,tvm
6,1,1,1,192,96,6,[6; 1; 1; 1; 192; 96; 6],0.0014287312346823455,0.15127907727529827,tvm
32,1,197,1,768,192,12,[32; 1; 197; 1; 768; 192; 12],0.004639176499040332,0.046589549438753486,tvm
12,2,1,1,768,128,8,[12; 2; 1; 1; 768; 128; 8],0.005443673375339131,0.03970428200859459,tvm
8,8,1,1,32,16,1,[8; 8; 1; 1; 32; 16; 1],0.0003791951933180826,0.5699891419136192,tvm
64,2,1,1,768,128,8,[64; 2; 1; 1; 768; 128; 8],0.0052444941884459695,0.0412121998978109,tvm
16,4,1,1,128,16,1,[16; 4; 1; 1; 128; 16; 1],0.0007936812030493456,0.2723223657392135,tvm
4,2,1,1,96,48,3,[4; 2; 1; 1; 96; 48; 3],0.0008463423905595846,0.2553779005613051,tvm
12,3,197,1,192,64,4,[12; 3; 197; 1; 192; 64; 4],0.0014893978909640282,0.1451171269735355,tvm
1,1,1,1,192,64,4,[1; 1; 1; 1; 192; 64; 4],0.003097940828411083,0.06976800230493699,tvm
