kc,ku,mc,mr,nc,nr,X,time,peak,backend
4096,64,2,1,1024,128,[4096; 64; 2; 1; 1024; 128],0.05001979100052267,0.009982486827197802,tvm
2048,64,4,1,512,128,[2048; 64; 4; 1; 512; 128],0.024406498996540904,0.020458563304498238,tvm
8,1,16,1,512,64,[8; 1; 16; 1; 512; 64],0.003856945342704421,0.1294604564999589,tvm
2048,64,2,1,512,16,[2048; 64; 2; 1; 512; 16],0.03274154274549801,0.015250408590797451,tvm
4096,16,32,1,1024,64,[4096; 16; 32; 1; 1024; 64],0.04919187424820848,0.010150495633536257,tvm
64,32,64,1,128,16,[64; 32; 64; 1; 128; 16],0.0025579960320101236,0.19520042193713952,tvm
256,8,8,1,256,64,[256; 8; 8; 1; 256; 64],0.003656446406239411,0.13655933911949453,tvm
128,4,4,1,256,128,[128; 4; 4; 1; 256; 128],0.0031566047182423063,0.15818322195245987,tvm
8,4,16,1,64,64,[8; 4; 16; 1; 64; 64],0.0008640760543130455,0.5778680039442521,tvm
2048,2,16,1,512,64,[2048; 2; 16; 1; 512; 64],0.02490462987771025,0.0200493605893256,tvm
128,16,64,1,64,16,[128; 16; 64; 1; 64; 16],0.004034632313050679,0.12375896141682262,tvm
256,4,4,1,128,128,[256; 4; 4; 1; 128; 128],0.0017461755778640509,0.2859517170505174,tvm
8,2,2,1,64,64,[8; 2; 2; 1; 64; 64],0.0018943423756354605,0.2635858814035168,tvm
1024,2,2,1,256,16,[1024; 2; 2; 1; 256; 16],0.032744754760642536,0.015248912639958546,tvm
64,32,16,1,128,128,[64; 32; 16; 1; 128; 128],0.0031640523448004387,0.15781088627767242,tvm
128,2,8,1,512,128,[128; 2; 8; 1; 512; 128],0.006286645311774919,0.07942581138253056,tvm
32,32,8,1,1024,16,[32; 32; 8; 1; 1024; 16],0.016005396872060373,0.031197096126590898,tvm
256,32,16,1,1024,64,[256; 32; 16; 1; 1024; 64],0.01541871812514728,0.03238413859758755,tvm
512,8,4,1,512,64,[512; 8; 4; 1; 512; 64],0.024514402874046937,0.02036851182251435,tvm
8,1,16,1,1024,16,[8; 1; 16; 1; 1024; 16],0.014934689250367228,0.03343369898035387,tvm
1,1,32,1,512,64,[1; 1; 32; 1; 512; 64],0.021454579502460547,0.023273441677318325,tvm
1024,64,1,1,1024,64,[1024; 64; 1; 1; 1024; 64],0.04881625674897805,0.010228598790962355,tvm
256,1,64,1,512,64,[256; 1; 64; 1; 512; 64],0.0072072071889124345,0.06928091446157694,tvm
64,32,2,1,128,128,[64; 32; 2; 1; 128; 128],0.001590080390087678,0.31402305686844667,tvm
1024,8,8,1,128,64,[1024; 8; 8; 1; 128; 64],0.00666369968894287,0.074931633787524,tvm
1024,32,1,1,1024,16,[1024; 32; 1; 1; 1024; 16],0.0663057730125729,0.007530594729168203,tvm
4096,2,64,1,512,16,[4096; 2; 64; 1; 512; 16],0.03345170375541784,0.014926650923752564,tvm
256,8,4,1,64,64,[256; 8; 4; 1; 64; 64],0.0018334645310460473,0.2723379134457684,tvm
4096,8,8,1,512,128,[4096; 8; 8; 1; 512; 128],0.024628078121168073,0.020274497356443447,tvm
2048,4,2,1,512,64,[2048; 4; 2; 1; 512; 64],0.024950669503596146,0.02001236498643603,tvm
64,2,64,1,64,16,[64; 2; 64; 1; 64; 16],0.004060141562149511,0.12298140277097996,tvm
16,2,16,1,64,16,[16; 2; 16; 1; 64; 16],0.0020842421718043624,0.2395700036765083,tvm
8,2,16,1,512,128,[8; 2; 16; 1; 512; 128],0.003896694530340028,0.12813986338270494,tvm
128,16,16,1,256,128,[128; 16; 16; 1; 256; 128],0.0031797529991308693,0.15703166406270733,tvm
1024,2,2,1,256,64,[1024; 2; 2; 1; 256; 64],0.012820254494727124,0.03894789334855031,tvm
128,32,1,1,128,64,[128; 32; 1; 1; 128; 64],0.0017582090158612118,0.28399462194619973,tvm
2048,8,1,1,64,64,[2048; 8; 1; 1; 64; 64],0.0065107633745356,0.07669176040321392,tvm
256,16,2,1,256,64,[256; 16; 2; 1; 256; 64],0.0036951756574126193,0.13512805643224346,tvm
64,2,16,1,16,16,[64; 2; 16; 1; 16; 16],0.004074939874044503,0.12253479074436316,tvm
32,32,64,1,64,16,[32; 32; 64; 1; 64; 16],0.0018773900001178845,0.2659659978643497,tvm
256,8,2,1,64,16,[256; 8; 2; 1; 64; 16],0.004078097532328684,0.1224399124355373,tvm
8,4,64,1,1024,128,[8; 4; 64; 1; 1024; 128],0.007013347374595469,0.07119594654196146,tvm
4,4,64,1,128,128,[4; 4; 64; 1; 128; 128],0.0009992042346311791,0.49971956428528524,tvm
256,1,8,1,512,128,[256; 1; 8; 1; 512; 128],0.006757791936252033,0.07388832172877399,tvm
512,16,1,1,256,16,[512; 16; 1; 1; 256; 16],0.018109727003320586,0.0275720282625105,tvm
64,2,4,1,256,128,[64; 2; 4; 1; 256; 128],0.0031995232184272027,0.15606134748019038,tvm
512,2,8,1,1024,16,[512; 2; 8; 1; 1024; 16],0.06589817348867655,0.007577173665484136,tvm
2,1,64,1,1024,64,[2; 1; 64; 1; 1024; 64],0.034313682990614325,0.014551684961899373,tvm
4096,2,32,1,512,128,[4096; 2; 32; 1; 512; 128],0.024472272249113303,0.020403577554184676,tvm
512,64,64,1,64,16,[512; 64; 64; 1; 64; 16],0.008963050688180374,0.055708923460665395,tvm
128,16,8,1,64,16,[128; 16; 8; 1; 64; 16],0.003920358125469647,0.12736640092085655,tvm
4096,8,1,1,32,16,[4096; 8; 1; 1; 32; 16],0.01676360287819989,0.02978607333935621,tvm
4096,64,32,1,256,16,[4096; 64; 32; 1; 256; 16],0.02754451874352526,0.018127813718991827,tvm
256,16,8,1,64,64,[256; 16; 8; 1; 64; 64],0.0018402738123768358,0.27133022347201546,tvm
16,2,8,1,16,16,[16; 2; 8; 1; 16; 16],0.001996883655920101,0.25005057419423515,tvm
256,32,16,1,32,16,[256; 32; 16; 1; 32; 16],0.0066354758746456355,0.07525035343280045,tvm
64,2,16,1,1024,128,[64; 2; 16; 1; 1024; 128],0.012668210751144215,0.03941534558988965,tvm
16,8,32,1,16,16,[16; 8; 32; 1; 16; 16],0.0016286503441733657,0.30658631335342856,tvm
4,1,32,1,64,16,[4; 1; 32; 1; 64; 16],0.0016994027191685745,0.2938219994176518,tvm
1024,16,32,1,1024,16,[1024; 16; 32; 1; 1024; 16],0.06610615050885826,0.007553335066681811,tvm
