kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
160,10,12,4,256,32,2,[160; 10; 12; 4; 256; 32; 2],0.01419642737164395,0.3220126058306456,tvm
128,64,60,2,128,64,4,[128; 64; 60; 2; 128; 64; 4],0.02559741825098172,0.1785894392397658,tvm
5,1,12,1,160,160,10,[5; 1; 12; 1; 160; 160; 10],0.0301505677489331,0.1516199830628508,tvm
8,1,100,20,16,16,1,[8; 1; 100; 20; 16; 16; 1],0.021362748499086592,0.21399065628769784,tvm
320,32,375,15,256,16,1,[320; 32; 375; 15; 256; 16; 1],0.10485877300379798,0.043596052485403346,tvm
10,10,3,1,128,16,1,[10; 10; 3; 1; 128; 16; 1],0.03223127576347906,0.14183207034604606,tvm
5,1,30,5,320,16,1,[5; 1; 30; 5; 320; 16; 1],0.11394974699942395,0.04011793524606669,tvm
8,2,6,3,256,16,1,[8; 2; 6; 3; 256; 16; 1],0.020252488247933798,0.22572182318856346,tvm
128,8,5,5,320,64,4,[128; 8; 5; 5; 320; 64; 4],0.034638628756511025,0.13197487127920096,tvm
2,1,30,3,1280,32,2,[2; 1; 30; 3; 1280; 32; 2],0.25205552601255476,0.018136593328252883,tvm
64,64,1500,5,320,32,2,[64; 64; 1500; 5; 320; 32; 2],0.01943334050156409,0.2352363748816443,tvm
10,5,20,1,32,32,2,[10; 5; 20; 1; 32; 32; 2],0.013112552871461958,0.3486299438591998,tvm
2,2,20,4,320,64,4,[2; 2; 20; 4; 320; 64; 4],0.10010513302404433,0.0456662753780124,tvm
80,40,60,5,640,64,4,[80; 40; 60; 5; 640; 64; 4],0.028498433748609386,0.16040981801856533,tvm
128,32,12,6,64,64,4,[128; 32; 12; 6; 64; 64; 4],0.01615291524649365,0.2830095064369822,tvm
