kc,ku,mc,mr,nc,nr,X,time,peak,backend
8,1,197,1,768,16,[8; 1; 197; 1; 768; 16],0.004921991499941214,0.04391253882899316,tvm
48,8,1,1,192,96,[48; 8; 1; 1; 192; 96],0.003744375531823607,0.05772314796424238,tvm
96,32,197,1,32,16,[96; 32; 197; 1; 32; 16],0.0026407370787637774,0.08184727839634996,tvm
768,4,197,1,192,64,[768; 4; 197; 1; 192; 64],0.0016725208752177423,0.12922836782470914,tvm
384,6,197,1,16,16,[384; 6; 197; 1; 16; 16],0.001642364016333886,0.13160124108150398,tvm
16,1,1,1,128,64,[16; 1; 1; 1; 128; 64],0.001134615187311283,0.19049378615257806,tvm
256,8,197,1,128,16,[256; 8; 197; 1; 128; 16],0.004219881906465162,0.05121876574934603,tvm
192,24,1,1,768,64,[192; 24; 1; 1; 768; 64],0.0059971657501591835,0.03603988148091553,tvm
16,1,197,1,768,16,[16; 1; 197; 1; 768; 16],0.005507997688255273,0.039240601592483056,tvm
12,12,1,1,192,16,[12; 12; 1; 1; 192; 16],0.0010515071094232553,0.20554986354366414,tvm
4,2,1,1,384,128,[4; 2; 1; 1; 384; 128],0.0017352545464746072,0.12455644809935998,tvm
4,4,197,1,96,16,[4; 4; 197; 1; 96; 16],0.0008245936483035621,0.2621135189457282,tvm
96,2,197,1,32,16,[96; 2; 197; 1; 32; 16],0.001338860429768829,0.16143366257710795,tvm
16,16,197,1,96,96,[16; 16; 197; 1; 96; 96],0.0007487819141260843,0.2886516604896902,tvm
192,12,197,1,384,96,[192; 12; 197; 1; 384; 96],0.002898366202316538,0.07457206155812672,tvm
96,12,197,1,64,64,[96; 12; 197; 1; 64; 64],0.001758992610120913,0.12287552637431808,tvm
768,32,1,1,768,128,[768; 32; 1; 1; 768; 128],0.02177596787805669,0.009925489607051677,tvm
8,2,1,1,32,16,[8; 2; 1; 1; 32; 16],0.0019273092184448615,0.11214450737258606,tvm
192,2,1,1,64,64,[192; 2; 1; 1; 64; 64],0.0016985335469144047,0.12724926348954518,tvm
12,2,1,1,16,16,[12; 2; 1; 1; 16; 16],0.0008911796639949898,0.24252925822862803,tvm
768,24,197,1,32,16,[768; 24; 197; 1; 32; 16],0.0017035789533110801,0.12687239557465663,tvm
24,3,1,1,384,64,[24; 3; 1; 1; 384; 64],0.004835490655750618,0.04469807890127991,tvm
48,1,197,1,768,64,[48; 1; 197; 1; 768; 64],0.005485909810886369,0.039398595731237725,tvm
16,4,197,1,96,96,[16; 4; 197; 1; 96; 96],0.0016880505163499038,0.12803949927073233,tvm
48,1,197,1,48,16,[48; 1; 197; 1; 48; 16],0.002740506844020274,0.07886758003496666,tvm
32,2,197,1,384,96,[32; 2; 197; 1; 384; 96],0.002295654561748961,0.09415055141940745,tvm
192,48,197,1,64,64,[192; 48; 197; 1; 64; 64],0.001007059015591949,0.21462212195190716,tvm
256,4,197,1,192,16,[256; 4; 197; 1; 192; 16],0.0032349276552849915,0.06681359396215046,tvm
192,8,197,1,32,16,[192; 8; 197; 1; 32; 16],0.00314980390794517,0.06861923763315911,tvm
6,3,1,1,96,96,[6; 3; 1; 1; 96; 96],0.0007245056835927244,0.2983235987678501,tvm
64,16,197,1,384,64,[64; 16; 197; 1; 384; 64],0.0027975021876045503,0.07726075919254852,tvm
768,3,197,1,192,64,[768; 3; 197; 1; 192; 64],0.00337063146980654,0.06412363522777773,tvm
192,64,197,1,64,16,[192; 64; 197; 1; 64; 16],0.004185238687568926,0.05164272792830607,tvm
384,24,197,1,768,64,[384; 24; 197; 1; 768; 64],0.006093845218856586,0.03546810512816037,tvm
4,4,1,1,192,64,[4; 4; 1; 1; 192; 64],0.0034008260008704383,0.06355430792455208,tvm
