kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
8,1,64,2,2048,16,1,[8; 1; 64; 2; 2048; 16; 1],0.11529335897648707,0.06063234455761074,tvm
512,4,16,8,4096,16,1,[512; 4; 16; 8; 4096; 16; 1],0.38243543601129204,0.018278919808205903,tvm
4,1,4,4,256,32,2,[4; 1; 4; 4; 256; 32; 2],0.0279772694921121,0.24986379277068363,tvm
2,1,64,1,2048,32,2,[2; 1; 64; 1; 2048; 32; 2],0.2866057390347123,0.02439067232292934,tvm
448,64,32,16,64,16,1,[448; 64; 32; 16; 64; 16; 1],0.06956847500987351,0.10048382784982046,tvm
28,1,16,2,512,128,8,[28; 1; 16; 2; 512; 128; 8],0.015980073621904012,0.43745146812619967,tvm
16,2,16,1,128,16,1,[16; 2; 16; 1; 128; 16; 1],0.021969718494801782,0.31818826756112867,tvm
28,28,16,2,256,32,2,[28; 28; 16; 2; 256; 32; 2],0.017609434624318965,0.3969750770426578,tvm
8,2,2,1,64,16,1,[8; 2; 2; 1; 64; 16; 1],0.019039181250263937,0.36716424801984376,tvm
224,28,32,4,4096,32,2,[224; 28; 32; 4; 4096; 32; 2],0.2225747779593803,0.031407452051653524,tvm
28,2,8,2,4096,16,1,[28; 2; 8; 2; 4096; 16; 1],0.22132353996858,0.03158501200396066,tvm
16,1,4,4,4096,64,4,[16; 1; 4; 4; 4096; 64; 4],0.3455643630004488,0.0202292464592409,tvm
56,2,32,4,1024,32,2,[56; 2; 32; 4; 1024; 32; 2],0.0877945515094325,0.07962346804534469,tvm
28,28,16,1,64,64,4,[28; 28; 16; 1; 64; 64; 4],0.020031433996337,0.34897684648762384,tvm
14,2,4,2,2048,64,4,[14; 2; 4; 2; 2048; 64; 4],0.07537320550181903,0.09274524839596958,tvm
16,4,32,2,64,32,2,[16; 4; 32; 2; 64; 32; 2],0.01850392537744483,0.3777850658210973,tvm
56,14,32,2,64,64,4,[56; 14; 32; 2; 64; 64; 4],0.01961774787196191,0.35633583998995333,tvm
28,14,64,2,4096,16,1,[28; 14; 64; 2; 4096; 16; 1],0.2064616259885952,0.03385862449350669,tvm
32,1,64,16,128,16,1,[32; 1; 64; 16; 128; 16; 1],0.053701632481534034,0.13017307563360273,tvm
64,4,32,8,4096,16,1,[64; 4; 32; 8; 4096; 16; 1],0.34796343301422894,0.020089773819368,tvm
8,1,2,2,32,32,2,[8; 1; 2; 2; 32; 32; 2],0.021094302872370463,0.33139311163598134,tvm
112,8,32,2,1024,64,4,[112; 8; 32; 2; 1024; 64; 4],0.09456607449101284,0.07392192923616614,tvm
448,2,16,16,512,16,1,[448; 2; 16; 16; 512; 16; 1],0.08130215102573857,0.08598181694422351,tvm
28,4,4,4,2048,16,1,[28; 4; 4; 4; 2048; 16; 1],0.12426820799009874,0.05625337952265028,tvm
32,2,16,16,2048,16,1,[32; 2; 16; 16; 2048; 16; 1],0.7827828919980675,0.008930326324357028,tvm
28,14,1,1,128,16,1,[28; 14; 1; 1; 128; 16; 1],0.04236768225382548,0.16499620217094782,tvm
4,1,2,2,4096,64,4,[4; 1; 2; 2; 4096; 64; 4],0.21538378804689273,0.03245604848004955,tvm
112,16,4,2,512,64,4,[112; 16; 4; 2; 512; 64; 4],0.0487348140013637,0.1434396911101591,tvm
8,2,4,2,1024,16,1,[8; 2; 4; 2; 1024; 16; 1],0.040852031743270345,0.1711177233631282,tvm
128,4,64,8,256,16,1,[128; 4; 64; 8; 256; 16; 1],0.05140588397625834,0.13598650827394024,tvm
14,2,64,4,2048,32,2,[14; 2; 64; 4; 2048; 32; 2],0.22757411102065817,0.030717495216457637,tvm
8,8,2,1,128,64,4,[8; 8; 2; 1; 128; 64; 4],0.018424223249894567,0.3794193422350476,tvm
8,8,16,1,64,16,1,[8; 8; 16; 1; 64; 16; 1],0.023938084748806432,0.2920244764784375,tvm
2,1,16,2,1024,64,4,[2; 1; 16; 2; 1024; 64; 4],0.10088392096804455,0.06929257506635712,tvm
7,7,4,4,32,16,1,[7; 7; 4; 4; 32; 16; 1],0.023678721496253274,0.29522314656105003,tvm
8,4,4,4,256,64,4,[8; 4; 4; 4; 256; 64; 4],0.02033063687122194,0.3438410075860311,tvm
112,56,32,8,1024,16,1,[112; 56; 32; 8; 1024; 16; 1],0.09991316049126908,0.06996582464506798,tvm
112,112,8,4,256,64,4,[112; 112; 8; 4; 256; 64; 4],0.0489118760015117,0.14292043646926594,tvm
224,1,32,16,4096,16,1,[224; 1; 32; 16; 4096; 16; 1],1.5683664769749157,0.004457189546763356,tvm
56,2,16,8,1024,32,2,[56; 2; 16; 8; 1024; 32; 2],0.11351392301730812,0.06158281275857926,tvm
56,28,64,2,512,128,8,[56; 28; 64; 2; 512; 128; 8],0.014959685875510331,0.4672896693713627,tvm
4,4,16,8,32,32,2,[4; 4; 16; 8; 32; 32; 2],0.023808797253877856,0.2936102396154467,tvm
32,2,16,4,2048,32,2,[32; 2; 16; 4; 2048; 32; 2],0.17134525103028864,0.04079778473364842,tvm
14,2,4,4,128,16,1,[14; 2; 4; 4; 128; 16; 1],0.038998932504910044,0.1792486670189382,tvm
8,8,4,4,32,32,2,[8; 8; 4; 4; 32; 32; 2],0.019054441872867756,0.36687018771306434,tvm
28,28,64,8,64,16,1,[28; 28; 64; 8; 64; 16; 1],0.020366187127365265,0.3432408149325993,tvm
14,7,32,8,1024,32,2,[14; 7; 32; 8; 1024; 32; 2],0.05799635051516816,0.12053356124258878,tvm
64,2,64,8,512,32,2,[64; 2; 64; 8; 512; 32; 2],0.05026238047867082,0.13908029424975474,tvm
16,2,64,2,1024,16,1,[16; 2; 64; 2; 1024; 16; 1],0.04291468950395938,0.16289309668713114,tvm
16,8,64,4,16,16,1,[16; 8; 64; 4; 16; 16; 1],0.026894849506788887,0.2599199026899965,tvm
2,1,1,1,4096,16,1,[2; 1; 1; 1; 4096; 16; 1],0.42323005403159186,0.01651703748369643,tvm
2,1,2,2,512,32,2,[2; 1; 2; 2; 512; 32; 2],0.026917455994407646,0.25970161029032646,tvm
1,1,16,4,2048,64,4,[1; 1; 16; 4; 2048; 64; 4],0.36176354897907004,0.019323413556712715,tvm
28,1,4,2,128,128,8,[28; 1; 4; 2; 128; 128; 8],0.018347139623074327,0.3810134337166671,tvm
14,1,2,2,512,128,8,[14; 1; 2; 2; 512; 128; 8],0.016980256623355672,0.4116843945133021,tvm
28,2,16,2,64,32,2,[28; 2; 16; 2; 64; 32; 2],0.02901880125864409,0.2408957766504687,tvm
4,1,1,1,2048,64,4,[4; 1; 1; 1; 2048; 64; 4],0.11457259801682085,0.061013774564493715,tvm
128,64,32,16,128,16,1,[128; 64; 32; 16; 128; 16; 1],0.06412575198919512,0.10901247080649491,tvm
4,4,8,1,128,16,1,[4; 4; 8; 1; 128; 16; 1],0.017077249998692423,0.4093461574434946,tvm
32,32,2,2,1024,128,8,[32; 32; 2; 2; 1024; 128; 8],0.03219539699784946,0.21712751879200648,tvm
4,2,16,1,2048,128,8,[4; 2; 16; 1; 2048; 128; 8],0.07496348049608059,0.0932521625250866,tvm
224,16,64,4,128,32,2,[224; 16; 64; 4; 128; 32; 2],0.050078199012205005,0.13959181449322786,tvm
4,4,8,2,128,64,4,[4; 4; 8; 2; 128; 64; 4],0.017432006628951058,0.4010156039670637,tvm
56,1,8,2,2048,128,8,[56; 1; 8; 2; 2048; 128; 8],0.06208972248714417,0.11258717846764524,tvm
128,64,8,2,64,64,4,[128; 64; 8; 2; 64; 64; 4],0.13826653803698719,0.050558195539666013,tvm
7,7,32,4,128,32,2,[7; 7; 32; 4; 128; 32; 2],0.017641658123466186,0.3962499793241198,tvm
256,2,8,8,16,16,1,[256; 2; 8; 8; 16; 16; 1],0.0914711149816867,0.0764231054586601,tvm
28,14,32,1,512,32,2,[28; 14; 32; 1; 512; 32; 2],0.019770049628277775,0.35359074954814007,tvm
28,28,8,2,512,16,1,[28; 28; 8; 2; 512; 16; 1],0.023198339629743714,0.30133650848459,tvm
7,1,1,1,64,32,2,[7; 1; 1; 1; 64; 32; 2],0.019423657751758583,0.35989651156377894,tvm
2,2,32,1,2048,128,8,[2; 2; 32; 1; 2048; 128; 8],0.17031341197434813,0.041044956974495624,tvm
56,2,2,2,128,64,4,[56; 2; 2; 2; 128; 64; 4],0.017593587122973986,0.3973326540974894,tvm
14,14,2,1,256,128,8,[14; 14; 2; 1; 256; 128; 8],0.029308613506145775,0.238513727890977,tvm
224,28,64,8,2048,32,2,[224; 28; 64; 8; 2048; 32; 2],0.10307505802484229,0.0678195753717827,tvm
1,1,64,1,256,32,2,[1; 1; 64; 1; 256; 32; 2],0.07712983252713457,0.09063298126840065,tvm
32,8,16,16,128,16,1,[32; 8; 16; 16; 128; 16; 1],0.031102099994313903,0.22475995730013965,tvm
64,64,64,2,2048,64,4,[64; 64; 64; 2; 2048; 64; 4],0.0560576164862141,0.12470217438491696,tvm
28,28,4,1,512,64,4,[28; 28; 4; 1; 512; 64; 4],0.022268060252827127,0.31392526278884847,tvm
16,16,16,8,512,16,1,[16; 16; 16; 8; 512; 16; 1],0.01919941099913558,0.3641000584331156,tvm
4,2,32,1,512,64,4,[4; 2; 32; 1; 512; 64; 4],0.017023812630213797,0.41063108590962416,tvm
4,4,16,8,1024,32,2,[4; 4; 16; 8; 1024; 32; 2],0.11254337499849498,0.0621138886830091,tvm
16,4,64,4,4096,16,1,[16; 4; 64; 4; 4096; 16; 1],0.32066588499583304,0.021799969980459587,tvm
64,2,64,4,256,64,4,[64; 2; 64; 4; 256; 64; 4],0.03165204499964602,0.2208548189143812,tvm
7,7,32,1,16,16,1,[7; 7; 32; 1; 16; 16; 1],0.03305124073813204,0.21150512085319526,tvm
4,2,32,2,256,128,8,[4; 2; 32; 2; 256; 128; 8],0.018304468743735924,0.3819016418632159,tvm
16,8,64,8,16,16,1,[16; 8; 64; 8; 16; 16; 1],0.02726414374774322,0.256399274128875,tvm
112,4,4,4,64,64,4,[112; 4; 4; 4; 64; 64; 4],0.05774168000789359,0.12106517624203224,tvm
256,2,32,16,4096,16,1,[256; 2; 32; 16; 4096; 16; 1],1.6117917919764295,0.004337102783042895,tvm
448,4,64,8,1024,16,1,[448; 4; 64; 8; 1024; 16; 1],0.09816563749336638,0.07121134080282478,tvm
28,7,2,1,256,64,4,[28; 7; 2; 1; 256; 64; 4],0.029410581759293564,0.23768678647295746,tvm
2,2,64,1,256,128,8,[2; 2; 64; 1; 256; 128; 8],0.028154409999842755,0.2482917122648178,tvm
