kc,ku,mc,mr,nc,nr,X,time,peak,backend
1280,5,6,1,1280,16,[1280; 5; 6; 1; 1280; 16],0.6096442810376175,0.029994071714396983,tvm
80,1,750,1,160,16,[80; 1; 750; 1; 160; 16],0.15444845199817792,0.11839363910186688,tvm
1280,10,150,1,2560,16,[1280; 10; 150; 1; 2560; 16],1.2281578539987095,0.014888732931339868,tvm
20,2,20,1,80,16,[20; 2; 20; 1; 80; 16],0.053928696986986324,0.33907205824251346,tvm
1280,4,2,1,160,16,[1280; 4; 2; 1; 160; 16],0.3230336229898967,0.05660622605308859,tvm
8,8,60,1,128,128,[8; 8; 60; 1; 128; 128],0.04515038624231238,0.4049957443902873,tvm
80,40,2,1,320,64,[80; 40; 2; 1; 320; 64],0.0645869305008091,0.2831178714319798,tvm
64,1,1500,1,80,16,[64; 1; 1500; 1; 80; 16],0.16080535401124507,0.11371334243283698,tvm
4,2,100,1,5120,64,[4; 2; 100; 1; 5120; 64],0.8389503150247037,0.021795944239172072,tvm
320,32,30,1,512,64,[320; 32; 30; 1; 512; 64],0.2612238500150852,0.07000017144169003,tvm
256,32,1500,1,128,128,[256; 32; 1500; 1; 128; 128],0.06920021999394521,0.26424358603649273,tvm
320,2,12,1,5120,64,[320; 2; 12; 1; 5120; 64],1.3135605770512484,0.013920724026875901,tvm
320,64,4,1,320,64,[320; 64; 4; 1; 320; 64],0.16536323603941128,0.11057907866145184,tvm
2,2,12,1,256,128,[2; 2; 12; 1; 256; 128],0.13626883999677375,0.13418852238081144,tvm
640,10,300,1,128,128,[640; 10; 300; 1; 128; 128],0.2586227399879135,0.0707042013651578,tvm
16,1,3,1,1024,128,[16; 1; 3; 1; 1024; 128],0.11421384196728468,0.16010068456459098,tvm
320,1,5,1,2560,64,[320; 1; 5; 1; 2560; 64],0.7492373579880223,0.024405769534527954,tvm
40,8,3,1,320,16,[40; 8; 3; 1; 320; 16],0.10433329700026661,0.17526249827672521,tvm
160,20,375,1,1024,64,[160; 20; 375; 1; 1024; 64],0.10896315396530554,0.16781557453390675,tvm
10,5,75,1,1024,128,[10; 5; 75; 1; 1024; 128],0.10850837297039106,0.16851892425577106,tvm
128,4,100,1,512,128,[128; 4; 100; 1; 512; 128],0.09143943249364384,0.19997624424216948,tvm
64,2,100,1,512,16,[64; 2; 100; 1; 512; 16],0.24089342198567465,0.07590790207132221,tvm
160,1,250,1,256,16,[160; 1; 250; 1; 256; 16],0.18067318201065063,0.10120879082450847,tvm
640,1,50,1,64,16,[640; 1; 50; 1; 64; 16],0.33985177701106295,0.053804968879474314,tvm
80,8,5,1,640,16,[80; 8; 5; 1; 640; 16],0.15721880696946755,0.11630742299975243,tvm
64,1,375,1,64,64,[64; 1; 375; 1; 64; 64],0.06577915549860336,0.2779864555436948,tvm
40,40,5,1,2560,16,[40; 40; 5; 1; 2560; 16],0.3542583039961755,0.051616896709107754,tvm
1280,20,1,1,256,64,[1280; 20; 1; 1; 256; 64],0.2836037529632449,0.06447627753390174,tvm
640,64,300,1,128,64,[640; 64; 300; 1; 128; 64],0.2539886540034786,0.07199421705452973,tvm
40,8,20,1,256,64,[40; 8; 20; 1; 256; 64],0.08064588750130497,0.226740815338146,tvm
1280,16,300,1,640,128,[1280; 16; 300; 1; 640; 128],0.243823450000491,0.07499571630898286,tvm
32,16,150,1,640,128,[32; 16; 150; 1; 640; 128],0.06647585501195863,0.2750730213612866,tvm
20,5,3,1,512,16,[20; 5; 3; 1; 512; 16],0.13041512400377542,0.14021160831917723,tvm
64,8,30,1,1280,128,[64; 8; 30; 1; 1280; 128],0.12078879500040784,0.15138584904048877,tvm
1280,4,25,1,1280,16,[1280; 4; 25; 1; 1280; 16],0.6076131499721669,0.030094335987547186,tvm
64,4,25,1,5120,128,[64; 4; 25; 1; 5120; 128],0.5473932239692658,0.03340507972152203,tvm
5,5,375,1,64,64,[5; 5; 375; 1; 64; 64],0.05481393201625906,0.3335961061923149,tvm
160,5,5,1,512,64,[160; 5; 5; 1; 512; 64],0.10105657001258805,0.1809453287741365,tvm
4,4,4,1,640,128,[4; 4; 4; 1; 640; 128],0.08734425899456255,0.20935221726310174,tvm
320,10,4,1,256,128,[320; 10; 4; 1; 256; 128],0.20229481195565313,0.09039141493022007,tvm
1280,5,1,1,1024,16,[1280; 5; 1; 1; 1024; 16],0.5196559139876626,0.03518811927953622,tvm
160,40,50,1,64,64,[160; 40; 50; 1; 64; 64],0.06423173102666624,0.2846835044523843,tvm
20,4,1,1,256,128,[20; 4; 1; 1; 256; 128],0.07910416449885815,0.23115994463196987,tvm
160,8,1,1,80,16,[160; 8; 1; 1; 80; 16],0.138105224003084,0.13240421872315236,tvm
320,5,2,1,128,16,[320; 5; 2; 1; 128; 16],0.2225039359764196,0.0821815317804183,tvm
2,1,500,1,1024,64,[2; 1; 500; 1; 1024; 64],0.33083565399283543,0.055271292755255094,tvm
40,4,100,1,1280,16,[40; 4; 100; 1; 1280; 16],0.1802077460451983,0.10147019030540456,tvm
320,2,1,1,128,16,[320; 2; 1; 1; 128; 16],0.23008009599288926,0.07947542879276014,tvm
20,4,300,1,512,16,[20; 4; 300; 1; 512; 16],0.10696570499567315,0.1709493176944326,tvm
4,4,2,1,640,64,[4; 4; 2; 1; 640; 64],0.07625895249657333,0.23978449332274726,tvm
160,10,12,1,256,16,[160; 10; 12; 1; 256; 16],0.1691134029533714,0.10812693711069189,tvm
