kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
4,2,1500,6,1024,64,4,[4; 2; 1500; 6; 1024; 64; 4],0.2143883599783294,0.08529247710819107,tvm
16,16,6,3,640,80,5,[16; 16; 6; 3; 640; 80; 5],0.053647201508283615,0.34085122376589966,tvm
40,40,12,1,1280,160,10,[40; 40; 12; 1; 1280; 160; 10],0.07343044198933057,0.2490208936556748,tvm
2,1,60,6,160,16,1,[2; 1; 60; 6; 160; 16; 1],0.12693322502309456,0.14405774597145338,tvm
256,4,375,15,1280,16,1,[256; 4; 375; 15; 1280; 16; 1],0.15738033602247015,0.11618804958647136,tvm
8,2,10,5,128,16,1,[8; 2; 10; 5; 128; 16; 1],0.07030018497607671,0.2601090493849618,tvm
20,1,375,1,32,32,2,[20; 1; 375; 1; 32; 32; 2],0.09298964601475745,0.1966424765485433,tvm
20,5,12,12,128,32,2,[20; 5; 12; 12; 128; 32; 2],0.047606326508685015,0.38410261044565897,tvm
4,2,6,1,80,16,1,[4; 2; 6; 1; 80; 16; 1],0.04970203775155824,0.3679067320562928,tvm
8,8,60,20,256,16,1,[8; 8; 60; 20; 256; 16; 1],0.07745003799209371,0.2360969053053394,tvm
2,2,750,6,1024,32,2,[2; 2; 750; 6; 1024; 32; 2],0.6590859350399114,0.027744051744340414,tvm
20,20,300,1,320,64,4,[20; 20; 300; 1; 320; 64; 4],0.044154741743113846,0.4141279863462464,tvm
20,5,30,2,160,80,5,[20; 5; 30; 2; 160; 80; 5],0.05355052649974823,0.34146656402715775,tvm
16,1,500,4,2560,16,1,[16; 1; 500; 4; 2560; 16; 1],0.5281001349794678,0.03462546792650455,tvm
5,1,60,20,80,16,1,[5; 1; 60; 20; 80; 16; 1],0.09694576897891238,0.18861797145259418,tvm
20,10,100,20,320,16,1,[20; 10; 100; 20; 320; 16; 1],0.04805499724170659,0.3805163944499043,tvm
8,8,25,25,640,16,1,[8; 8; 25; 25; 640; 16; 1],0.06884164697839878,0.26561994211806117,tvm
16,8,250,2,640,32,2,[16; 8; 250; 2; 640; 32; 2],0.06546148200868629,0.2793354767508609,tvm
40,2,100,20,32,16,1,[40; 2; 100; 20; 32; 16; 1],0.07168936749803834,0.25506870717215696,tvm
128,32,75,15,256,16,1,[128; 32; 75; 15; 256; 16; 1],0.07857280797907151,0.23272318701636363,tvm
128,32,15,15,512,16,1,[128; 32; 15; 15; 512; 16; 1],0.1339264470152557,0.1365354990984816,tvm
128,4,750,30,16,16,1,[128; 4; 750; 30; 16; 16; 1],0.053482074494240806,0.3419036089874071,tvm
256,32,50,25,64,16,1,[256; 32; 50; 25; 64; 16; 1],0.07489760898170061,0.24414283091709846,tvm
10,10,3,1,1024,64,4,[10; 10; 3; 1; 1024; 64; 4],0.09636473449063487,0.18975525001307786,tvm
256,2,30,5,32,32,2,[256; 2; 30; 5; 32; 32; 2],0.06300737400306389,0.2902154640633825,tvm
5,5,30,5,2560,16,1,[5; 5; 30; 5; 2560; 16; 1],0.35136292199604213,0.05204224219742874,tvm
