i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
60,10,1,1280,320,32,1280,64,2,[60; 10; 1; 1280; 320; 32; 1280; 64; 2],0.0560453390062321,0.08156661468173546,tvm
125,1,1,32,32,16,1,1,1,[125; 1; 1; 32; 32; 16; 1; 1; 1],0.03649980924092233,0.12524527296168012,tvm
1500,60,30,1280,64,16,320,10,1,[1500; 60; 30; 1280; 64; 16; 320; 10; 1],0.10293553798692301,0.04441059580423361,tvm
30,10,5,640,64,64,640,64,4,[30; 10; 5; 640; 64; 64; 640; 64; 4],0.011375608311936958,0.4018623396721174,tvm
500,100,4,160,160,80,1280,32,5,[500; 100; 4; 160; 160; 80; 1280; 32; 5],0.016353184255422093,0.2795436350515564,tvm
300,30,10,1280,256,32,40,2,2,[300; 30; 10; 1280; 256; 32; 40; 2; 2],0.1132885700208135,0.040352072328114864,tvm
300,2,1,320,80,16,40,40,1,[300; 2; 1; 320; 80; 16; 40; 40; 1],0.10504570201737806,0.04351847323246319,tvm
100,2,2,1280,64,64,160,1,4,[100; 2; 2; 1280; 64; 64; 160; 1; 4],0.07455312201636843,0.061317734895460135,tvm
375,15,3,640,32,16,1280,20,1,[375; 15; 3; 640; 32; 16; 1280; 20; 1],0.018504792999010533,0.24704024366406097,tvm
1500,125,1,320,160,80,1280,16,5,[1500; 125; 1; 320; 160; 80; 1280; 16; 5],0.1052252349909395,0.04344422297391114,tvm
20,10,1,640,640,80,256,2,5,[20; 10; 1; 640; 640; 80; 256; 2; 5],0.02831073924608063,0.16147330282311315,tvm
300,300,3,1280,160,32,160,10,2,[300; 300; 3; 1280; 160; 32; 160; 10; 2],0.024559907498769462,0.18613378619840554,tvm
750,250,5,1280,16,16,40,20,1,[750; 250; 5; 1280; 16; 16; 40; 20; 1],0.044926850008778274,0.10175270624438078,tvm
300,20,2,1280,320,16,64,1,1,[300; 20; 2; 1280; 320; 16; 64; 1; 1],0.03436460749071557,0.1330272307828237,tvm
75,75,3,128,32,16,1280,32,1,[75; 75; 3; 128; 32; 16; 1280; 32; 1],0.016832797999086324,0.27157865089789035,tvm
150,30,30,1280,32,16,10,1,1,[150; 30; 30; 1280; 32; 16; 10; 1; 1],0.034570792005979456,0.13223383978700531,tvm
100,1,1,1280,160,80,1280,8,5,[100; 1; 1; 1280; 160; 80; 1280; 8; 5],0.05327000899706036,0.08581617794884999,tvm
50,2,1,1280,128,64,2,2,4,[50; 2; 1; 1280; 128; 64; 2; 2; 4],0.027572723498451523,0.1657953220212469,tvm
1500,4,1,160,80,16,640,8,1,[1500; 4; 1; 160; 80; 16; 640; 8; 1],0.10016875597648323,0.04563727009349915,tvm
1500,75,5,320,80,16,128,64,1,[1500; 75; 5; 320; 80; 16; 128; 64; 1],0.019362662875209935,0.23609503511427568,tvm
500,500,10,256,128,16,640,1,1,[500; 500; 10; 256; 128; 16; 640; 1; 1],0.01887221624929225,0.24223061621604777,tvm
250,250,2,1280,1280,32,256,8,2,[250; 250; 2; 1280; 1280; 32; 256; 8; 2],0.026198723251582123,0.17449050961491058,tvm
150,150,2,640,64,32,40,8,2,[150; 150; 2; 640; 64; 32; 40; 8; 2],0.027142603503307328,0.16842262647617953,tvm
1500,20,2,64,64,32,128,4,2,[1500; 20; 2; 64; 64; 32; 128; 4; 2],0.023426981628290378,0.1951351925724876,tvm
300,12,2,128,64,32,128,16,2,[300; 12; 2; 128; 64; 32; 128; 16; 2],0.014282393873145338,0.3200743945329824,tvm
60,60,30,256,64,16,640,8,1,[60; 60; 30; 256; 64; 16; 640; 8; 1],0.025564082752680406,0.17882231941019888,tvm
375,5,5,320,320,32,256,16,2,[375; 5; 5; 320; 320; 32; 256; 16; 2],0.01384656313166488,0.3301489711172041,tvm
500,50,10,1280,160,16,40,40,1,[500; 50; 10; 1280; 160; 16; 40; 40; 1],0.06258006850839593,0.07304927400031938,tvm
1500,500,10,1280,640,16,640,20,1,[1500; 500; 10; 1280; 640; 16; 640; 20; 1],0.11002637696219608,0.04154847862525971,tvm
300,4,2,1280,16,16,80,8,1,[300; 4; 2; 1280; 16; 16; 80; 8; 1],0.03500238475680817,0.13060334612027832,tvm
20,4,2,640,320,16,80,40,1,[20; 4; 2; 640; 320; 16; 80; 40; 1],0.021685632622393314,0.21080448290486858,tvm
100,100,10,320,320,16,1280,1,1,[100; 100; 10; 320; 320; 16; 1280; 1; 1],0.027253002001089044,0.16774036751055518,tvm
100,2,2,640,32,16,320,16,1,[100; 2; 2; 640; 32; 16; 320; 16; 1],0.028410326747689396,0.16090728600298004,tvm
150,30,10,64,32,32,128,1,2,[150; 30; 10; 64; 32; 32; 128; 1; 2],0.015531690121861175,0.2943291126439737,tvm
300,150,5,320,80,16,1280,40,1,[300; 150; 5; 320; 80; 16; 1280; 40; 1],0.03327143524074927,0.13739799736170394,tvm
