kc,ku,mc,mr,nc,nr,X,time,peak,backend
32,2,4,1,1792,128,[32; 2; 4; 1; 1792; 128],0.024647111997182947,0.28362376360628583,tvm
512,1,2,1,512,128,[512; 1; 2; 1; 512; 128],0.10867232905002311,0.06432646403896301,tvm
512,64,8,1,448,64,[512; 64; 8; 1; 448; 64],0.09625056548975408,0.07262821398603429,tvm
64,8,2,1,224,16,[64; 8; 2; 1; 224; 16],0.06387192397960462,0.10944568804438791,tvm
128,32,2,1,512,16,[128; 32; 2; 1; 512; 16],0.07262691901996732,0.09625228167457808,tvm
128,1,2,1,128,128,[128; 1; 2; 1; 128; 128],0.03223880050063599,0.21683519728126244,tvm
16,8,4,1,1792,128,[16; 8; 4; 1; 1792; 128],0.02597794473695103,0.26909390783033615,tvm
256,64,16,1,1024,64,[256; 64; 16; 1; 1024; 64],0.10846069705439731,0.0644519799016288,tvm
64,4,32,1,1792,64,[64; 4; 32; 1; 1792; 64],0.02668721273948904,0.26194217938401715,tvm
4096,2,4,1,1792,128,[4096; 2; 4; 1; 1792; 128],0.2832688689813949,0.02467799123780807,tvm
2048,32,32,1,128,64,[2048; 32; 32; 1; 128; 64],0.20829472097102553,0.03356065210908091,tvm
8,4,1,1,7168,128,[8; 4; 1; 1; 7168; 128],0.12755414296407253,0.054804230613157305,tvm
2048,8,4,1,1792,64,[2048; 8; 4; 1; 1792; 64],0.22616981103783473,0.03090822172326643,tvm
512,2,64,1,256,64,[512; 2; 64; 1; 256; 64],0.14548298600129783,0.048050338110356805,tvm
128,2,32,1,16,16,[128; 2; 32; 1; 16; 16],0.061503848497522995,0.11365966256482637,tvm
64,2,16,1,64,16,[64; 2; 16; 1; 64; 16],0.06223596501513384,0.11232262028823356,tvm
1024,64,16,1,1024,64,[1024; 64; 16; 1; 1024; 64],0.13058256398653612,0.05353323179798669,tvm
64,64,8,1,448,16,[64; 64; 8; 1; 448; 16],0.04495036799926311,0.15551611650390193,tvm
8,4,1,1,2048,64,[8; 4; 1; 1; 2048; 64],0.03397148125804961,0.20577573917269953,tvm
8,2,1,1,1792,128,[8; 2; 1; 1; 1792; 128],0.028782894762116484,0.24287017426292518,tvm
2048,2,1,1,112,16,[2048; 2; 1; 1; 112; 16],0.17044186097336933,0.041014024528627374,tvm
512,32,8,1,7168,64,[512; 32; 8; 1; 7168; 64],0.37254142499295995,0.018764374100943993,tvm
4096,1,2,1,896,16,[4096; 1; 2; 1; 896; 16],0.35994533804478124,0.01942102293820227,tvm
128,64,64,1,64,64,[128; 64; 64; 1; 64; 64],0.03217380873684306,0.2172732088962056,tvm
1024,2,16,1,448,16,[1024; 2; 16; 1; 448; 16],0.12528167199343443,0.05579831874396611,tvm
128,16,2,1,7168,64,[128; 16; 2; 1; 7168; 64],0.28169235901441425,0.024816103252232557,tvm
16,2,4,1,1792,16,[16; 2; 4; 1; 1792; 16],0.028796591257560067,0.24275465815181946,tvm
512,64,8,1,256,16,[512; 64; 8; 1; 256; 16],0.19911539397435263,0.03510781626239853,tvm
256,32,8,1,512,128,[256; 32; 8; 1; 512; 128],0.10797914699651301,0.06473941368412933,tvm
2048,4,2,1,896,64,[2048; 4; 2; 1; 896; 64],0.22414041502634063,0.031188068719535268,tvm
16,2,32,1,512,64,[16; 2; 32; 1; 512; 64],0.016669819749949966,0.41935106507001363,tvm
128,16,8,1,1024,64,[128; 16; 8; 1; 1024; 64],0.03703123550803866,0.1887732496840183,tvm
64,4,16,1,7168,16,[64; 4; 16; 1; 7168; 16],0.26167292799800634,0.026714672855725933,tvm
512,32,64,1,3584,16,[512; 32; 64; 1; 3584; 16],0.24635180202312768,0.028376113384428962,tvm
256,1,8,1,1024,128,[256; 1; 8; 1; 1024; 128],0.10600486298790202,0.06594515071883514,tvm
512,2,8,1,14336,64,[512; 2; 8; 1; 14336; 64],0.7350539359613322,0.009510195544391187,tvm
32,4,1,1,7168,128,[32; 4; 1; 1; 7168; 128],0.13833683403208852,0.05053250434403576,tvm
256,64,64,1,1024,16,[256; 64; 64; 1; 1024; 16],0.14168116101063788,0.04933970484715182,tvm
512,1,2,1,112,16,[512; 1; 2; 1; 112; 16],0.16672707599354908,0.041927843003359215,tvm
256,2,4,1,1024,64,[256; 2; 4; 1; 1024; 64],0.10776074300520122,0.06487062423399642,tvm
512,1,16,1,14336,64,[512; 1; 16; 1; 14336; 64],0.7486545139690861,0.009337426725186783,tvm
1024,2,16,1,2048,128,[1024; 2; 16; 1; 2048; 128],0.12844908103579655,0.05442239532035681,tvm
4096,64,4,1,512,64,[4096; 64; 4; 1; 512; 64],0.36714456701884046,0.019040201856801386,tvm
32,8,64,1,16,16,[32; 8; 64; 1; 16; 16],0.030663304001791403,0.22797630243167108,tvm
256,32,64,1,128,128,[256; 32; 64; 1; 128; 128],0.1352397939772345,0.0516897169175177,tvm
32,32,1,1,3584,128,[32; 32; 1; 1; 3584; 128],0.051928608503658324,0.13461763887191763,tvm
1024,1,2,1,896,128,[1024; 1; 2; 1; 896; 128],0.10487482300959527,0.06665571837033839,tvm
128,4,1,1,512,64,[128; 4; 1; 1; 512; 64],0.03815413825213909,0.18321752205410505,tvm
32,16,4,1,7168,128,[32; 16; 4; 1; 7168; 128],0.12476178299402818,0.05603083331216317,tvm
1024,1,2,1,14336,64,[1024; 1; 2; 1; 14336; 64],1.7177246899809688,0.00406963159314204,tvm
4096,32,16,1,128,64,[4096; 32; 16; 1; 128; 64],0.25500718801049516,0.02741297890935907,tvm
512,8,16,1,1792,128,[512; 8; 16; 1; 1792; 128],0.09692199999699369,0.07212507652425143,tvm
64,16,4,1,7168,16,[64; 16; 4; 1; 7168; 16],0.26092500204686075,0.02679124887162484,tvm
256,2,2,1,1024,128,[256; 2; 2; 1; 1024; 128],0.10724743397440761,0.06518110883972111,tvm
4,4,2,1,1024,64,[4; 4; 2; 1; 1024; 64],0.01989672462514136,0.35133956962109797,tvm
16,16,4,1,14336,64,[16; 16; 4; 1; 14336; 64],0.2150183659978211,0.03251120728327694,tvm
512,4,4,1,512,64,[512; 4; 4; 1; 512; 64],0.10767479799687862,0.06492240335449075,tvm
64,8,1,1,448,16,[64; 8; 1; 1; 448; 16],0.057427312509389594,0.1217279089200577,tvm
