kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
8,1,1,1,64,16,1,[8; 1; 1; 1; 64; 16; 1],0.002031431500654435,0.24579805157153758,tvm
8,4,64,4,256,16,1,[8; 4; 64; 4; 256; 16; 1],0.0035197633751522517,0.1418623502610615,tvm
32,8,64,8,256,16,1,[32; 8; 64; 8; 256; 16; 1],0.002566843187196355,0.19452762336732038,tvm
2,2,8,1,512,16,1,[2; 2; 8; 1; 512; 16; 1],0.007255013690155465,0.06882439180500086,tvm
4,4,8,1,16,16,1,[4; 4; 8; 1; 16; 16; 1],0.0016544622185392655,0.3018031473712099,tvm
256,2,64,16,16,16,1,[256; 2; 64; 16; 16; 16; 1],0.002557709062784852,0.19522232298705605,tvm
64,8,16,4,64,32,2,[64; 8; 16; 4; 64; 32; 2],0.0023832434535506763,0.20951359543985731,tvm
16,8,32,1,512,32,2,[16; 8; 32; 1; 512; 32; 2],0.004388415123685263,0.11378183027101338,tvm
128,64,64,16,16,16,1,[128; 64; 64; 16; 16; 16; 1],0.004637858688511187,0.10766216443782886,tvm
8,8,32,2,256,128,8,[8; 8; 32; 2; 256; 128; 8],0.0019008877188753104,0.262678273842148,tvm
4,1,64,4,64,64,4,[4; 1; 64; 4; 64; 64; 4],0.0018097981565006194,0.2758992227770754,tvm
8,8,32,1,128,16,1,[8; 8; 32; 1; 128; 16; 1],0.0014282007732617785,0.34961604426353493,tvm
64,64,16,1,256,128,8,[64; 64; 16; 1; 256; 128; 8],0.0038691397494403645,0.12905243467469146,tvm
8,4,32,2,256,64,4,[8; 4; 32; 2; 256; 64; 4],0.0050500673132773954,0.09887430677391398,tvm
128,4,16,8,128,32,2,[128; 4; 16; 8; 128; 32; 2],0.003911592186341295,0.12765183101281966,tvm
64,1,8,2,1024,128,8,[64; 1; 8; 2; 1024; 128; 8],0.007066856498568086,0.07065686205218392,tvm
32,8,32,2,256,64,4,[32; 8; 32; 2; 256; 64; 4],0.002082265406897932,0.23979743557559877,tvm
16,1,4,4,512,16,1,[16; 1; 4; 4; 512; 16; 1],0.010977978876326233,0.04548395568866336,tvm
4,2,64,2,256,32,2,[4; 2; 64; 2; 256; 32; 2],0.0025600065628168522,0.1950471190247598,tvm
16,8,16,4,64,16,1,[16; 8; 16; 4; 64; 16; 1],0.0022472425935120555,0.22219314737246507,tvm
32,16,64,8,256,16,1,[32; 16; 64; 8; 256; 16; 1],0.003193083655787632,0.1563760798615024,tvm
512,32,64,8,32,16,1,[512; 32; 64; 8; 32; 16; 1],0.0015304603671211225,0.32625601778970326,tvm
64,32,16,16,512,16,1,[64; 32; 16; 16; 512; 16; 1],0.011662203189189313,0.042815400886238086,tvm
16,16,32,2,1024,32,2,[16; 16; 32; 2; 1024; 32; 2],0.007407789562421385,0.06740497965747981,tvm
8,8,8,2,1024,32,2,[8; 8; 8; 2; 1024; 32; 2],0.008795575813564938,0.05676966640340111,tvm
4,4,32,16,32,16,1,[4; 4; 32; 16; 32; 16; 1],0.001975838141333952,0.25271397201837414,tvm
4,1,2,2,512,64,4,[4; 1; 2; 2; 512; 64; 4],0.0038059312500990927,0.13119572371384908,tvm
8,4,8,2,512,32,2,[8; 4; 8; 2; 512; 32; 2],0.0038874807196407346,0.1284435707267122,tvm
256,32,4,4,128,32,2,[256; 32; 4; 4; 128; 32; 2],0.0010035030154540436,0.4975788782617482,tvm
64,64,2,2,1024,128,8,[64; 64; 2; 2; 1024; 128; 8],0.007995728061359841,0.06244858516073452,tvm
4,1,64,1,256,32,2,[4; 1; 64; 1; 256; 32; 2],0.0028369233596095,0.17600824607071372,tvm
8,1,8,8,1024,16,1,[8; 1; 8; 8; 1024; 16; 1],0.037979977001668885,0.013146977543982292,tvm
32,1,8,4,256,64,4,[32; 1; 8; 4; 256; 64; 4],0.0037305226887838216,0.13384770618422037,tvm
16,4,32,2,64,32,2,[16; 4; 32; 2; 64; 32; 2],0.0009511653593108349,0.5249580421260164,tvm
64,8,64,2,1024,128,8,[64; 8; 64; 2; 1024; 128; 8],0.007177822124504019,0.06956454145851483,tvm
32,16,64,16,16,16,1,[32; 16; 64; 16; 16; 16; 1],0.0013893561172153568,0.3593908707601044,tvm
4,1,2,2,512,16,1,[4; 1; 2; 2; 512; 16; 1],0.004579113905492704,0.10904334660969274,tvm
4,4,8,8,128,16,1,[4; 4; 8; 8; 128; 16; 1],0.0012840168592447299,0.3888748821067742,tvm
64,1,1,1,256,128,8,[64; 1; 1; 1; 256; 128; 8],0.0062706806893402245,0.07962802277761036,tvm
8,1,4,1,1024,16,1,[8; 1; 4; 1; 1024; 16; 1],0.0087296378769679,0.05719846708410501,tvm
2,2,16,2,32,16,1,[2; 2; 16; 2; 32; 16; 1],0.0017684719532553572,0.28234652172049773,tvm
512,32,64,16,16,16,1,[512; 32; 64; 16; 16; 16; 1],0.00375246337534918,0.13306509746159512,tvm
8,4,8,1,128,16,1,[8; 4; 8; 1; 128; 16; 1],0.0013285193358569813,0.3758484286115487,tvm
256,128,16,8,16,16,1,[256; 128; 16; 8; 16; 16; 1],0.004123025375520228,0.12110570740761016,tvm
16,1,16,4,64,32,2,[16; 1; 16; 4; 64; 32; 2],0.004065760438606958,0.12281144260752025,tvm
128,128,8,4,64,32,2,[128; 128; 8; 4; 64; 32; 2],0.002060017422081728,0.24238722420964795,tvm
2,2,32,4,256,32,2,[2; 2; 32; 4; 256; 32; 2],0.00501989774966205,0.09946854092705776,tvm
32,1,32,4,64,64,4,[32; 1; 32; 4; 64; 64; 4],0.0018125350625268766,0.27548261828700527,tvm
64,64,64,8,1024,32,2,[64; 64; 64; 8; 1024; 32; 2],0.018958806125738192,0.026337201902393675,tvm
4,4,32,8,64,16,1,[4; 4; 32; 8; 64; 16; 1],0.0018902394531323807,0.26415801655946886,tvm
8,8,4,1,256,16,1,[8; 8; 4; 1; 256; 16; 1],0.0018146131096727913,0.2751671428472937,tvm
32,32,16,1,1024,128,8,[32; 32; 16; 1; 1024; 128; 8],0.006964185064134654,0.07169854048442764,tvm
2,2,32,8,32,16,1,[2; 2; 32; 8; 32; 16; 1],0.002852103842997167,0.17507143226495797,tvm
2,2,32,8,1024,32,2,[2; 2; 32; 8; 1024; 32; 2],0.0725429140147753,0.006883124444934822,tvm
256,1,16,16,128,16,1,[256; 1; 16; 16; 128; 16; 1],0.0028943318911842653,0.17251715543845206,tvm
8,8,16,8,64,16,1,[8; 8; 16; 8; 64; 16; 1],0.001314711343638919,0.3797958442952644,tvm
256,4,64,8,512,32,2,[256; 4; 64; 8; 512; 32; 2],0.00690085156384157,0.07235656355488133,tvm
512,512,64,8,256,16,1,[512; 512; 64; 8; 256; 16; 1],0.006046768656233326,0.08257665096004253,tvm
256,128,32,16,1024,16,1,[256; 128; 32; 16; 1024; 16; 1],0.09481464550481178,0.005266295118263819,tvm
8,8,4,1,512,128,8,[8; 8; 4; 1; 512; 128; 8],0.004337732811109163,0.11511126353451623,tvm
64,16,16,8,32,16,1,[64; 16; 16; 8; 32; 16; 1],0.0010737392267401447,0.4650308867618055,tvm
256,4,8,4,256,32,2,[256; 4; 8; 4; 256; 32; 2],0.0029056026723992545,0.17184796445330833,tvm
4,4,16,1,64,32,2,[4; 4; 16; 1; 64; 32; 2],0.0022259234056036803,0.22432124281764604,tvm
2,2,16,2,512,32,2,[2; 2; 16; 2; 512; 32; 2],0.008783322689851047,0.05684886259944214,tvm
8,8,16,2,512,16,1,[8; 8; 16; 2; 512; 16; 1],0.0061092171254131244,0.08173255173479188,tvm
2,1,32,8,1024,16,1,[2; 1; 32; 8; 1024; 16; 1],0.0922191969875712,0.005414511523335002,tvm
16,4,8,8,64,16,1,[16; 4; 8; 8; 64; 16; 1],0.0016013478280001436,0.3118135211045854,tvm
256,16,64,4,256,32,2,[256; 16; 64; 4; 256; 32; 2],0.001940391562129662,0.257330486540499,tvm
128,8,8,8,512,16,1,[128; 8; 8; 8; 512; 16; 1],0.005574567810981534,0.08957141103894606,tvm
256,128,16,4,512,32,2,[256; 128; 16; 4; 512; 32; 2],0.006984145060414448,0.07149363314230395,tvm
16,2,4,1,32,32,2,[16; 2; 4; 1; 32; 32; 2],0.0011833472581201931,0.42195720768821726,tvm
64,4,16,4,256,32,2,[64; 4; 16; 4; 256; 32; 2],0.0029182406406107475,0.1711037458026092,tvm
128,4,16,2,1024,64,4,[128; 4; 16; 2; 1024; 64; 4],0.007777619564876659,0.06419983654340944,tvm
4,1,8,4,128,64,4,[4; 1; 8; 4; 128; 64; 4],0.0017955690937014879,0.2780855977714421,tvm
8,4,8,1,64,64,4,[8; 4; 8; 1; 64; 64; 4],0.0008501635393258766,0.587324534239417,tvm
16,16,1,1,512,16,1,[16; 16; 1; 1; 512; 16; 1],0.0062840334394422825,0.0794588236319475,tvm
16,2,64,4,128,64,4,[16; 2; 64; 4; 128; 64; 4],0.0035208653134759516,0.14181795107321288,tvm
64,16,32,8,512,32,2,[64; 16; 32; 8; 512; 32; 2],0.0035739478444156703,0.13971158128177508,tvm
128,2,16,4,1024,32,2,[128; 2; 16; 4; 1024; 32; 2],0.026699286507209763,0.018701694692368275,tvm
2,1,16,1,16,16,1,[2; 1; 16; 1; 16; 16; 1],0.0025189518282786594,0.19822606337935383,tvm
128,32,32,16,128,16,1,[128; 32; 32; 16; 128; 16; 1],0.002173043765651528,0.22977995779675278,tvm
8,1,8,2,256,128,8,[8; 1; 8; 2; 256; 128; 8],0.002079556093121937,0.24010985152715786,tvm
16,16,64,1,1024,128,8,[16; 16; 64; 1; 1024; 128; 8],0.0065704381886462215,0.07599522138793387,tvm
32,8,16,16,1024,16,1,[32; 8; 16; 16; 1024; 16; 1],0.02729979800642468,0.018290314992235303,tvm
128,8,64,8,1024,16,1,[128; 8; 64; 8; 1024; 16; 1],0.014155058495816775,0.0352751565745538,tvm
64,8,16,8,128,32,2,[64; 8; 16; 8; 128; 32; 2],0.0009968077342819015,0.5009209776262574,tvm
8,2,16,1,128,128,8,[8; 2; 16; 1; 128; 128; 8],0.0017338104216833017,0.28799106206613345,tvm
2,2,8,2,64,32,2,[2; 2; 8; 2; 64; 32; 2],0.0012171579687674239,0.4102359082178559,tvm
64,32,16,2,256,128,8,[64; 32; 16; 2; 256; 128; 8],0.003641870718638529,0.1371058841288497,tvm
8,1,2,2,512,64,4,[8; 1; 2; 2; 512; 64; 4],0.0033043621879187413,0.15110991966543583,tvm
4,1,8,1,512,32,2,[4; 1; 8; 1; 512; 32; 2],0.004140512093727011,0.12059423893928267,tvm
64,16,32,16,256,16,1,[64; 16; 32; 16; 256; 16; 1],0.0035552898752939655,0.1404447801097003,tvm
64,64,4,2,1024,128,8,[64; 64; 4; 2; 1024; 128; 8],0.01819330187572632,0.0274453701792364,tvm
32,16,8,8,32,16,1,[32; 16; 8; 8; 32; 16; 1],0.001096611968932848,0.4553314380179642,tvm
