i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
197,1,1,384,32,16,384,48,1,[197; 1; 1; 384; 32; 16; 384; 48; 1],0.010475620376382722,0.020632395513722878,tvm
1,1,1,384,128,32,768,24,2,[1; 1; 1; 384; 128; 32; 768; 24; 2],0.004405206187584554,0.04906402416901497,tvm
197,1,1,768,384,16,192,6,1,[197; 1; 1; 768; 384; 16; 192; 6; 1],0.0275805275014136,0.007836584809556853,tvm
197,1,1,128,32,16,32,2,1,[197; 1; 1; 128; 32; 16; 32; 2; 1],0.001847028749580204,0.11701882978609124,tvm
1,1,1,128,64,64,192,24,4,[1; 1; 1; 128; 64; 64; 192; 24; 4],0.0023752610468363855,0.09099511110368955,tvm
197,197,1,192,192,64,32,32,4,[197; 197; 1; 192; 192; 64; 32; 32; 4],0.0018298643281013938,0.118116485215819,tvm
197,1,1,192,48,16,1,1,1,[197; 1; 1; 192; 48; 16; 1; 1; 1],0.0016453377029392868,0.1313633927375688,tvm
197,1,1,128,64,64,192,6,4,[197; 1; 1; 128; 64; 64; 192; 6; 4],0.0023091985622158973,0.09359833597407861,tvm
197,197,1,768,128,64,384,16,4,[197; 197; 1; 768; 128; 64; 384; 16; 4],0.0059721345623984234,0.03619093652342985,tvm
197,197,1,64,64,64,24,8,4,[197; 197; 1; 64; 64; 64; 24; 8; 4],0.0005235037187958369,0.41286648995407604,tvm
197,197,1,384,128,16,384,12,1,[197; 197; 1; 384; 128; 16; 384; 12; 1],0.006619926251005381,0.03264947896123732,tvm
1,1,1,192,32,32,256,64,2,[1; 1; 1; 192; 32; 32; 256; 64; 2],0.006871003250125796,0.03145641691454385,tvm
197,1,1,128,128,64,768,8,4,[197; 1; 1; 128; 128; 64; 768; 8; 4],0.00212421204741986,0.1017493254120606,tvm
1,1,1,384,192,16,384,12,1,[1; 1; 1; 384; 192; 16; 384; 12; 1],0.007025682876701467,0.030763862623787892,tvm
197,197,1,96,16,16,256,4,1,[197; 197; 1; 96; 16; 16; 256; 4; 1],0.004837080001379945,0.04468339221089629,tvm
197,197,1,96,96,48,384,6,3,[197; 197; 1; 96; 96; 48; 384; 6; 3],0.0027798263436125126,0.07775203057334246,tvm
1,1,1,128,32,16,48,8,1,[1; 1; 1; 128; 32; 16; 48; 8; 1],0.004892881437626784,0.044173795259992404,tvm
197,1,1,384,48,48,4,1,3,[197; 1; 1; 384; 48; 48; 4; 1; 3],0.007666571749723516,0.02819215027433057,tvm
1,1,1,768,256,32,768,2,2,[1; 1; 1; 768; 256; 32; 768; 2; 2],0.0045935215948702535,0.047052601885775557,tvm
197,1,1,192,16,16,32,8,1,[197; 1; 1; 192; 16; 16; 32; 8; 1],0.010390084309619851,0.020802251109457146,tvm
