X;time;peak
[32, 1, 8, 3];0.023062159000000002;0.021651134430297907
[8, 32, 1, 2];0.002962835;0.1685284211783325
[2, 1, 16, 3];0.031283081;0.015961404337440574
[1, 16, 32, 5];0.004360437;0.11451189519809707
[16, 256, 2, 1];0.0024999189999999998;0.1997352333263217
[4, 1, 8, 5];0.015999857;0.03120789796820714
[16, 16, 64, 4];0.000813153;0.614056524125109
[16, 8, 16, 4];0.001568553;0.31833282315733336
[1, 32, 1, 1];0.0019969;0.2500485275987304
[4, 16, 4, 0];0.001581777;0.31567149146934415
[8, 4, 1, 5];0.004734491;0.10546474895863245
[1, 4, 128, 3];0.057885146;0.008626080078676917
[4, 4, 8, 3];0.004016731;0.12431051637809572
[8, 4, 8, 4];0.002879207;0.17342341303070768
[1, 64, 1, 3];0.002836183;0.1760541914121567
[8, 1, 16, 3];0.011372028999999999;0.04390789935216528
[4, 4, 256, 1];0.014486782;0.03446741345054442
[256, 2, 2, 0];0.030481906;0.016380927910541576
[2, 2, 4, 1];0.015804696;0.03159326220269626
[32, 4, 1, 3];0.037755877;0.013225011427013197
[2, 1, 64, 0];0.031309635;0.015947867318220246
[128, 1, 8, 0];0.025923653;0.01926124781726961
[16, 1, 64, 4];0.010877285;0.045905012580060627
[16, 4, 16, 3];0.011642056999999999;0.04288949150153661
[32, 4, 8, 5];0.062019482;0.008051049261615968
[1, 8, 2, 2];0.007719359;0.06468437402145757
[8, 64, 2, 4];0.001166073;0.42820810083237054
[4, 1, 256, 2];0.057938559;0.008618127778461056
[2, 128, 64, 1];0.001443649;0.34587486623265407
[16, 2, 32, 1];0.01443644;0.034587606415564
[2, 64, 1, 3];0.001406196;0.35508698983776427
[256, 16, 2, 4];0.010210644999999999;0.04890209235184504
[32, 1, 8, 2];0.021665316;0.023047063092082515
[2, 16, 16, 4];0.001979442;0.25225386990975474
[1, 1, 256, 3];0.061255132000000004;0.008151511366621572
[8, 8, 4, 1];0.001742217;0.2866014421635794
[4, 2, 8, 4];0.008010691;0.06233193924992298
[16, 2, 2, 0];0.01815187;0.027508014588133605
[1, 256, 8, 1];0.0014865219999999999;0.33589943826052004
[128, 8, 1, 5];0.161929467;0.0030835765349731237
[128, 1, 8, 2];0.026229662;0.019036535993559686
[1, 8, 64, 1];0.007692714;0.06490841915634778
[2, 8, 4, 4];0.003954705;0.1262602153035194
[2, 4, 128, 2];0.055278196;0.009032890739811856
[4, 128, 2, 1];0.001426265;0.3500905545336279
[4, 4, 32, 3];0.016482614000000003;0.030293854164266946
[64, 16, 4, 4];0.005473995000000001;0.09121709186104568
[4, 2, 1, 1];0.008078535000000001;0.06180847205117075
[1, 4, 256, 3];0.061257496;0.008151196790053331
[8, 64, 4, 4];0.001069872;0.466711816705087
[2, 8, 8, 2];0.003932281;0.1269802195626164
[32, 8, 4, 1];0.003150084;0.15851066344957937
[8, 4, 32, 2];0.033301524;0.014993965584334962
[16, 2, 32, 0];0.032265051;0.015475627320778285
[4, 2, 2, 5];0.020108842;0.024830962656223806
[1, 16, 2, 1];0.003894156;0.1282233954576819
[16, 1, 64, 1];0.038085434999999994;0.013110573760333966
