X;time;peak
[1, 16, 1, 1];0.003879272;0.12871536328514854
[1, 16, 1, 4];0.0038664520000000003;0.1291421449850935
[1, 16, 2, 1];0.003873817;0.12889661663467963
[1, 16, 2, 4];0.0038748990000000002;0.12886062443483165
[1, 16, 4, 1];0.003871899;0.12896046739904754
[1, 16, 4, 4];0.003873006;0.12892360733804822
[1, 16, 8, 1];0.003851125;0.1296561147098328
[1, 16, 8, 4];0.0038506;0.12967379233415696
[1, 16, 16, 1];0.00384979;0.12970107584099516
[1, 16, 16, 4];0.003852009;0.12962635984544812
[1, 16, 32, 1];0.003859076;0.12938897932093196
[1, 16, 32, 4];0.003854053;0.12955761240489033
[1, 16, 64, 1];0.004119434;0.12121128892025089
[1, 16, 64, 4];0.003855502;0.129508921214904
[1, 16, 128, 1];0.003866777;0.12913129067487078
[1, 16, 128, 4];0.003855159;0.12952044384210995
[1, 16, 256, 1];0.003912851;0.12761076380416855
[1, 16, 256, 4];0.003940753;0.12670723203456416
[1, 16, 512, 1];0.00390181;0.12797186556031812
[1, 16, 512, 4];0.006171167;0.08091207137351894
[1, 32, 1, 1];0.00200627;0.2488807113508674
[1, 32, 1, 4];0.001997868;0.2499273749626626
[1, 32, 2, 1];0.0020009169999999996;0.2495465352945199
[1, 32, 2, 4];0.002004479;0.24910308601981102
[1, 32, 4, 1];0.002002441;0.24935661263523107
[1, 32, 4, 4];0.002015254;0.24777120142766357
[1, 32, 8, 1];0.001998694;0.24982408751009647
[1, 32, 8, 4];0.0019984070000000002;0.2498599658437469
[1, 32, 16, 1];0.0019857119999999997;0.25145736378785283
[1, 32, 16, 4];0.001992603;0.25058775117868676
[1, 32, 32, 1];0.001982215;0.2519009818621617
[1, 32, 32, 4];0.001999098;0.24977360027467627
[1, 32, 64, 1];0.00199243;0.2506095093739327
[1, 32, 64, 4];0.00198252;0.251862228255909
[1, 32, 128, 1];0.002185854;0.22843332846654202
[1, 32, 128, 4];0.002000242;0.24963074706055804
[1, 32, 256, 1];0.002013757;0.2479553912224289
[1, 32, 256, 4];0.002018153;0.24741528752374314
[1, 32, 512, 1];0.002007001;0.24879006276623916
[1, 32, 512, 4];0.002012399;0.24812271560555577
[1, 64, 1, 1];0.001589921;0.3140545377801191
[1, 64, 1, 4];0.0015804089999999999;0.3159447363068072
[1, 64, 2, 1];0.001583826;0.3152631064030422
[1, 64, 2, 4];0.001594532;0.313146368189478
[1, 64, 4, 1];0.001580757;0.31587518180334156
[1, 64, 4, 4];0.00157736;0.3165554500950352
[1, 64, 8, 1];0.001571026;0.3178317257396789
[1, 64, 8, 4];0.001602917;0.3115082719578773
[1, 64, 16, 1];0.001590103;0.3140185917276458
[1, 64, 16, 4];0.001571603;0.31771503666123363
[1, 64, 32, 1];0.001586413;0.31474899963748704
[1, 64, 32, 4];0.001584071;0.3152143463025993
[1, 64, 64, 1];0.001573963;0.3172386547599307
[1, 64, 64, 4];0.001601641;0.31175644527200835
[1, 64, 128, 1];0.001637735;0.30488565290593705
[1, 64, 128, 4];0.0016511899999999999;0.3024012407790168
[1, 64, 256, 1];0.001609366;0.31026000596626546
[1, 64, 256, 4];0.006594396;0.07571912647676979
[1, 128, 1, 1];0.0014907850000000001;0.33493891121919306
[1, 128, 1, 4];0.001522162;0.3280346669815071
[1, 128, 2, 1];0.001491952;0.3346769230926362
[1, 128, 2, 4];0.001513262;0.3299639485838571
[1, 128, 4, 1];0.001515652;0.3294436353212378
[1, 128, 4, 4];0.0014726049999999999;0.3390738893063006
[1, 128, 8, 1];0.0014565280000000001;0.3428165505653889
[1, 128, 8, 4];0.00145766;0.3425503236433083
[1, 128, 16, 1];0.0014502459999999999;0.34430152178451434
[1, 128, 16, 4];0.0014672799999999998;0.3403044441155777
[1, 128, 32, 1];0.0014646809999999998;0.34090829659284505
[1, 128, 32, 4];0.001455978;0.34294605053229155
[1, 128, 64, 1];0.001536757;0.32491923235873
[1, 128, 64, 4];0.00607439;0.0822011600772925
[1, 128, 128, 1];0.001508499;0.33100579102929784
[1, 128, 128, 4];0.001526492;0.32710417398971287
[1, 256, 1, 1];0.001463775;0.3411193009594403
[1, 256, 1, 4];0.004214721;0.11847092720061535
[1, 256, 2, 1];0.001433548;0.3483119538110372
[1, 256, 2, 4];0.004416583;0.11305615784010055
[1, 256, 4, 1];0.001425681;0.35023396170805726
[1, 256, 4, 4];0.0014152849999999999;0.3528066112209942
[1, 256, 8, 1];0.001437381;0.34738312581139225
[1, 256, 8, 4];0.001427569;0.34977076748087466
[1, 256, 16, 1];0.001449435;0.3444941682530812
[1, 256, 16, 4];0.0014213169999999998;0.35130931717688935
[1, 256, 32, 1];0.001443764;0.34584731629400983
[1, 256, 32, 4];0.0014203170000000002;0.3515566628871616
[1, 256, 64, 1];0.003088983;0.16164605139034588
[1, 256, 64, 4];0.001433789;0.34825340741343724
[2, 16, 1, 1];0.001990467;0.25085666065395945
[2, 16, 1, 4];0.001994669;0.25032820220392693
[2, 16, 2, 1];0.001997014;0.2500342535214599
[2, 16, 2, 4];0.002019241;0.24728197612959757
[2, 16, 4, 1];0.001995204;0.25026107844706846
[2, 16, 4, 4];0.001997332;0.24999444497054307
[2, 16, 8, 1];0.001977455;0.25250734138673436
[2, 16, 8, 4];0.001983142;0.25178323325405083
[2, 16, 16, 1];0.002003031;0.24928316374629486
[2, 16, 16, 4];0.001983677;0.2517153270224461
[2, 16, 32, 1];0.0019905269999999997;0.2508490991390244
[2, 16, 32, 4];0.0020514039999999997;0.2434049581466668
[2, 16, 64, 1];0.001980501;0.2521189864392418
[2, 16, 64, 4];0.002042151;0.24450782765912257
[2, 16, 128, 1];0.0038612449999999997;0.12931629688401144
[2, 16, 128, 4];0.00217703;0.22935922093949315
[2, 16, 256, 1];0.0039624429999999995;0.12601364985235242
[2, 16, 256, 4];0.002039188;0.24486310470731723
[2, 16, 512, 1];0.003996594;0.12493685992670378
[2, 16, 512, 4];0.002028378;0.24616807358485684
[2, 32, 1, 1];0.001074328;0.4647760318654124
[2, 32, 1, 4];0.001065635;0.46856747832222545
[2, 32, 2, 1];0.001079202;0.4626769638695117
[2, 32, 2, 4];0.001063466;0.4695231486120898
[2, 32, 4, 1];0.001080204;0.46224778353154106
[2, 32, 4, 4];0.001055661;0.4729945548446942
[2, 32, 8, 1];0.00109265;0.45698247816034854
[2, 32, 8, 4];0.001571979;0.3176390427365154
[2, 32, 16, 1];0.0010585549999999999;0.4717014276649818
[2, 32, 16, 4];0.0014698469999999998;0.33971012272835527
[2, 32, 32, 1];0.001068325;0.46738764398652544
[2, 32, 32, 4];0.001318913;0.3785859300514172
[2, 32, 64, 1];0.001164229;0.4288863314364312
[2, 32, 64, 4];0.001235297;0.4042120273601448
[2, 32, 128, 1];0.0020909979999999997;0.2387959743442628
[2, 32, 128, 4];0.0012544169999999999;0.398050970898756
[2, 32, 256, 1];0.002171087;0.2299870547619256
[2, 32, 256, 4];0.001395502;0.3578080896780547
[2, 64, 1, 1];0.000865447;0.5769526091856634
[2, 64, 1, 4];0.000867777;0.5754034789604988
[2, 64, 2, 1];0.000869106;0.5745235963874427
[2, 64, 2, 4];0.0008631520000000001;0.5784866451817348
[2, 64, 4, 1];0.000888675;0.561872343389771
[2, 64, 4, 4];0.000867027;0.575901217334529
[2, 64, 8, 1];0.0008618479999999999;0.579361911568983
[2, 64, 8, 4];0.0008544410000000001;0.5843842989298322
[2, 64, 16, 1];0.0008531140000000001;0.5852932958102959
[2, 64, 16, 4];0.00116572;0.42833776958609676
[2, 64, 32, 1];0.0008616120000000001;0.579520601804414
[2, 64, 32, 4];0.00117934;0.4233909684755073
[2, 64, 64, 1];0.000871534;0.5729230354316697
[2, 64, 64, 4];0.001151468;0.43363941052804317
[2, 64, 128, 1];0.0016329629999999999;0.30577661879779566
[2, 64, 128, 4];0.001063704;0.4694180944716808
[2, 128, 1, 1];0.0007956349999999999;0.6275765957529581
[2, 128, 1, 4];0.000801529;0.6229617453166445
[2, 128, 2, 1];0.0008072099999999999;0.6185774516692122
[2, 128, 2, 4];0.000802918;0.6218840588477339
[2, 128, 4, 1];0.000857607;0.5822269463307841
[2, 128, 4, 4];0.000801292;0.6231460001621192
[2, 128, 8, 1];0.000811966;0.6149542034542146
[2, 128, 8, 4];0.000810206;0.6162900605054823
[2, 128, 16, 1];0.00083599;0.5972821502193864
[2, 128, 16, 4];0.001489317;0.33526905605851864
[2, 128, 32, 1];0.001001643;0.4985028645554402
[2, 128, 32, 4];0.001512736;0.3300786817804989
[2, 128, 64, 1];0.001370064;0.3644515181494476
[2, 128, 64, 4];0.0015799710000000001;0.31603232259446834
[2, 256, 1, 1];0.002013335;0.24800736328624134
[2, 256, 1, 4];0.002021442;0.24701272891426257
[2, 256, 2, 1];0.00210846;0.23681829617915673
[2, 256, 2, 4];0.002216606;0.2252641672728057
[2, 256, 4, 1];0.0027600539999999996;0.18091019406211067
[2, 256, 4, 4];0.002235598;0.22335048821921685
[2, 256, 8, 1];0.002458107;0.2031326971372299
[2, 256, 8, 4];0.002324788;0.21478169397033398
[2, 256, 16, 1];0.0026941630000000003;0.18533470497586996
[2, 256, 16, 4];0.0023049200000000002;0.2166330739296395
[2, 256, 32, 1];0.002749571;0.18159993132088778
[2, 256, 32, 4];0.0024805030000000002;0.20129864981493864
[4, 16, 1, 1];0.0010292889999999999;0.4851134178660268
[4, 16, 1, 4];0.001030374;0.484602585820202
[4, 16, 2, 1];0.001096941;0.4551948598529044
[4, 16, 2, 4];0.001027436;0.48598832896832966
[4, 16, 4, 1];0.001056687;0.4725352964140799
[4, 16, 4, 4];0.0010264340000000001;0.4864627484688784
[4, 16, 8, 1];0.0011510560000000001;0.4337946240338478
[4, 16, 8, 4];0.001031018;0.48429989075060254
[4, 16, 16, 1];0.001319532;0.3784083332286786
[4, 16, 16, 4];0.001193333;0.41842629405363363
[4, 16, 32, 1];0.0010348;0.4825298654444383
[4, 16, 32, 4];0.0013475660000000001;0.3705361405392424
[4, 16, 64, 1];0.002883871;0.1731429404303815
[4, 16, 64, 4];0.0013402350000000002;0.3725629496035432
[4, 16, 128, 1];0.003759245;0.13282504991345465
[4, 16, 128, 4];0.001169797;0.426844918188288
[4, 16, 256, 1];0.003964744;0.1259405158975976
[4, 16, 256, 4];0.0013423069999999998;0.37198785729486983
[4, 32, 1, 1];0.0007638909999999999;0.6536559597663866
[4, 32, 1, 4];0.000758132;0.6586213281617248
[4, 32, 2, 1];0.000747182;0.668273465851566
[4, 32, 2, 4];0.0007554279999999999;0.6609788156672838
[4, 32, 4, 1];0.0007983900000000001;0.6254110206314016
[4, 32, 4, 4];0.000750396;0.665411202567584
[4, 32, 8, 1];0.000839556;0.5947452043245535
[4, 32, 8, 4];0.00073849;0.6761390198403564
[4, 32, 16, 1];0.00089193;0.5598218523448082
[4, 32, 16, 4];0.0010135510000000001;0.4926460580295463
[4, 32, 32, 1];0.000942272;0.5299127054204145
[4, 32, 32, 4];0.000848264;0.5886397451287627
[4, 32, 64, 1];0.002173891;0.22969040525118545
[4, 32, 64, 4];0.0009698139999999999;0.5148635766878028
[4, 32, 128, 1];0.0021374339999999997;0.23360810427919873
[4, 32, 128, 4];0.001001639;0.49850485530406147
[4, 64, 1, 1];0.000636046;0.7850405548685233
[4, 64, 1, 4];0.0006331360000000001;0.7886487338611368
[4, 64, 2, 1];0.000626307;0.7972478429299126
[4, 64, 2, 4];0.00061349;0.813903901875996
[4, 64, 4, 1];0.000589985;0.8463298300158559
[4, 64, 4, 4];0.0005927;0.842453019675898
[4, 64, 8, 1];0.000590213;0.8460028917728087
[4, 64, 8, 4];0.000589768;0.8466412297071133
[4, 64, 16, 1];0.000597957;0.8350465079627879
[4, 64, 16, 4];0.0008262549999999999;0.6043193744811285
[4, 64, 32, 1];0.00060556;0.8245622312601638
[4, 64, 32, 4];0.000820349;0.6086700962174694
[4, 64, 64, 1];0.0020940110000000002;0.23845237907628217
[4, 64, 64, 4];0.001039513;0.48034214556422555
[4, 128, 1, 1];0.001119176;0.446151369187603
[4, 128, 1, 4];0.001101669;0.45324131364493764
[4, 128, 2, 1];0.001324923;0.3768686216194487
[4, 128, 2, 4];0.0014228320000000002;0.35093525079693505
[4, 128, 4, 1];0.001557903;0.32050898211371615
[4, 128, 4, 4];0.001194651;0.4179646647949107
[4, 128, 8, 1];0.002034974;0.2453701643175317
[4, 128, 8, 4];0.0013118749999999999;0.38061698314390074
[4, 128, 16, 1];0.00197425;0.25291726213088755
[4, 128, 16, 4];0.001329471;0.3755793881640929
[4, 128, 32, 1];0.002097356;0.23807207968599742
[4, 128, 32, 4];0.0013415760000000001;0.37219054661227147
[4, 256, 1, 1];0.0022059289999999997;0.22635447684939308
[4, 256, 1, 4];0.0022039819999999997;0.22655443863058083
[4, 256, 2, 1];0.0021489169999999998;0.23235979089090217
[4, 256, 2, 4];0.002478077;0.20149571815641917
[4, 256, 4, 1];0.002691342;0.1855289683592441
[4, 256, 4, 4];0.0021801529999999998;0.22903067113267042
[4, 256, 8, 1];0.0025293100000000003;0.19741427692212687
[4, 256, 8, 4];0.0024719000000000004;0.20199923328690672
[4, 256, 16, 1];0.0027782550000000003;0.17972500895774676
[4, 256, 16, 4];0.0024912930000000003;0.20042680839303315
[8, 16, 1, 1];0.000746802;0.6686135076792842
[8, 16, 1, 4];0.000797873;0.6258162699601374
[8, 16, 2, 1];0.000808734;0.6174117877595164
[8, 16, 2, 4];0.00083963;0.5946927870155959
[8, 16, 4, 1];0.000830828;0.6009931114044119
[8, 16, 4, 4];0.000742821;0.672196807524161
[8, 16, 8, 1];0.000997554;0.5005462408670656
[8, 16, 8, 4];0.00080427;0.6208386546332758
[8, 16, 16, 1];0.001001624;0.4985123207530019
[8, 16, 16, 4];0.000824099;0.6059003891060476
[8, 16, 32, 1];0.0019682280000000003;0.25369108902114224
[8, 16, 32, 4];0.001124194;0.44415990902095615
[8, 16, 64, 1];0.002684884;0.18597522453927426
[8, 16, 64, 4];0.00107007;0.46662545885961176
[8, 16, 128, 1];0.003737697;0.13359079260889922
[8, 16, 128, 4];0.001080597;0.46207966962882996
[8, 32, 1, 1];0.000640967;0.7790134355776581
[8, 32, 1, 4];0.000645335;0.7737406227182855
[8, 32, 2, 1];0.0006242410000000001;0.7998864296992743
[8, 32, 2, 4];0.0006090550000000001;0.8198305649931529
[8, 32, 4, 1];0.000628585;0.7943586066512959
[8, 32, 4, 4];0.00059387;0.8407932792730812
[8, 32, 8, 1];0.000714353;0.6989848222964063
[8, 32, 8, 4];0.000590182;0.8460473290644324
[8, 32, 16, 1];0.0007890859999999999;0.632785152393915
[8, 32, 16, 4];0.0007463680000000001;0.6690022947954691
[8, 32, 32, 1];0.0015539080000000001;0.321332990602986
[8, 32, 32, 4];0.000815839;0.6120348558501185
[8, 32, 64, 1];0.0019037239999999999;0.2622869201427858
[8, 32, 64, 4];0.000890926;0.5604527253238819
[8, 64, 1, 1];0.000762219;0.6550898163938511
[8, 64, 1, 4];0.0007603229999999999;0.6567233988211653
[8, 64, 2, 1];0.001396756;0.3574868515058498
[8, 64, 2, 4];0.001308477;0.3816054120644878
[8, 64, 4, 1];0.000999485;0.4995791880437473
[8, 64, 4, 4];0.000748071;0.6674792964329653
[8, 64, 8, 1];0.001002635;0.4980096493359047
[8, 64, 8, 4];0.000759221;0.6576766248060903
[8, 64, 16, 1];0.0010457449999999998;0.4774796004397868
[8, 64, 16, 4];0.001015546;0.49167827430948946
[8, 64, 32, 1];0.0014295150000000001;0.34929462423402674
[8, 64, 32, 4];0.0008932759999999999;0.5589783054306897
[8, 128, 1, 1];0.001547609;0.3226408639145319
[8, 128, 1, 4];0.00154514;0.3231564160929785
[8, 128, 2, 1];0.001328662;0.37580807215221385
[8, 128, 2, 4];0.0018905130000000001;0.2641197943425434
[8, 128, 4, 1];0.001383386;0.3609418519212315
[8, 128, 4, 4];0.001889616;0.26424517190895125
[8, 128, 8, 1];0.002048152;0.24379142991433483
[8, 128, 8, 4];0.001984943;0.2515547825614664
[8, 128, 16, 1];0.0020191249999999997;0.24729618263450992
[8, 128, 16, 4];0.001995701;0.2501987546039736
[8, 256, 1, 1];0.002312102;0.21596015433657545
[8, 256, 1, 4];0.0023273670000000003;0.21454369025680295
[8, 256, 2, 1];0.0023471570000000003;0.21273477009075434
[8, 256, 2, 4];0.002428154;0.20563848288119482
[8, 256, 4, 1];0.002836748;0.1760191263946973
[8, 256, 4, 4];0.002512285;0.19875209411428432
[8, 256, 8, 1];0.0026214840000000003;0.19047299345023838
[8, 256, 8, 4];0.002439913;0.20464742175721215
[16, 16, 1, 1];0.000662985;0.7531420843034228
[16, 16, 1, 4];0.000674257;0.7405513102005685
[16, 16, 2, 1];0.000683726;0.7302953299448972
