kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
1,1,64,1,2048,32,2,[1; 1; 64; 1; 2048; 32; 2],1.1607255090493709,0.04818025700075713,tvm
64,4,32,4,256,64,4,[64; 4; 32; 4; 256; 64; 4],0.17300306702964008,0.32325469307288085,tvm
28,14,16,4,2048,32,2,[28; 14; 16; 4; 2048; 32; 2],0.14207518997136503,0.3936229354654019,tvm
256,16,16,8,4096,16,1,[256; 16; 16; 8; 4096; 16; 1],0.237904564011842,0.23506927479772788,tvm
128,64,64,8,1024,32,2,[128; 64; 64; 8; 1024; 32; 2],0.3268289789557457,0.1711110609347335,tvm
8,2,16,1,512,64,4,[8; 2; 16; 1; 512; 64; 4],0.1213515269337222,0.46084342526548533,tvm
8,1,4,2,128,32,2,[8; 1; 4; 2; 128; 32; 2],0.14406880899332464,0.38817599537401987,tvm
16,2,1,1,512,16,1,[16; 2; 1; 1; 512; 16; 1],0.23567435203585774,0.23729376086212606,tvm
56,4,64,1,2048,128,8,[56; 4; 64; 1; 2048; 128; 8],0.1962377621093765,0.2849811001318039,tvm
28,2,4,2,4096,64,4,[28; 2; 4; 2; 4096; 64; 4],0.13412702595815063,0.41694843327684283,tvm
7,7,4,4,4096,16,1,[7; 7; 4; 4; 4096; 16; 1],0.24481082207057625,0.22843783154819458,tvm
28,14,64,1,4096,32,2,[28; 14; 64; 1; 4096; 32; 2],0.20132007205393165,0.2777867738809066,tvm
8,4,64,1,128,32,2,[8; 4; 64; 1; 128; 32; 2],0.13960322900675237,0.4005928353607665,tvm
56,2,32,16,4096,16,1,[56; 2; 32; 16; 4096; 16; 1],1.6024032509885728,0.0349001122525382,tvm
32,4,8,8,512,16,1,[32; 4; 8; 8; 512; 16; 1],0.24436223099473864,0.2288571892050594,tvm
7,7,8,2,512,64,4,[7; 7; 8; 2; 512; 64; 4],0.1320999599993229,0.42334648196426394,tvm
56,8,32,8,2048,32,2,[56; 8; 32; 8; 2048; 32; 2],0.20701819902751595,0.2701407586194881,tvm
8,2,4,1,256,16,1,[8; 2; 4; 1; 256; 16; 1],0.15002516494132578,0.3727644849129478,tvm
28,2,64,2,128,32,2,[28; 2; 64; 2; 128; 32; 2],0.19691253907512873,0.2840045311283932,tvm
16,8,8,4,2048,16,1,[16; 8; 8; 4; 2048; 16; 1],0.18629088602028787,0.3001974735749712,tvm
56,8,8,8,64,16,1,[56; 8; 8; 8; 64; 16; 1],0.16549753106664866,0.33791472883551216,tvm
8,4,2,2,1024,64,4,[8; 4; 2; 2; 1024; 64; 4],0.10559255408588797,0.5296211822648522,tvm
16,2,16,2,256,128,8,[16; 2; 16; 2; 256; 128; 8],0.1427473770454526,0.3917693935316682,tvm
224,56,64,8,32,16,1,[224; 56; 64; 8; 32; 16; 1],0.3553434079512954,0.15738030334025074,tvm
112,8,8,4,4096,32,2,[112; 8; 8; 4; 4096; 32; 2],0.2515889130299911,0.22228345700856386,tvm
512,512,16,16,256,16,1,[512; 512; 16; 16; 256; 16; 1],0.6079232019837946,0.09199197061543327,tvm
224,28,8,4,64,32,2,[224; 28; 8; 4; 64; 32; 2],0.3386586479609832,0.1651339886639373,tvm
112,7,8,8,32,16,1,[112; 7; 8; 8; 32; 16; 1],0.32218773395288736,0.17357598517860073,tvm
64,16,8,8,32,32,2,[64; 16; 8; 8; 32; 32; 2],0.14595768903382123,0.3831524992175962,tvm
128,4,32,8,128,16,1,[128; 4; 32; 8; 128; 16; 1],0.31598923192359507,0.17698088315508026,tvm
112,1,8,4,256,64,4,[112; 1; 8; 4; 256; 64; 4],0.44727665302343667,0.1250323551549269,tvm
56,1,4,1,2048,128,8,[56; 1; 4; 1; 2048; 128; 8],0.19352371094282717,0.28897778500049026,tvm
256,2,32,8,1024,32,2,[256; 2; 32; 8; 1024; 32; 2],0.4791805170243606,0.11670769437917332,tvm
14,14,8,8,128,16,1,[14; 14; 8; 8; 128; 16; 1],0.203520166920498,0.274783841717166,tvm
28,2,16,1,64,32,2,[28; 2; 16; 1; 64; 32; 2],0.33649010094814,0.16619821259452852,tvm
16,2,32,4,512,16,1,[16; 2; 32; 4; 512; 16; 1],0.328565382049419,0.17020677280274735,tvm
28,28,16,4,256,32,2,[28; 28; 16; 4; 256; 32; 2],0.12621591601055115,0.4430824186123904,tvm
4,4,16,2,32,16,1,[4; 4; 16; 2; 32; 16; 1],0.22319553699344397,0.25056080460504915,tvm
4,4,8,8,1024,32,2,[4; 4; 8; 8; 1024; 32; 2],0.24487307795789093,0.2283797541147018,tvm
4,4,16,4,1024,16,1,[4; 4; 16; 4; 1024; 16; 1],0.45380166405811906,0.12323457087669705,tvm
16,2,8,8,16,16,1,[16; 2; 8; 8; 16; 16; 1],0.3200291390530765,0.17474675430745196,tvm
8,1,64,16,32,16,1,[8; 1; 64; 16; 32; 16; 1],0.3884600839810446,0.1439634485999396,tvm
224,16,16,4,2048,32,2,[224; 16; 16; 4; 2048; 32; 2],0.22671378392260522,0.24667248883475254,tvm
28,4,32,2,1024,32,2,[28; 4; 32; 2; 1024; 32; 2],0.1644958039978519,0.33997252193778527,tvm
1,1,4,2,128,32,2,[1; 1; 4; 2; 128; 32; 2],0.21261528902687132,0.26302931265806284,tvm
224,28,16,4,512,32,2,[224; 28; 16; 4; 512; 32; 2],0.21703504398465157,0.2576729191129531,tvm
112,14,4,4,32,32,2,[112; 14; 4; 4; 32; 32; 2],0.30941615102346987,0.18074057591483444,tvm
448,1,16,16,2048,16,1,[448; 1; 16; 16; 2048; 16; 1],1.520571127999574,0.03677832118705664,tvm
16,16,32,1,256,64,4,[16; 16; 32; 1; 256; 64; 4],0.13882165995892137,0.4028481819759379,tvm
8,2,16,4,2048,32,2,[8; 2; 16; 4; 2048; 32; 2],0.497546972008422,0.11239954512754366,tvm
32,16,8,4,128,32,2,[32; 16; 8; 4; 128; 32; 2],0.13876029604580253,0.40302633337474075,tvm
128,16,16,2,2048,64,4,[128; 16; 16; 2; 2048; 64; 4],0.3895745020126924,0.1435516263112911,tvm
224,14,32,4,32,32,2,[224; 14; 32; 4; 32; 32; 2],0.29023352602962404,0.19268640014946165,tvm
256,16,8,8,1024,32,2,[256; 16; 8; 8; 1024; 32; 2],0.2232801199425012,0.2504658871902023,tvm
14,2,16,1,128,32,2,[14; 2; 16; 1; 128; 32; 2],0.1474351310171187,0.37931294222433315,tvm
56,56,64,8,128,32,2,[56; 56; 64; 8; 128; 32; 2],0.17577012698166072,0.3181658584064644,tvm
8,2,64,4,1024,32,2,[8; 2; 64; 4; 1024; 32; 2],0.35728351201396435,0.15652570424561757,tvm
32,32,4,1,512,128,8,[32; 32; 4; 1; 512; 128; 8],0.2714095760602504,0.20605040597727,tvm
56,2,4,2,1024,64,4,[56; 2; 4; 2; 1024; 64; 4],0.12986152805387974,0.43064373391733357,tvm
14,2,64,1,4096,32,2,[14; 2; 64; 1; 4096; 32; 2],0.18151458608917892,0.30809674604253345,tvm
14,14,4,2,16,16,1,[14; 14; 4; 2; 16; 16; 1],0.19054281699936837,0.293498617339738,tvm
8,8,64,16,32,16,1,[8; 8; 64; 16; 32; 16; 1],0.22398836794309318,0.24967391765424837,tvm
28,28,4,4,128,32,2,[28; 28; 4; 4; 128; 32; 2],0.1859421880217269,0.30076043488742177,tvm
16,1,4,4,512,64,4,[16; 1; 4; 4; 512; 64; 4],0.22643704898655415,0.24697395405755404,tvm
32,16,16,8,4096,32,2,[32; 16; 16; 8; 4096; 32; 2],0.19472731999121606,0.2871916140778603,tvm
64,32,8,8,4096,32,2,[64; 32; 8; 8; 4096; 32; 2],0.19565530610270798,0.28582947453505997,tvm
16,8,64,1,1024,32,2,[16; 8; 64; 1; 1024; 32; 2],0.12326298502739519,0.453697055291207,tvm
16,2,4,4,512,64,4,[16; 2; 4; 4; 512; 64; 4],0.21982866094913334,0.25439837140378035,tvm
112,7,2,2,2048,64,4,[112; 7; 2; 2; 2048; 64; 4],0.37695892597548664,0.14835582733215352,tvm
16,8,8,2,16,16,1,[16; 8; 8; 2; 16; 16; 1],0.18819031899329275,0.29716753567608606,tvm
128,16,4,2,128,64,4,[128; 16; 4; 2; 128; 64; 4],0.5161807989934459,0.10834198684334133,tvm
56,4,2,2,256,128,8,[56; 4; 2; 2; 256; 128; 8],0.12487048504408449,0.4478564595435808,tvm
112,112,8,8,32,32,2,[112; 112; 8; 8; 32; 32; 2],0.40204468998126686,0.13909909700819353,tvm
28,4,64,4,2048,64,4,[28; 4; 64; 4; 2048; 64; 4],0.18758604198228568,0.2981248111126222,tvm
512,16,32,8,32,16,1,[512; 16; 32; 8; 32; 16; 1],0.28429101104848087,0.19671411040075573,tvm
32,16,32,16,128,16,1,[32; 16; 32; 16; 128; 16; 1],0.22091099410317838,0.2531519699160537,tvm
2,2,32,8,512,32,2,[2; 2; 32; 8; 512; 32; 2],0.5895420970628038,0.09486015267095635,tvm
16,2,16,1,512,16,1,[16; 2; 16; 1; 512; 16; 1],0.1647685159696266,0.33940982598667313,tvm
112,28,4,2,4096,64,4,[112; 28; 4; 2; 4096; 64; 4],0.37759676296263933,0.1481052244583639,tvm
128,64,4,4,2048,64,4,[128; 64; 4; 4; 2048; 64; 4],0.21134582499507815,0.26460921730834147,tvm
16,16,1,1,64,16,1,[16; 16; 1; 1; 64; 16; 1],0.1891209059394896,0.2957052952740538,tvm
28,1,64,2,1024,128,8,[28; 1; 64; 2; 1024; 128; 8],0.1191629470558837,0.46930740397941567,tvm
16,8,4,1,512,64,4,[16; 8; 4; 1; 512; 64; 4],0.19479075400158763,0.2870980895370297,tvm
28,1,64,2,4096,128,8,[28; 1; 64; 2; 4096; 128; 8],0.1439137989655137,0.38859410101969794,tvm
8,1,8,4,64,64,4,[8; 1; 8; 4; 64; 64; 4],0.22718869394157082,0.246156850339199,tvm
448,8,8,8,128,16,1,[448; 8; 8; 8; 128; 16; 1],0.2806432150537148,0.19927099724334876,tvm
64,2,8,2,128,64,4,[64; 2; 8; 2; 128; 64; 4],0.16717617004178464,0.3345216804485679,tvm
7,1,8,4,32,32,2,[7; 1; 8; 4; 32; 32; 2],0.26481205597519875,0.2111839399735296,tvm
56,2,32,4,1024,32,2,[56; 2; 32; 4; 1024; 32; 2],0.3240824699169025,0.17256117971352397,tvm
56,28,1,1,512,128,8,[56; 28; 1; 1; 512; 128; 8],0.19972395803779364,0.2800067347090671,tvm
28,4,1,1,128,16,1,[28; 4; 1; 1; 128; 16; 1],0.32749311497900635,0.1707640581601793,tvm
7,7,32,1,512,16,1,[7; 7; 32; 1; 512; 16; 1],0.18114277999848127,0.30872913253181944,tvm
16,4,8,2,256,16,1,[16; 4; 8; 2; 256; 16; 1],0.17196592991240323,0.32520426204085995,tvm
8,8,16,1,512,64,4,[8; 8; 16; 1; 512; 64; 4],0.12068434699904174,0.46339110849046056,tvm
32,4,2,2,256,128,8,[32; 4; 2; 2; 256; 128; 8],0.14288471499457955,0.39139283257453295,tvm
7,1,4,2,256,64,4,[7; 1; 4; 2; 256; 64; 4],0.14369790290948004,0.3891779364975264,tvm
112,4,8,8,1024,16,1,[112; 4; 8; 8; 1024; 16; 1],0.3738371040672064,0.14959471043644618,tvm
16,8,16,2,256,128,8,[16; 8; 16; 2; 256; 128; 8],0.14243859401904047,0.3926186839913464,tvm
8,2,16,4,32,16,1,[8; 2; 16; 4; 32; 16; 1],0.24258429801557213,0.23053451435567945,tvm
224,1,64,8,2048,16,1,[224; 1; 64; 8; 2048; 16; 1],0.6259573859861121,0.08934163025368329,tvm
4,4,1,1,128,64,4,[4; 4; 1; 1; 128; 64; 4],0.12757271900773048,0.43837000393434056,tvm
28,14,64,4,256,32,2,[28; 14; 64; 4; 256; 32; 2],0.13173682801425457,0.4245134346735757,tvm
32,2,32,2,128,64,4,[32; 2; 32; 2; 128; 64; 4],0.1554687999887392,0.35971238819225454,tvm
2,1,8,8,128,16,1,[2; 1; 8; 8; 128; 16; 1],0.2603333620354533,0.21481708259011903,tvm
224,14,32,4,256,32,2,[224; 14; 32; 4; 256; 32; 2],0.2693510539829731,0.20762515128999104,tvm
16,4,16,4,32,16,1,[16; 4; 16; 4; 32; 16; 1],0.2340716499602422,0.23891852491676036,tvm
224,16,4,4,256,32,2,[224; 16; 4; 4; 256; 32; 2],0.35335263796150684,0.15826697560816153,tvm
8,4,8,2,512,128,8,[8; 4; 8; 2; 512; 128; 8],0.1384298229822889,0.40398847682185085,tvm
256,16,32,8,32,32,2,[256; 16; 32; 8; 32; 32; 2],0.23177685297559947,0.2412840308053574,tvm
8,4,2,1,512,128,8,[8; 4; 2; 1; 512; 128; 8],0.25516901002265513,0.21916475409129083,tvm
56,8,16,16,16,16,1,[56; 8; 16; 16; 16; 16; 1],0.24454944301396608,0.22868199021062396,tvm
8,4,16,2,32,32,2,[8; 4; 16; 2; 32; 32; 2],0.13520141399931163,0.41363512169789934,tvm
28,1,16,2,256,128,8,[28; 1; 16; 2; 256; 128; 8],0.1355210189940408,0.41265962836209535,tvm
512,256,64,8,512,16,1,[512; 256; 64; 8; 512; 16; 1],0.4555806330172345,0.12275335973559205,tvm
32,32,16,8,256,32,2,[32; 32; 16; 8; 256; 32; 2],0.13143793889321387,0.4254787757952334,tvm
14,2,4,2,256,128,8,[14; 2; 4; 2; 256; 128; 8],0.1443436350673437,0.38743691959289994,tvm
1,1,4,4,64,16,1,[1; 1; 4; 4; 64; 16; 1],0.2565581420203671,0.21797808829194654,tvm
7,7,16,4,1024,32,2,[7; 7; 16; 4; 1024; 32; 2],0.22251896804664284,0.251322634758988,tvm
14,7,64,2,32,16,1,[14; 7; 64; 2; 32; 16; 1],0.17080957698635757,0.3274058417567532,tvm
16,4,2,1,4096,64,4,[16; 4; 2; 1; 4096; 64; 4],0.26990570209454745,0.2071984878398132,tvm
56,2,64,2,64,64,4,[56; 2; 64; 2; 64; 64; 4],0.14934053202159703,0.37447337689439747,tvm
28,2,64,2,1024,128,8,[28; 2; 64; 2; 1024; 128; 8],0.12075875408481807,0.463105583998106,tvm
128,64,64,8,4096,32,2,[128; 64; 64; 8; 4096; 32; 2],0.3885388190392405,0.143934275271695,tvm
28,28,32,4,512,16,1,[28; 28; 32; 4; 512; 16; 1],0.14811368100345135,0.37757520408955464,tvm
112,112,64,4,2048,32,2,[112; 112; 64; 4; 2048; 32; 2],0.3076751629123464,0.18176330128170123,tvm
128,16,64,8,1024,16,1,[128; 16; 64; 8; 1024; 16; 1],0.24333949596621096,0.22981905634052394,tvm
32,16,64,4,512,32,2,[32; 16; 64; 4; 512; 32; 2],0.1292064560111612,0.43282708201904757,tvm
28,4,4,2,128,16,1,[28; 4; 4; 2; 128; 16; 1],0.23113733006175607,0.24195162814414856,tvm
14,7,32,1,2048,16,1,[14; 7; 32; 1; 2048; 16; 1],0.1792868550401181,0.3119250059956682,tvm
28,4,4,2,64,32,2,[28; 4; 4; 2; 64; 32; 2],0.19738951593171805,0.2833182556295384,tvm
4,1,64,2,32,16,1,[4; 1; 64; 2; 32; 16; 1],0.26327243295963854,0.21241894832911304,tvm
28,28,64,8,16,16,1,[28; 28; 64; 8; 16; 16; 1],0.16444052895531058,0.3400868003077977,tvm
128,8,64,4,2048,64,4,[128; 8; 64; 4; 2048; 64; 4],0.245262629003264,0.22801701816785583,tvm
32,2,16,16,128,16,1,[32; 2; 16; 16; 128; 16; 1],0.3756664349930361,0.14886624974725257,tvm
128,1,32,8,1024,16,1,[128; 1; 32; 8; 1024; 16; 1],0.6185349359875545,0.09041373426069273,tvm
56,56,8,8,128,16,1,[56; 56; 8; 8; 128; 16; 1],0.19823059299960732,0.282116158192818,tvm
