kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
1,1,64,2,896,16,1,[1; 1; 64; 2; 896; 16; 1],0.6434376889374107,0.08691448184467984,tvm
16,8,32,16,16,16,1,[16; 8; 32; 16; 16; 16; 1],0.24546277208719403,0.22783109983565175,tvm
4,2,64,1,512,16,1,[4; 2; 64; 1; 512; 16; 1],0.2971037869574502,0.18823069845737952,tvm
128,2,16,4,3584,64,4,[128; 2; 16; 4; 3584; 64; 4],0.29059929796494544,0.19244386935882885,tvm
4,2,16,4,64,32,2,[4; 2; 16; 4; 64; 32; 2],0.25298869994003326,0.22105356226024797,tvm
8,4,4,4,256,16,1,[8; 4; 4; 4; 256; 16; 1],0.15223826293367893,0.3673455822186837,tvm
32,32,16,4,512,32,2,[32; 32; 16; 4; 512; 32; 2],0.12480113096535206,0.4481053408791565,tvm
64,4,64,16,2048,16,1,[64; 4; 64; 16; 2048; 16; 1],0.80470513808541,0.06949632938394094,tvm
64,16,64,4,256,64,4,[64; 16; 64; 4; 256; 64; 4],0.11791285790968686,0.47428290963965364,tvm
4,1,2,2,256,128,8,[4; 1; 2; 2; 256; 128; 8],0.13993458601180464,0.39964425469923265,tvm
2,2,8,2,14336,64,4,[2; 2; 8; 2; 14336; 64; 4],0.42522796406410635,0.13151546478467807,tvm
1,1,32,8,3584,16,1,[1; 1; 32; 8; 3584; 16; 1],0.8435024550417438,0.06629981098343778,tvm
16,16,32,4,224,32,2,[16; 16; 32; 4; 224; 32; 2],0.1213040619622916,0.4610237483285416,tvm
16,1,1,1,32,32,2,[16; 1; 1; 1; 32; 32; 2],0.146182865020819,0.38256230184959616,tvm
16,16,16,1,224,112,7,[16; 16; 16; 1; 224; 112; 7],0.17546380299609154,0.31872131105342016,tvm
256,4,64,16,7168,16,1,[256; 4; 64; 16; 7168; 16; 1],0.8320165959885344,0.06721506951058942,tvm
256,16,32,8,896,32,2,[256; 16; 32; 8; 896; 32; 2],0.19450839993078262,0.2875148495038485,tvm
2,1,32,2,1792,112,7,[2; 1; 32; 2; 1792; 112; 7],0.2324456829810515,0.24058976968779475,tvm
8,2,8,4,14336,16,1,[8; 2; 8; 4; 14336; 16; 1],0.4039990520104766,0.1384261994057429,tvm
32,4,8,4,256,32,2,[32; 4; 8; 4; 256; 32; 2],0.1788449960295111,0.31269565587457276,tvm
4,1,64,2,896,128,8,[4; 1; 64; 2; 896; 128; 8],0.15460254903882742,0.3617278866423371,tvm
64,32,4,2,3584,128,8,[64; 32; 4; 2; 3584; 128; 8],0.15874507103580981,0.3522884393728228,tvm
64,64,16,8,3584,32,2,[64; 64; 16; 8; 3584; 32; 2],0.260605402989313,0.21459283918080044,tvm
8,8,8,8,14336,32,2,[8; 8; 8; 8; 14336; 32; 2],0.19486792397219688,0.28698439534518977,tvm
4,1,4,1,3584,224,14,[4; 1; 4; 1; 3584; 224; 14],0.28163026098627597,0.1985726006057941,tvm
16,4,2,2,224,32,2,[16; 4; 2; 2; 224; 32; 2],0.15554003696888685,0.3595476407435855,tvm
8,1,16,4,14336,32,2,[8; 1; 16; 4; 14336; 32; 2],0.37443077797070146,0.14935752246763564,tvm
8,8,8,8,256,16,1,[8; 8; 8; 8; 256; 16; 1],0.16776072094216943,0.3333560622489904,tvm
128,16,32,4,896,32,2,[128; 16; 32; 4; 896; 32; 2],0.16300567309372127,0.3430804110797997,tvm
2,1,2,2,112,16,1,[2; 1; 2; 2; 112; 16; 1],0.20467801194172353,0.2732294143508497,tvm
1,1,4,1,512,64,4,[1; 1; 4; 1; 512; 64; 4],0.4057477710302919,0.13782960086589904,tvm
1,1,32,1,1792,32,2,[1; 1; 32; 1; 1792; 32; 2],0.4840968670323491,0.11552244424997753,tvm
256,1,32,4,256,32,2,[256; 1; 32; 4; 256; 32; 2],0.3520459430292249,0.1588544178413976,tvm
16,8,16,2,128,32,2,[16; 8; 16; 2; 128; 32; 2],0.13361315405927598,0.4185520035588955,tvm
16,4,1,1,14336,128,8,[16; 4; 1; 1; 14336; 128; 8],0.23094661301001906,0.24215143320117538,tvm
32,16,8,1,512,128,8,[32; 16; 8; 1; 512; 128; 8],0.20011953404173255,0.2794532457869457,tvm
2,1,8,2,1792,64,4,[2; 1; 8; 2; 1792; 64; 4],0.2250116290524602,0.24853850251577422,tvm
1,1,64,2,32,32,2,[1; 1; 64; 2; 32; 32; 2],0.36288220703136176,0.154110761700973,tvm
64,8,8,2,2048,64,4,[64; 8; 8; 2; 2048; 64; 4],0.12887712696101516,0.43393311638806276,tvm
4,4,8,4,64,64,4,[4; 4; 8; 4; 64; 64; 4],0.1709255970781669,0.32718360672309604,tvm
256,8,64,8,896,16,1,[256; 8; 64; 8; 896; 16; 1],0.24758174107410014,0.22588116995507965,tvm
2,2,16,1,512,128,8,[2; 2; 16; 1; 512; 128; 8],0.23902049905154854,0.23397178716990474,tvm
256,1,32,4,1792,32,2,[256; 1; 32; 4; 1792; 32; 2],0.34369482297915965,0.16271427322815496,tvm
128,32,8,2,896,64,4,[128; 32; 8; 2; 896; 64; 4],0.16514898906461895,0.3386278877641301,tvm
16,1,4,2,2048,128,8,[16; 1; 4; 2; 2048; 128; 8],0.1363483649911359,0.4101556578032234,tvm
