i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
197,1,1,192,96,32,96,1,2,[197; 1; 1; 192; 96; 32; 96; 1; 2],0.01111977987602586,0.15549742550075654,tvm
197,1,1,128,16,16,96,4,1,[197; 1; 1; 128; 16; 16; 96; 4; 1],0.013917486001446377,0.1242391867811073,tvm
197,197,1,96,96,48,192,2,3,[197; 197; 1; 96; 96; 48; 192; 2; 3],0.006501219999336172,0.2659650254927072,tvm
197,1,1,384,192,32,96,8,2,[197; 1; 1; 384; 192; 32; 96; 8; 2],0.014977812126744539,0.1154439065081908,tvm
1,1,1,768,768,96,384,64,6,[1; 1; 1; 768; 768; 96; 384; 64; 6],0.023460721000446938,0.07370179044472686,tvm
197,197,1,768,384,96,192,2,6,[197; 197; 1; 768; 384; 96; 192; 2; 6],0.00583962828204676,0.2960971245675081,tvm
197,1,1,768,384,32,192,48,2,[197; 1; 1; 768; 384; 32; 192; 48; 2],0.02159287387621589,0.08007721217515691,tvm
1,1,1,192,32,32,384,24,2,[1; 1; 1; 192; 32; 32; 384; 24; 2],0.021582124623819254,0.0801170956518717,tvm
197,197,1,64,64,64,384,2,4,[197; 197; 1; 64; 64; 64; 384; 2; 4],0.0059841782804141985,0.28894479105282644,tvm
197,1,1,384,128,16,96,32,1,[197; 1; 1; 384; 128; 16; 96; 32; 1],0.020257417745597195,0.08535624651532644,tvm
1,1,1,768,384,16,3,3,1,[1; 1; 1; 768; 384; 16; 3; 3; 1],0.023009867247310467,0.07514589824759854,tvm
197,1,1,64,64,32,768,4,2,[197; 1; 1; 64; 64; 32; 768; 4; 2],0.007486047874408541,0.23097596647333163,tvm
197,197,1,256,256,64,256,4,4,[197; 197; 1; 256; 256; 64; 256; 4; 4],0.005951043156528613,0.2905536218402703,tvm
197,197,1,128,64,16,32,32,1,[197; 197; 1; 128; 64; 16; 32; 32; 1],0.007193400811956963,0.24037269548264506,tvm
197,1,1,64,64,16,2,1,1,[197; 1; 1; 64; 64; 16; 2; 1; 1],0.006488348251878051,0.26649265355888624,tvm
1,1,1,48,16,16,768,32,1,[1; 1; 1; 48; 16; 16; 768; 32; 1],0.028957155751413666,0.05971225757463178,tvm
1,1,1,384,64,32,2,1,2,[1; 1; 1; 384; 64; 32; 2; 1; 2],0.021188654871366452,0.08160485662512627,tvm
197,1,1,768,256,64,12,3,4,[197; 1; 1; 768; 256; 64; 12; 3; 4],0.022423494250688236,0.0771109588686907,tvm
1,1,1,64,64,16,192,24,1,[1; 1; 1; 64; 64; 16; 192; 24; 1],0.02820447699923534,0.06130576868714924,tvm
197,197,1,768,768,128,768,8,8,[197; 197; 1; 768; 768; 128; 768; 8; 8],0.022043783370463643,0.07843921861316926,tvm
1,1,1,128,64,32,24,8,2,[1; 1; 1; 128; 64; 32; 24; 8; 2],0.02147692575090332,0.08050952743012658,tvm
1,1,1,64,32,32,24,6,2,[1; 1; 1; 64; 32; 32; 24; 6; 2],0.021358164623961784,0.0809571970859923,tvm
197,197,1,192,96,32,768,32,2,[197; 197; 1; 192; 96; 32; 768; 32; 2],0.007344564437516965,0.23542541665571012,tvm
197,197,1,192,64,16,384,3,1,[197; 197; 1; 192; 64; 16; 384; 3; 1],0.013282493375299964,0.1301786565218666,tvm
197,1,1,256,64,32,24,6,2,[197; 1; 1; 256; 64; 32; 24; 6; 2],0.006599679563805694,0.2619971357912507,tvm
197,197,1,768,192,96,128,1,6,[197; 197; 1; 768; 192; 96; 128; 1; 6],0.007269034751516301,0.23787162972311526,tvm
1,1,1,256,128,64,12,4,4,[1; 1; 1; 256; 128; 64; 12; 4; 4],0.021944076746876817,0.07879562046752484,tvm
197,1,1,192,192,16,128,32,1,[197; 1; 1; 192; 192; 16; 128; 32; 1],0.013212470745202154,0.13086856926324927,tvm
1,1,1,192,48,16,24,24,1,[1; 1; 1; 192; 48; 16; 24; 24; 1],0.022919874252693262,0.07544095241508406,tvm
197,1,1,192,96,48,2,1,3,[197; 1; 1; 192; 96; 48; 2; 1; 3],0.0057581943128752755,0.30028461161702996,tvm
197,197,1,384,64,64,64,8,4,[197; 197; 1; 384; 64; 64; 64; 8; 4],0.005521285407667165,0.31316931025808264,tvm
197,197,1,128,64,64,256,2,4,[197; 197; 1; 128; 64; 64; 256; 2; 4],0.006015442439093022,0.2874430535017882,tvm
197,197,1,96,48,16,48,4,1,[197; 197; 1; 96; 48; 16; 48; 4; 1],0.009757831252500182,0.1772009679316916,tvm
197,1,1,64,64,16,32,8,1,[197; 1; 1; 64; 64; 16; 32; 8; 1],0.009253327436454128,0.18686220224362146,tvm
197,1,1,96,32,32,96,1,2,[197; 1; 1; 96; 32; 32; 96; 1; 2],0.008269198377092835,0.20910093868917845,tvm
197,197,1,64,32,16,128,32,1,[197; 197; 1; 64; 32; 16; 128; 32; 1],0.011806115187937394,0.14645775645352038,tvm
1,1,1,96,48,48,24,2,3,[1; 1; 1; 96; 48; 48; 24; 2; 3],0.02149865112733096,0.08042816884725218,tvm
1,1,1,384,384,32,768,3,2,[1; 1; 1; 384; 384; 32; 768; 3; 2],0.0214354536292376,0.08066529277918724,tvm
1,1,1,768,64,32,64,8,2,[1; 1; 1; 768; 64; 32; 64; 8; 2],0.021398720375145786,0.08080376361501769,tvm
197,1,1,192,192,48,128,64,3,[197; 1; 1; 192; 192; 48; 128; 64; 3],0.008120200564007973,0.21293773832646493,tvm
197,1,1,384,192,64,96,2,4,[197; 1; 1; 384; 192; 64; 96; 2; 4],0.01439984749595169,0.12007746216362733,tvm
197,1,1,384,16,16,12,12,1,[197; 1; 1; 384; 16; 16; 12; 12; 1],0.021580432752671186,0.08012337670305145,tvm
197,197,1,768,192,32,12,3,2,[197; 197; 1; 768; 192; 32; 12; 3; 2],0.0037359279067459283,0.4628293655600069,tvm
197,197,1,768,192,48,6,6,3,[197; 197; 1; 768; 192; 48; 6; 6; 3],0.003960100470067118,0.4366296148107164,tvm
197,197,1,256,256,128,2,1,8,[197; 197; 1; 256; 256; 128; 2; 1; 8],0.00618752615628182,0.27944886198205326,tvm
197,1,1,768,256,32,4,2,2,[197; 1; 1; 768; 256; 32; 4; 2; 2],0.022280494995357003,0.07760586751853882,tvm
197,1,1,384,16,16,64,1,1,[197; 1; 1; 384; 16; 16; 64; 1; 1],0.022310238506179303,0.07750240511226412,tvm
197,197,1,256,64,64,24,8,4,[197; 197; 1; 256; 64; 64; 24; 8; 4],0.003643017249487457,0.4746332571168618,tvm
1,1,1,32,32,16,64,64,1,[1; 1; 1; 32; 32; 16; 64; 64; 1],0.02635059224849101,0.06561891006287196,tvm
1,1,1,96,16,16,128,64,1,[1; 1; 1; 96; 16; 16; 128; 64; 1],0.028764188507921062,0.06011284282819191,tvm
197,1,1,768,768,16,32,1,1,[197; 1; 1; 768; 768; 16; 32; 1; 1],0.02142603600077564,0.08070074850964257,tvm
197,1,1,384,128,128,256,1,8,[197; 1; 1; 384; 128; 128; 256; 1; 8],0.015153353502682876,0.11410656674451691,tvm
197,197,1,768,384,96,4,1,6,[197; 197; 1; 768; 384; 96; 4; 1; 6],0.003699759718074347,0.46735390258184234,tvm
