i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
16,2,2,512,128,32,256,8,2,[16; 2; 2; 512; 128; 32; 256; 8; 2],0.024613970119389705,0.16228894480328077,tvm
16,16,8,128,16,16,8,4,1,[16; 16; 8; 128; 16; 16; 8; 4; 1],0.014825120873865671,0.2694463857719392,tvm
64,16,1,1024,512,64,4,4,4,[64; 16; 1; 1024; 512; 64; 4; 4; 4],0.013928765125456266,0.2867860289204487,tvm
64,8,1,1024,256,64,256,1,4,[64; 8; 1; 1024; 256; 64; 256; 1; 4],0.020452066251891665,0.1953140180995536,tvm
4,4,1,128,32,32,512,16,2,[4; 4; 1; 128; 32; 32; 512; 16; 2],0.048980915249558166,0.08155370755615415,tvm
64,4,2,256,256,64,64,2,4,[64; 4; 2; 256; 256; 64; 64; 2; 4],0.017629137873882428,0.2265893696374797,tvm
16,8,4,1024,512,32,512,2,2,[16; 8; 4; 1024; 512; 32; 512; 2; 2],0.02109991513134446,0.18931712346848234,tvm
4,2,1,512,16,16,2048,4,1,[4; 2; 1; 512; 16; 16; 2048; 4; 1],0.06573267350904644,0.06077001017683369,tvm
64,16,4,128,32,32,2,1,2,[64; 16; 4; 128; 32; 32; 2; 1; 2],0.016299122260534205,0.24507916280666733,tvm
64,32,2,512,64,16,4096,2,1,[64; 32; 2; 512; 64; 16; 4096; 2; 1],0.03329703651252203,0.11996789073384945,tvm
64,16,1,512,512,16,512,64,1,[64; 16; 1; 512; 512; 16; 512; 64; 1],0.06524864747188985,0.06122081288836162,tvm
64,2,1,128,64,32,128,16,2,[64; 2; 1; 128; 64; 32; 128; 16; 2],0.03401377648697235,0.11743992142787217,tvm
16,4,4,512,32,16,4096,8,1,[16; 4; 4; 512; 32; 16; 4096; 8; 1],0.016870354127604514,0.23678075800193313,tvm
32,32,1,1024,512,128,4096,64,8,[32; 32; 1; 1024; 512; 128; 4096; 64; 8],0.04904911600169726,0.08144031052378219,tvm
32,8,4,1024,64,16,256,16,1,[32; 8; 4; 1024; 64; 16; 256; 16; 1],0.015446883378899656,0.2586007248265888,tvm
16,8,8,1024,1024,32,16,2,2,[16; 8; 8; 1024; 1024; 32; 16; 2; 2],0.028977848996873945,0.13784926681501317,tvm
16,16,2,1024,64,64,256,32,4,[16; 16; 2; 1024; 64; 64; 256; 32; 4],0.010875955813389737,0.3672849822704676,tvm
32,16,2,256,16,16,64,2,1,[32; 16; 2; 256; 16; 16; 64; 2; 1],0.01967082875489723,0.20307101891173512,tvm
64,64,1,512,16,16,16,8,1,[64; 64; 1; 512; 16; 16; 16; 8; 1],0.013137959758751094,0.3040483691110777,tvm
64,64,8,512,512,32,4,1,2,[64; 64; 8; 512; 512; 32; 4; 1; 2],0.0238343632518081,0.1675973130011017,tvm
64,32,2,64,32,16,1024,16,1,[64; 32; 2; 64; 32; 16; 1024; 16; 1],0.03316810022806749,0.12043424889059372,tvm
64,64,2,1024,1024,16,1024,2,1,[64; 64; 2; 1024; 1024; 16; 1024; 2; 1],0.032902834500418976,0.12140520106388926,tvm
16,16,16,32,16,16,16,8,1,[16; 16; 16; 32; 16; 16; 16; 8; 1],0.01100431893428322,0.3630006783655103,tvm
1,1,1,1024,256,32,2048,4,2,[1; 1; 1; 1024; 256; 32; 2048; 4; 2],0.0494685365119949,0.08074981634289206,tvm
32,8,2,256,32,16,32,32,1,[32; 8; 2; 256; 32; 16; 32; 32; 1],0.02381584887916688,0.16772760267174552,tvm
4,2,1,512,256,32,4096,1,2,[4; 2; 1; 512; 256; 32; 4096; 1; 2],0.04990132901002653,0.08004947598274627,tvm
16,2,2,512,512,64,2048,2,4,[16; 2; 2; 512; 512; 64; 2048; 2; 4],0.02463212276052218,0.16216934597684493,tvm
1,1,1,512,512,32,1024,4,2,[1; 1; 1; 512; 512; 32; 1024; 4; 2],0.04988437576685101,0.0800766808582518,tvm
32,1,1,256,256,128,4,1,8,[32; 1; 1; 256; 256; 128; 4; 1; 8],0.05536212649894878,0.07215357304187163,tvm
16,8,1,1024,128,64,1,1,4,[16; 8; 1; 1024; 128; 64; 1; 1; 4],0.01469007351261098,0.2719234341928934,tvm
16,4,2,1024,128,64,512,2,4,[16; 4; 2; 1024; 128; 64; 512; 2; 4],0.024641198877361603,0.1621096139833172,tvm
2,2,2,1024,128,128,256,8,8,[2; 2; 2; 1024; 128; 128; 256; 8; 8],0.025022452988196164,0.15963963405105,tvm
64,2,1,1024,256,16,32,2,1,[64; 2; 1; 1024; 256; 16; 32; 2; 1],0.04006964273867197,0.09969081242244263,tvm
16,16,1,128,64,32,16,2,2,[16; 16; 1; 128; 64; 32; 16; 2; 2],0.011875738186063245,0.3363643737770395,tvm
16,4,1,1024,128,128,4096,2,8,[16; 4; 1; 1024; 128; 128; 4096; 2; 8],0.048991342016961426,0.08153635058031816,tvm
32,8,2,128,128,16,256,1,1,[32; 8; 2; 128; 128; 16; 256; 1; 1],0.024420723246294074,0.1635731750369608,tvm
32,8,1,1024,512,128,4,1,8,[32; 8; 1; 1024; 512; 128; 4; 1; 8],0.013222734749433585,0.30209902216077894,tvm
8,4,2,1024,1024,32,1024,4,2,[8; 4; 2; 1024; 1024; 32; 1024; 4; 2],0.02452424674993381,0.16288268825651167,tvm
32,32,1,256,64,64,64,2,4,[32; 32; 1; 256; 64; 64; 64; 2; 4],0.016389208365581,0.24373204299996892,tvm
64,32,1,32,16,16,1024,8,1,[64; 32; 1; 32; 16; 16; 1024; 8; 1],0.06600273901131004,0.060521355597238764,tvm
8,1,1,32,32,32,2048,1,2,[8; 1; 1; 32; 32; 32; 2048; 1; 2],0.04926256576436572,0.08108743781641863,tvm
8,8,2,1024,512,128,512,1,8,[8; 8; 2; 1024; 512; 128; 512; 1; 8],0.024858340242644772,0.16069356196366233,tvm
8,2,2,512,256,128,128,64,8,[8; 2; 2; 512; 256; 128; 128; 64; 8],0.02482240623794496,0.1609261890166353,tvm
64,16,4,1024,512,32,256,2,2,[64; 16; 4; 1024; 512; 32; 256; 2; 2],0.01843022499815561,0.2167404488276726,tvm
64,8,1,1024,64,32,4096,16,2,[64; 8; 1; 1024; 64; 32; 4096; 16; 2],0.04946737451246008,0.08075171317388323,tvm
64,4,4,64,64,32,4,2,2,[64; 4; 4; 64; 64; 32; 4; 2; 2],0.019175355628249235,0.2083181827517404,tvm
4,4,1,1024,1024,128,512,2,8,[4; 4; 1; 1024; 1024; 128; 512; 2; 8],0.0494928982516285,0.08071006910499127,tvm
64,32,4,64,32,32,16,16,2,[64; 32; 4; 64; 32; 32; 16; 16; 2],0.007234472439449746,0.5521584706457277,tvm
8,2,2,256,32,16,32,4,1,[8; 2; 2; 256; 32; 16; 32; 4; 1],0.02930942623061128,0.1362897794950088,tvm
64,8,1,1024,128,32,128,1,2,[64; 8; 1; 1024; 128; 32; 128; 1; 2],0.023942244501085952,0.16684213703999454,tvm
