kc,ku,mc,mr,nc,nr,X,time,peak,backend
256,64,1,1,256,16,[256; 64; 1; 1; 256; 16],0.013008198875468224,0.13292363988361183,tvm
192,32,1,1,192,96,[192; 32; 1; 1; 192; 96],0.005800817125418689,0.29807820268637425,tvm
128,4,197,1,768,64,[128; 4; 197; 1; 768; 64],0.00592050121849752,0.29205249336912487,tvm
24,2,197,1,128,16,[24; 2; 197; 1; 128; 16],0.005300964405250852,0.32618539018001924,tvm
24,2,1,1,96,16,[24; 2; 1; 1; 96; 16],0.005692365250069997,0.30375723743937205,tvm
192,32,197,1,64,64,[192; 32; 197; 1; 64; 64],0.005982824437523959,0.2890101758648201,tvm
32,32,197,1,384,96,[32; 32; 197; 1; 384; 96],0.004052090594996116,0.4267172962500855,tvm
384,1,1,1,384,128,[384; 1; 1; 1; 384; 128],0.006087037969336961,0.2840621582397468,tvm
96,3,1,1,768,64,[96; 3; 1; 1; 768; 64],0.005639896000502631,0.30658316087797444,tvm
48,24,1,1,768,128,[48; 24; 1; 1; 768; 128],0.005349398625185131,0.3232320610239254,tvm
12,2,1,1,128,16,[12; 2; 1; 1; 128; 16],0.004290573062462499,0.40299911403087907,tvm
12,12,197,1,384,64,[12; 12; 197; 1; 384; 64],0.003203070531526464,0.5398248729893311,tvm
768,6,1,1,96,16,[768; 6; 1; 1; 96; 16],0.013753143626672681,0.1257237755812971,tvm
24,6,197,1,64,16,[24; 6; 197; 1; 64; 16],0.00529168981120165,0.32675708602513404,tvm
128,2,1,1,256,64,[128; 2; 1; 1; 256; 64],0.005978381906970753,0.2892249390827687,tvm
192,6,197,1,48,16,[192; 6; 197; 1; 48; 16],0.012534962879726663,0.13794194362184242,tvm
16,8,1,1,256,128,[16; 8; 1; 1; 256; 128],0.0027145320309500676,0.6369779848396081,tvm
4,4,1,1,16,16,[4; 4; 1; 1; 16; 16],0.004866755780312815,0.3552874277874703,tvm
192,2,1,1,768,64,[192; 2; 1; 1; 768; 64],0.006074318282117019,0.28465698742649986,tvm
2,1,197,1,128,16,[2; 1; 197; 1; 128; 16],0.009498535062448354,0.1820382965888056,tvm
384,16,1,1,192,96,[384; 16; 1; 1; 192; 96],0.005050912499427795,0.3423336165599835,tvm
96,24,1,1,256,64,[96; 24; 1; 1; 256; 64],0.00515714490575192,0.33528186127340115,tvm
48,2,1,1,256,16,[48; 2; 1; 1; 256; 16],0.010091707001265604,0.17133842100650526,tvm
192,32,197,1,768,64,[192; 32; 197; 1; 768; 64],0.006139124625406112,0.2816520674138881,tvm
24,1,197,1,384,128,[24; 1; 197; 1; 384; 128],0.003373956154973712,0.5124835840881325,tvm
48,12,197,1,48,16,[48; 12; 197; 1; 48; 16],0.00848020762350643,0.20389797274116606,tvm
