kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
12,1,197,1,256,128,8,[12; 1; 197; 1; 256; 128; 8],0.014164262873237021,0.48829851813163494,tvm
3,3,197,1,128,32,2,[3; 3; 197; 1; 128; 32; 2],0.021477804126334377,0.3220249393627836,tvm
6,3,197,1,384,32,2,[6; 3; 197; 1; 384; 32; 2],0.016627319258986972,0.41596534376341526,tvm
4,4,1,1,256,64,4,[4; 4; 1; 1; 256; 64; 4],0.01764052662474569,0.392073814946456,tvm
16,16,197,1,32,32,2,[16; 16; 197; 1; 32; 32; 2],0.017065938882296905,0.4052744252238699,tvm
4,1,197,1,96,48,3,[4; 1; 197; 1; 96; 48; 3],0.016952503370703198,0.40798626728965964,tvm
8,1,1,1,384,48,3,[8; 1; 1; 1; 384; 48; 3],0.015036030134069733,0.45998767691725445,tvm
12,12,1,1,32,32,2,[12; 12; 1; 1; 32; 32; 2],0.015602165382006206,0.44329670927633935,tvm
16,4,1,1,768,64,4,[16; 4; 1; 1; 768; 64; 4],0.023175840498879552,0.2984309704652544,tvm
12,1,197,1,64,64,4,[12; 1; 197; 1; 64; 64; 4],0.012626495634322055,0.5477678662184029,tvm
24,3,197,1,16,16,1,[24; 3; 197; 1; 16; 16; 1],0.021697221367503516,0.3187684014593418,tvm
64,1,197,1,768,128,8,[64; 1; 197; 1; 768; 128; 8],0.022797861238359474,0.3033788344930848,tvm
6,1,1,1,128,64,4,[6; 1; 1; 1; 128; 64; 4],0.014405854744836688,0.4801095591990143,tvm
6,1,1,1,32,32,2,[6; 1; 1; 1; 32; 32; 2],0.012506918879807927,0.5530049917086205,tvm
12,1,197,1,384,16,1,[12; 1; 197; 1; 384; 16; 1],0.01879202287818771,0.3680491779017876,tvm
8,4,1,1,256,64,4,[8; 4; 1; 1; 256; 64; 4],0.012844523880630732,0.5384698285203344,tvm
12,2,1,1,16,16,1,[12; 2; 1; 1; 16; 16; 1],0.022606345504755154,0.30594898985215174,tvm
24,24,1,1,32,32,2,[24; 24; 1; 1; 32; 32; 2],0.018523214879678562,0.37339028977180405,tvm
16,2,197,1,256,32,2,[16; 2; 197; 1; 256; 32; 2],0.015135034118429758,0.456978723490723,tvm
16,2,1,1,384,48,3,[16; 2; 1; 1; 384; 48; 3],0.014977275131968781,0.46179218252228255,tvm
8,8,1,1,384,48,3,[8; 8; 1; 1; 384; 48; 3],0.015419686867971905,0.44854273829610253,tvm
16,1,1,1,384,96,6,[16; 1; 1; 1; 384; 96; 6],0.023221587762236595,0.29784305200164385,tvm
24,1,1,1,256,32,2,[24; 1; 1; 1; 256; 32; 2],0.03133558025001548,0.2207199776179397,tvm
16,2,197,1,256,64,4,[16; 2; 197; 1; 256; 64; 4],0.013972213753731921,0.49501021766012077,tvm
16,4,1,1,48,48,3,[16; 4; 1; 1; 48; 48; 3],0.015264931134879589,0.4530900604998457,tvm
12,12,1,1,384,16,1,[12; 12; 1; 1; 384; 16; 1],0.01675791249726899,0.4127237549757897,tvm
2,1,1,1,384,48,3,[2; 1; 1; 1; 384; 48; 3],0.024593092006398365,0.28123298077481024,tvm
6,6,197,1,128,128,8,[6; 6; 197; 1; 128; 128; 8],0.014904742885846645,0.46403944196825336,tvm
24,3,1,1,96,96,6,[24; 3; 1; 1; 96; 96; 6],0.015453208383405581,0.4475697473189924,tvm
6,6,1,1,768,64,4,[6; 6; 1; 1; 768; 64; 4],0.014100691754720174,0.49049994792725865,tvm
6,3,1,1,768,192,12,[6; 3; 1; 1; 768; 192; 12],0.01401101787632797,0.4936392653608711,tvm
12,1,1,1,192,192,12,[12; 1; 1; 1; 192; 192; 12],0.013949715372291394,0.49580858009237494,tvm
4,2,197,1,192,32,2,[4; 2; 197; 1; 192; 32; 2],0.018849502739612944,0.3669268450723381,tvm
48,2,1,1,384,128,8,[48; 2; 1; 1; 384; 128; 8],0.021391534741269425,0.3233236256810125,tvm
8,8,197,1,192,192,12,[8; 8; 197; 1; 192; 192; 12],0.018510675377910957,0.37364323182297243,tvm
24,6,197,1,48,48,3,[24; 6; 197; 1; 48; 48; 3],0.01730727574613411,0.3996231800359147,tvm
16,8,197,1,768,48,3,[16; 8; 197; 1; 768; 48; 3],0.014677477010991424,0.4712246230226858,tvm
