i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
375,75,3,5120,512,64,256,64,4,[375; 75; 3; 5120; 512; 64; 256; 64; 4],0.3026319550117478,0.4833782813187579,tvm
375,15,15,5120,256,16,320,32,1,[375; 15; 15; 5120; 256; 16; 320; 32; 1],0.6591814960120246,0.22192023770498223,tvm
750,15,3,1280,640,16,128,4,1,[750; 15; 3; 1280; 640; 16; 128; 4; 1],0.549762999988161,0.26608868601354496,tvm
300,60,3,5120,5120,32,40,2,2,[300; 60; 3; 5120; 5120; 32; 40; 2; 2],0.43249895598273724,0.33823368186709135,tvm
750,2,2,1280,64,32,40,2,2,[750; 2; 2; 1280; 64; 32; 40; 2; 2],0.916731612989679,0.15957310974434702,tvm
300,5,1,640,320,16,320,32,1,[300; 5; 1; 640; 320; 16; 320; 32; 1],2.028598902048543,0.07211169942860088,tvm
150,30,5,5120,1280,16,32,32,1,[150; 30; 5; 5120; 1280; 16; 32; 32; 1],0.4277748300228268,0.3419689612825239,tvm
500,5,5,5120,256,64,640,1,4,[500; 5; 5; 5120; 256; 64; 640; 1; 4],0.5165110339876264,0.2832189530518698,tvm
500,500,25,640,32,16,160,5,1,[500; 500; 25; 640; 32; 16; 160; 5; 1],0.35435450193472207,0.41282307262082574,tvm
1500,1500,5,1280,1280,64,80,40,4,[1500; 1500; 5; 1280; 1280; 64; 80; 40; 4],0.19866522902157158,0.7363428165370107,tvm
250,50,1,1280,1280,160,20,2,10,[250; 50; 1; 1280; 1280; 160; 20; 2; 10],0.6621195269981399,0.2209355083498772,tvm
12,12,4,512,64,16,20,20,1,[12; 12; 4; 512; 64; 16; 20; 20; 1],0.7020849050022662,0.20835900792546183,tvm
750,150,2,2560,1280,32,1280,10,2,[750; 150; 2; 2560; 1280; 32; 1280; 10; 2],0.9248698599403724,0.15816897124871768,tvm
