kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
2,1,2,1,64,64,4,[2; 1; 2; 1; 64; 64; 4],0.010785466438392177,0.37036647982845344,tvm
128,1,64,8,256,32,2,[128; 1; 64; 8; 256; 32; 2],0.01623829687014222,0.24599718000230478,tvm
4,4,1,1,256,64,4,[4; 4; 1; 1; 256; 64; 4],0.010495263748452999,0.380607418149357,tvm
32,32,16,2,256,64,4,[32; 32; 16; 2; 256; 64; 4],0.00841377775213914,0.47476595600349053,tvm
32,2,8,2,64,64,4,[32; 2; 8; 2; 64; 64; 4],0.009394031876581721,0.4252247906517404,tvm
16,1,64,8,32,32,2,[16; 1; 64; 8; 32; 32; 2],0.015231002500513569,0.26226607460412055,tvm
16,16,16,2,128,16,1,[16; 16; 16; 2; 128; 16; 1],0.009976750690839253,0.40038839917720853,tvm
8,2,16,16,512,16,1,[8; 2; 16; 16; 512; 16; 1],0.03525572075159289,0.11330289532982414,tvm
256,128,64,8,64,32,2,[256; 128; 64; 8; 64; 32; 2],0.014141938998363912,0.2824630511104151,tvm
2,2,16,16,1024,16,1,[2; 2; 16; 16; 1024; 16; 1],0.10250532208010554,0.038969442337575114,tvm
4,1,16,1,32,16,1,[4; 1; 16; 1; 32; 16; 1],0.014813640882493928,0.26965519616557204,tvm
64,2,64,8,512,16,1,[64; 2; 64; 8; 512; 16; 1],0.02840043549076654,0.14065190089757398,tvm
64,32,4,2,64,64,4,[64; 32; 4; 2; 64; 64; 4],0.008563048999349121,0.46648982604197015,tvm
64,1,32,8,512,16,1,[64; 1; 32; 8; 512; 16; 1],0.028450872749090195,0.14040255542680943,tvm
16,4,16,1,256,16,1,[16; 4; 16; 1; 256; 16; 1],0.01149137037282344,0.34761521981244503,tvm
16,16,8,1,64,16,1,[16; 16; 8; 1; 64; 16; 1],0.011317666874674615,0.35295041657692217,tvm
32,32,16,8,256,16,1,[32; 32; 16; 8; 256; 16; 1],0.00883226488076616,0.45227076995778753,tvm
128,32,64,4,32,32,2,[128; 32; 64; 4; 32; 32; 2],0.006958870122616645,0.5740264105681017,tvm
4,2,64,1,1024,32,2,[4; 2; 64; 1; 1024; 32; 2],0.020888064755126834,0.1912372105757091,tvm
16,16,16,2,128,32,2,[16; 16; 16; 2; 128; 32; 2],0.008043806621572003,0.4966025945206745,tvm
128,16,8,8,1024,16,1,[128; 16; 8; 8; 1024; 16; 1],0.010162770064198412,0.3930596887326418,tvm
32,1,16,4,32,32,2,[32; 1; 16; 4; 32; 32; 2],0.016853710869327188,0.23701458207433368,tvm
64,64,64,2,64,64,4,[64; 64; 64; 2; 64; 64; 4],0.0069632711238227785,0.5736636082471321,tvm
64,4,32,1,256,128,8,[64; 4; 32; 1; 256; 128; 8],0.013158464629668742,0.3035745697175461,tvm
64,16,64,16,16,16,1,[64; 16; 64; 16; 16; 16; 1],0.01117128581245197,0.357575242918118,tvm
128,32,8,4,512,64,4,[128; 32; 8; 4; 512; 64; 4],0.005778782375273295,0.6912486019870793,tvm
8,8,2,2,32,16,1,[8; 8; 2; 2; 32; 16; 1],0.009233823249815032,0.43260252335621174,tvm
