i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
150,75,25,128,32,16,20,10,1,[150; 75; 25; 128; 32; 16; 20; 10; 1],0.07975475949933752,0.4585485405636807,tvm
75,25,5,64,64,16,640,32,1,[75; 25; 5; 64; 64; 16; 640; 32; 1],0.08307008148403838,0.440247895729531,tvm
300,100,4,160,32,32,4,2,2,[300; 100; 4; 160; 32; 32; 4; 2; 2],0.11744872492272407,0.31138208265343803,tvm
12,6,1,1280,128,128,64,4,8,[12; 6; 1; 1280; 128; 128; 64; 4; 8],0.21546178800053895,0.1697351020373835,tvm
1500,20,5,1280,256,32,80,20,2,[1500; 20; 5; 1280; 256; 32; 80; 20; 2],0.06511411548126489,0.5616513147898197,tvm
750,375,3,320,80,16,40,5,1,[750; 375; 3; 320; 80; 16; 40; 5; 1],0.09421744849532843,0.38815982766973245,tvm
1500,1500,10,1280,64,32,160,16,2,[1500; 1500; 10; 1280; 64; 32; 160; 16; 2],0.06329982850002125,0.5777492520602374,tvm
1500,1500,25,1280,64,16,640,20,1,[1500; 1500; 25; 1280; 64; 16; 640; 20; 1],0.11837364104576409,0.3089490890737221,tvm
5,5,5,1280,640,80,1280,4,5,[5; 5; 5; 1280; 640; 80; 1280; 4; 5],0.1616633590310812,0.22621965045522402,tvm
750,25,1,1280,128,16,2,1,1,[750; 25; 1; 1280; 128; 16; 2; 1; 1],0.15987689199391752,0.22874743257343233,tvm
750,10,2,1280,320,160,16,2,10,[750; 10; 2; 1280; 320; 160; 16; 2; 10],0.16341676900628954,0.2237923855294252,tvm
4,2,2,1280,160,16,10,10,1,[4; 2; 2; 1280; 160; 16; 10; 10; 1],0.25670110899955034,0.14246696757158395,tvm
75,25,1,160,160,80,128,1,5,[75; 25; 1; 160; 160; 80; 128; 1; 5],0.23177681397646666,0.1577872607013307,tvm
100,50,2,160,160,80,160,4,5,[100; 50; 2; 160; 160; 80; 160; 4; 5],0.1010023639537394,0.36208487742107537,tvm
1,1,1,64,64,32,128,64,2,[1; 1; 1; 64; 64; 32; 128; 64; 2],0.4558764760149643,0.08022223232731163,tvm
1500,300,25,640,32,16,16,2,1,[1500; 300; 25; 640; 32; 16; 16; 2; 1],0.13267802202608436,0.2756404415211938,tvm
60,6,1,128,32,16,64,16,1,[60; 6; 1; 128; 32; 16; 64; 16; 1],0.26415856601670384,0.13844498447616502,tvm
100,50,10,128,128,32,160,2,2,[100; 50; 10; 128; 128; 32; 160; 2; 2],0.12912989198230207,0.28321427370543206,tvm
100,10,2,256,256,32,64,64,2,[100; 10; 2; 256; 256; 32; 64; 64; 2],0.14157609594985843,0.2583164080494278,tvm
300,300,4,64,32,16,640,16,1,[300; 300; 4; 64; 32; 16; 640; 16; 1],0.09430512698600069,0.38779894307185964,tvm
1500,30,1,640,640,64,32,16,4,[1500; 30; 1; 640; 640; 64; 32; 16; 4],0.1411689199740067,0.2590614745665153,tvm
1500,30,5,128,128,16,16,4,1,[1500; 30; 5; 128; 128; 16; 16; 4; 1],0.10621813393663615,0.3443049431959053,tvm
1500,750,6,256,32,16,4,2,1,[1500; 750; 6; 256; 32; 16; 4; 2; 1],0.12574519903864712,0.29083757352985334,tvm
