i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
64,8,1,256,128,64,112,16,4,[64; 8; 1; 256; 128; 64; 112; 16; 4],1.1711321460315958,0.04775212901706531,tvm
64,16,8,256,256,32,256,1,2,[64; 16; 8; 256; 256; 32; 256; 1; 2],0.626448599039577,0.08927157538395299,tvm
4,2,1,64,64,16,224,8,1,[4; 2; 1; 64; 64; 16; 224; 8; 1],1.9382594249909744,0.02885271837829126,tvm
16,2,2,128,64,64,2048,16,4,[16; 2; 2; 128; 64; 64; 2048; 16; 4],1.0196556739974767,0.054846017885712,tvm
32,32,2,128,128,16,14336,56,1,[32; 32; 2; 128; 128; 16; 14336; 56; 1],1.283218586933799,0.04358108112115309,tvm
2,2,2,4096,256,128,32,4,8,[2; 2; 2; 4096; 256; 128; 32; 4; 8],0.812954172026366,0.06879115115915733,tvm
16,2,1,1024,512,16,512,1,1,[16; 2; 1; 1024; 512; 16; 512; 1; 1],2.6559873579535633,0.0210558431936298,tvm
32,32,8,4096,512,32,896,14,2,[32; 32; 8; 4096; 512; 32; 896; 14; 2],0.31825439201202244,0.1757212303647352,tvm
16,16,8,1024,64,16,1024,16,1,[16; 16; 8; 1024; 64; 16; 1024; 16; 1],0.4013227360555902,0.13934932738420003,tvm
8,2,2,2048,512,32,512,4,2,[8; 2; 2; 2048; 512; 32; 512; 4; 2],1.1102882750565186,0.050368948848429976,tvm
2,2,2,4096,512,16,16,16,1,[2; 2; 2; 4096; 512; 16; 16; 16; 1],0.6145921680144966,0.09099376178840964,tvm
16,8,2,2048,128,128,112,16,8,[16; 8; 2; 2048; 128; 128; 112; 16; 8],0.5728389789583161,0.09762613122980719,tvm
32,8,8,1024,64,16,16,2,1,[32; 8; 8; 1024; 64; 16; 16; 2; 1],0.7201943229883909,0.07765133874046769,tvm
8,8,4,1024,1024,16,448,7,1,[8; 8; 4; 1024; 1024; 16; 448; 7; 1],0.5679938909597695,0.0984588993357578,tvm
32,16,8,64,32,16,256,16,1,[32; 16; 8; 64; 32; 16; 256; 16; 1],0.34568770695477724,0.16177622810477696,tvm
8,4,1,4096,4096,16,1792,4,1,[8; 4; 1; 4096; 4096; 16; 1792; 4; 1],2.313931173994206,0.024168416918295674,tvm
64,4,4,2048,256,32,1792,16,2,[64; 4; 4; 2048; 256; 32; 1792; 16; 2],0.5345017689978704,0.10462837838345143,tvm
64,32,4,2048,512,32,128,32,2,[64; 32; 4; 2048; 512; 32; 128; 32; 2],0.2617116500623524,0.21368576186810756,tvm
2,2,1,128,128,128,28,28,8,[2; 2; 1; 128; 128; 128; 28; 28; 8],1.1416542059741914,0.04898510690950634,tvm
32,4,4,4096,512,32,7168,8,2,[32; 4; 4; 4096; 512; 32; 7168; 8; 2],0.5294363929424435,0.10562940908259964,tvm
4,4,4,512,32,32,448,4,2,[4; 4; 4; 512; 32; 32; 448; 4; 2],0.5060413179453462,0.11051282049536769,tvm
64,8,1,64,64,64,8,8,4,[64; 8; 1; 64; 64; 64; 8; 8; 4],0.36248590401373804,0.15427924979729374,tvm
32,2,1,2048,512,64,112,28,4,[32; 2; 1; 2048; 512; 64; 112; 28; 4],1.80112108704634,0.031049580028538356,tvm
4,4,4,2048,32,16,1792,8,1,[4; 4; 4; 2048; 32; 16; 1792; 8; 1],0.58992609300185,0.09479840609992812,tvm
16,4,4,4096,2048,64,2048,1,4,[16; 4; 4; 4096; 2048; 64; 2048; 1; 4],0.7100025770487264,0.07876598640781463,tvm
4,4,2,2048,64,16,2048,4,1,[4; 4; 2; 2048; 64; 16; 2048; 4; 1],1.1915845869807526,0.04693250814449874,tvm
16,4,4,512,16,16,448,7,1,[16; 4; 4; 512; 16; 16; 448; 7; 1],0.5709315310232341,0.09795229426741453,tvm
64,64,1,4096,512,64,56,28,4,[64; 64; 1; 4096; 512; 64; 56; 28; 4],0.220846478943713,0.2532259223729198,tvm
16,8,8,512,512,16,256,32,1,[16; 8; 8; 512; 512; 16; 256; 32; 1],0.39759399101603776,0.14065618343582442,tvm
16,2,1,4096,128,64,448,7,4,[16; 2; 1; 4096; 128; 64; 448; 7; 4],1.7895397068932652,0.03125052387377334,tvm
32,16,1,1024,1024,64,8,4,4,[32; 16; 1; 1024; 1024; 64; 8; 4; 4],0.16792376700323075,0.33303238922848477,tvm
16,8,1,2048,256,32,7168,4,2,[16; 8; 1; 2048; 256; 32; 7168; 4; 2],2.1878246340202168,0.025561488093572934,tvm
32,32,8,2048,2048,16,32,2,1,[32; 32; 8; 2048; 2048; 16; 32; 2; 1],0.5140171850798652,0.1087980226276757,tvm
64,16,1,1024,128,128,896,7,8,[64; 16; 1; 1024; 128; 128; 896; 7; 8],0.9417726130923256,0.059381694217785545,tvm
16,1,1,512,256,64,448,7,4,[16; 1; 1; 512; 256; 64; 448; 7; 4],2.149523717002012,0.026016951053385837,tvm
8,1,1,2048,2048,64,2048,64,4,[8; 1; 1; 2048; 2048; 64; 2048; 64; 4],2.1453449650434777,0.02606762746531068,tvm
64,64,1,1024,32,16,1024,32,1,[64; 64; 1; 1024; 32; 16; 1024; 32; 1],1.5809767729369923,0.03537310243302487,tvm
8,4,4,2048,64,16,2,1,1,[8; 4; 4; 2048; 64; 16; 2; 1; 1],0.4732660989975557,0.11816619329334674,tvm
8,4,2,1024,64,32,3584,64,2,[8; 4; 2; 1024; 64; 32; 3584; 64; 2],1.114687247085385,0.05017017417177785,tvm
64,16,1,4096,256,64,3584,32,4,[64; 16; 1; 4096; 256; 64; 3584; 32; 4],2.063419200014323,0.027102613629331907,tvm
16,1,1,4096,2048,16,14336,56,1,[16; 1; 1; 4096; 2048; 16; 14336; 56; 1],2.6468465480720624,0.021128558954076077,tvm
64,32,16,4096,4096,16,64,64,1,[64; 32; 16; 4096; 4096; 16; 64; 64; 1],1.403672257089056,0.03984124716499632,tvm
8,1,1,1024,512,64,1792,16,4,[8; 1; 1; 1024; 512; 64; 1792; 16; 4],2.1478548160521314,0.02603716643945453,tvm
8,2,1,4096,256,32,64,2,2,[8; 2; 1; 4096; 256; 32; 64; 2; 2],1.3773934160126373,0.04060136536388108,tvm
16,16,1,4096,256,128,1024,16,8,[16; 16; 1; 4096; 256; 128; 1024; 16; 8],0.9860746639315039,0.05671381222833853,tvm
4,4,4,256,64,32,224,1,2,[4; 4; 4; 256; 64; 32; 224; 1; 2],0.5912109169876203,0.09459238949490568,tvm
8,4,1,4096,128,64,1024,1,4,[8; 4; 1; 4096; 128; 64; 1024; 1; 4],1.4386243770131841,0.03887328355261203,tvm
64,32,1,256,32,32,896,28,2,[64; 32; 1; 256; 32; 32; 896; 28; 2],1.2468954499345273,0.04485063550137249,tvm
8,2,2,2048,128,16,7168,32,1,[8; 2; 2; 2048; 128; 16; 7168; 32; 1],1.2519376870477572,0.044669997486224744,tvm
16,8,4,2048,512,16,448,16,1,[16; 8; 4; 2048; 512; 16; 448; 16; 1],0.5607229570159689,0.0997356227948068,tvm
64,16,1,512,128,64,56,2,4,[64; 16; 1; 512; 128; 64; 56; 2; 4],0.340426663053222,0.16427636082250766,tvm
16,1,1,32,16,16,28,28,1,[16; 1; 1; 32; 16; 16; 28; 28; 1],2.7176442390773445,0.020578136214149893,tvm
16,16,4,4096,4096,16,896,28,1,[16; 16; 4; 4096; 4096; 16; 896; 28; 1],0.4806885819416493,0.1163415471768413,tvm
64,2,2,4096,4096,16,224,1,1,[64; 2; 2; 4096; 4096; 16; 224; 1; 1],1.1836593580665067,0.047246746246897085,tvm
8,4,2,4096,256,128,896,2,8,[8; 4; 2; 4096; 256; 128; 896; 2; 8],0.9070355698931962,0.06165585473116386,tvm
16,2,1,2048,256,64,896,16,4,[16; 2; 1; 2048; 256; 64; 896; 16; 4],1.9434207779122517,0.02877609109099398,tvm
4,2,1,2048,256,128,1024,64,8,[4; 2; 1; 2048; 256; 128; 1024; 64; 8],1.8371604490093887,0.030440484043453047,tvm
64,2,1,1024,32,32,448,16,2,[64; 2; 1; 1024; 32; 32; 448; 16; 2],1.6563308630138636,0.03376381771427829,tvm
32,4,2,128,128,128,1792,4,8,[32; 4; 2; 128; 128; 128; 1792; 4; 8],0.9110943489940837,0.06138118779364363,tvm
8,8,8,4096,32,32,224,7,2,[8; 8; 8; 4096; 32; 32; 224; 7; 2],0.38100738904904574,0.14677944559792888,tvm
32,8,2,128,32,16,14336,4,1,[32; 8; 2; 128; 32; 16; 14336; 4; 1],1.3097262430237606,0.04269904007132182,tvm
64,4,4,128,64,16,112,14,1,[64; 4; 4; 128; 64; 16; 112; 14; 1],0.5770803220802918,0.09690861253375464,tvm
16,8,2,4096,512,16,14336,28,1,[16; 8; 2; 4096; 512; 16; 14336; 28; 1],1.2432707640109584,0.044981395004347106,tvm
32,16,2,2048,256,64,448,32,4,[32; 16; 2; 2048; 256; 64; 448; 32; 4],0.5736014700960368,0.09749635635342792,tvm
64,64,2,2048,64,32,7168,28,2,[64; 64; 2; 2048; 64; 32; 7168; 28; 2],1.1310360840288922,0.049444977152386556,tvm
64,32,4,4096,512,32,512,32,2,[64; 32; 4; 4096; 512; 32; 512; 32; 2],0.2860657679848373,0.19549369268222805,tvm
16,16,8,4096,512,32,2048,4,2,[16; 16; 8; 4096; 512; 32; 2048; 4; 2],0.49263132200576365,0.11352110764219543,tvm
4,2,2,1024,128,64,8,4,4,[4; 2; 2; 1024; 128; 64; 8; 4; 4],0.9069683969719335,0.061660421156950106,tvm
16,4,2,4096,128,16,224,56,1,[16; 4; 2; 4096; 128; 16; 224; 56; 1],0.9677727330708876,0.057786349441648295,tvm
32,16,16,4096,512,16,64,16,1,[32; 16; 16; 4096; 512; 16; 64; 16; 1],0.4162126360461116,0.13436414104241082,tvm
8,1,1,256,256,128,224,7,8,[8; 1; 1; 256; 256; 128; 224; 7; 8],1.9381983400089666,0.028853627711328354,tvm
8,8,4,1024,512,32,1792,16,2,[8; 8; 4; 1024; 512; 32; 1792; 16; 2],0.5361481379950419,0.10430709233172884,tvm
8,8,2,4096,128,16,512,4,1,[8; 8; 2; 4096; 128; 16; 512; 4; 1],0.8129611049080268,0.06879056451250547,tvm
64,16,8,4096,128,16,64,4,1,[64; 16; 8; 4096; 128; 16; 64; 4; 1],0.41116927191615105,0.13601223912651192,tvm
32,16,1,4096,64,64,2048,1,4,[32; 16; 1; 4096; 64; 64; 2048; 1; 4],1.4360681370599195,0.03894247904408447,tvm
64,1,1,4096,64,32,28,7,2,[64; 1; 1; 4096; 64; 32; 28; 7; 2],2.3007975220680237,0.02430637759165664,tvm
4,4,1,4096,128,128,14336,4,8,[4; 4; 1; 4096; 128; 128; 14336; 4; 8],1.975179553963244,0.0283134023036642,tvm
4,4,2,128,128,16,224,4,1,[4; 4; 2; 128; 128; 16; 224; 4; 1],0.9800801019882783,0.05706069658988157,tvm
64,16,1,4096,4096,128,1024,64,8,[64; 16; 1; 4096; 4096; 128; 1024; 64; 8],0.8859238020377234,0.06312512792262923,tvm
8,2,1,256,128,16,14336,56,1,[8; 2; 1; 256; 128; 16; 14336; 56; 1],2.7521802299888805,0.020319909548060115,tvm
64,8,2,1024,64,64,2,2,4,[64; 8; 2; 1024; 64; 64; 2; 2; 4],0.4134328799555078,0.13526755138428198,tvm
1,1,1,128,64,16,1024,8,1,[1; 1; 1; 128; 64; 16; 1024; 8; 1],2.820802698028274,0.019825581339816482,tvm
32,1,1,128,128,128,14336,4,8,[32; 1; 1; 128; 128; 128; 14336; 4; 8],2.0040514459833503,0.02790549785806145,tvm
16,4,2,1024,128,64,2,2,4,[16; 4; 2; 1024; 128; 64; 2; 2; 4],0.5028736139647663,0.1112089634061644,tvm
32,16,16,32,16,16,1024,16,1,[32; 16; 16; 32; 16; 16; 1024; 16; 1],0.3923063890542835,0.14255198205705263,tvm
16,16,1,32,32,16,896,56,1,[16; 16; 1; 32; 32; 16; 896; 56; 1],1.3998499030712992,0.03995003550783182,tvm
32,2,1,2048,2048,32,32,32,2,[32; 2; 1; 2048; 2048; 32; 32; 32; 2],0.746672190958634,0.07489773157553092,tvm
64,4,1,32,16,16,512,4,1,[64; 4; 1; 32; 16; 16; 512; 4; 1],1.987119239056483,0.02814328009822249,tvm
16,4,4,1024,128,64,64,2,4,[16; 4; 4; 1024; 128; 64; 64; 2; 4],0.7238933868939057,0.07725454375718672,tvm
32,32,1,1024,1024,16,896,4,1,[32; 32; 1; 1024; 1024; 16; 896; 4; 1],1.0473111249739304,0.05339774590356365,tvm
4,4,2,512,64,16,512,16,1,[4; 4; 2; 512; 64; 16; 512; 16; 1],1.0232296010944992,0.0546544522104463,tvm
8,2,1,1024,1024,64,1792,1,4,[8; 2; 1; 1024; 1024; 64; 1792; 1; 4],2.19850358099211,0.025437326469168953,tvm
64,8,4,128,128,32,448,28,2,[64; 8; 4; 128; 128; 32; 448; 28; 2],0.46323304099496454,0.12072552772404947,tvm
4,4,2,128,16,16,224,8,1,[4; 4; 2; 128; 16; 16; 224; 8; 1],0.9331724540097639,0.05992895856819644,tvm
32,32,4,4096,64,64,512,2,4,[32; 32; 4; 4096; 64; 64; 512; 2; 4],0.4308313069632277,0.1298049896316067,tvm
2,1,1,2048,256,16,3584,7,1,[2; 1; 1; 2048; 256; 16; 3584; 7; 1],2.644984368002042,0.02114343434686422,tvm
16,4,2,2048,512,64,14,14,4,[16; 4; 2; 2048; 512; 64; 14; 14; 4],0.40800281101837754,0.13706781380683764,tvm
64,32,8,64,64,16,2048,2,1,[64; 32; 8; 64; 64; 16; 2048; 2; 1],0.7290105590363964,0.07671226793649402,tvm
4,2,2,4096,32,32,3584,64,2,[4; 2; 2; 4096; 32; 32; 3584; 64; 2],1.0559699590085074,0.05295989043650699,tvm
64,2,2,4096,1024,16,64,1,1,[64; 2; 2; 4096; 1024; 16; 64; 1; 1],1.2041966769611463,0.04644096301150791,tvm
8,4,4,2048,128,64,28,7,4,[8; 4; 4; 2048; 128; 64; 28; 7; 4],0.5102930129505694,0.10959204205045726,tvm
64,8,1,128,64,64,28,4,4,[64; 8; 1; 128; 64; 64; 28; 4; 4],0.7002340630860999,0.0798647999025677,tvm
16,4,2,2048,256,64,1,1,4,[16; 4; 2; 2048; 256; 64; 1; 1; 4],0.5100446160649881,0.10964541448312767,tvm
16,16,2,1024,256,16,1792,7,1,[16; 16; 2; 1024; 256; 16; 1792; 7; 1],0.981586413923651,0.05697313302227834,tvm
1,1,1,1024,128,64,28,14,4,[1; 1; 1; 1024; 128; 64; 28; 14; 4],2.0090945980045944,0.02783545055015147,tvm
64,2,2,128,64,16,128,2,1,[64; 2; 2; 128; 64; 16; 128; 2; 1],1.2998219889122993,0.043024393963461874,tvm
