i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
32,16,8,3584,64,16,32,8,1,[32; 16; 8; 3584; 64; 16; 32; 8; 1],0.3439627999905497,0.1625875046222145,tvm
64,64,1,2048,64,16,64,4,1,[64; 64; 1; 2048; 64; 16; 64; 4; 1],0.43084418401122093,0.12980111002699957,tvm
64,1,1,14336,14336,128,16,1,8,[64; 1; 1; 14336; 14336; 128; 16; 1; 8],1.1656094539212063,0.047978380018453184,tvm
16,16,4,896,896,64,256,64,4,[16; 16; 4; 896; 896; 64; 256; 64; 4],0.33545034599956125,0.16671335713395413,tvm
16,4,2,14336,1792,128,8,4,8,[16; 4; 2; 14336; 1792; 128; 8; 4; 8],0.40752843802329153,0.1372273640695894,tvm
64,32,1,3584,448,64,4096,32,4,[64; 32; 1; 3584; 448; 64; 4096; 32; 4],0.9572717659175396,0.05842024733669069,tvm
64,64,1,7168,512,32,2048,32,2,[64; 64; 1; 7168; 512; 32; 2048; 32; 2],0.7694101009983569,0.07268432434246501,tvm
16,8,4,112,112,16,256,1,1,[16; 8; 4; 112; 112; 16; 256; 1; 1],0.6191232209093869,0.09032782400115828,tvm
32,1,1,2048,128,64,256,2,4,[32; 1; 1; 2048; 128; 64; 256; 2; 4],1.0670446279691532,0.05241022902647519,tvm
16,8,8,448,224,32,64,16,2,[16; 8; 8; 448; 224; 32; 64; 16; 2],0.413794600055553,0.1351493067474186,tvm
32,4,4,3584,64,64,1024,2,4,[32; 4; 4; 3584; 64; 64; 1024; 2; 4],0.5193005340406671,0.10769111461948515,tvm
32,32,2,224,112,112,256,32,7,[32; 32; 2; 224; 112; 112; 256; 32; 7],0.43586511607281864,0.12830587094744758,tvm
32,2,1,2048,256,128,512,1,8,[32; 2; 1; 2048; 256; 128; 512; 1; 8],0.9686820729402825,0.05773210312810336,tvm
16,4,2,2048,64,32,32,32,2,[16; 4; 2; 2048; 64; 32; 32; 32; 2],0.5986835090443492,0.09341171501884579,tvm
64,2,2,448,224,16,4,4,1,[64; 2; 2; 448; 224; 16; 4; 4; 1],0.4800730550196022,0.11649071479558432,tvm
32,8,2,1792,896,64,32,2,4,[32; 8; 2; 1792; 896; 64; 32; 2; 4],0.2339137049857527,0.23907984928347648,tvm
64,16,16,1024,16,16,512,16,1,[64; 16; 16; 1024; 16; 16; 512; 16; 1],0.3734518950805068,0.14974901471922514,tvm
8,4,4,7168,1024,16,4096,4,1,[8; 4; 4; 7168; 1024; 16; 4096; 4; 1],0.8122023930773139,0.06885482462252472,tvm
64,8,2,3584,112,112,128,32,7,[64; 8; 2; 3584; 112; 112; 128; 32; 7],0.37404532299842685,0.14951143590042573,tvm
32,4,2,1792,1792,32,512,64,2,[32; 4; 2; 1792; 1792; 32; 512; 64; 2],0.6016525459708646,0.09295074658595642,tvm
32,4,2,224,16,16,128,8,1,[32; 4; 2; 224; 16; 16; 128; 8; 1],0.5899673260282725,0.09479178060558108,tvm
32,8,2,128,32,32,4096,1,2,[32; 8; 2; 128; 32; 32; 4096; 1; 2],0.9342363850446418,0.05986071001790521,tvm
32,16,1,7168,896,16,4096,8,1,[32; 16; 1; 7168; 896; 16; 4096; 8; 1],1.4563889369601384,0.03839911984642052,tvm
64,2,1,2048,512,128,16,16,8,[64; 2; 1; 2048; 512; 128; 16; 16; 8],0.5652758249780163,0.09893232801085776,tvm
2,2,2,7168,1792,64,512,64,4,[2; 2; 2; 7168; 1792; 64; 512; 64; 4],1.1223526349058375,0.049827524428652695,tvm
64,4,1,14336,256,128,32,32,8,[64; 4; 1; 14336; 256; 128; 32; 32; 8],0.6585416720481589,0.0849210546682665,tvm
