kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
80,40,10,10,64,32,2,[80; 40; 10; 10; 64; 32; 2],0.339722731965594,0.43060325530565213,tvm
80,8,300,3,1280,64,4,[80; 8; 300; 3; 1280; 64; 4],0.3073445879854262,0.4759664559073054,tvm
80,20,750,6,640,64,4,[80; 20; 750; 6; 640; 64; 4],0.2424989229766652,0.6032427381122466,tvm
16,16,1500,4,256,16,1,[16; 16; 1500; 4; 256; 16; 1],0.7197893760167062,0.20323405590570848,tvm
160,20,250,25,320,16,1,[160; 20; 250; 25; 320; 16; 1],0.7633725269697607,0.19163083437964631,tvm
320,16,375,15,16,16,1,[320; 16; 375; 15; 16; 16; 1],0.4133944989880547,0.3538646852916669,tvm
64,64,125,25,640,16,1,[64; 64; 125; 25; 640; 16; 1],1.0647742860019207,0.13738659564647904,tvm
20,5,30,2,1280,32,2,[20; 5; 30; 2; 1280; 32; 2],0.32537167600821704,0.44959572412818116,tvm
4,4,4,2,320,16,1,[4; 4; 4; 2; 320; 16; 1],0.5215776370605454,0.2804677652786967,tvm
8,2,15,3,32,32,2,[8; 2; 15; 3; 32; 32; 2],0.37184524710755795,0.3934048247856197,tvm
2,2,20,2,256,64,4,[2; 2; 20; 2; 256; 64; 4],0.9857102880487218,0.1484063989788485,tvm
20,10,30,5,320,64,4,[20; 10; 30; 5; 320; 64; 4],0.30214639101177454,0.48415509381349386,tvm
32,2,60,6,640,32,2,[32; 2; 60; 6; 640; 32; 2],0.5258769049542025,0.27817482172649133,tvm
80,8,20,4,128,32,2,[80; 8; 20; 4; 128; 32; 2],0.3083982359385118,0.4743403082074718,tvm
320,160,60,10,80,16,1,[320; 160; 60; 10; 80; 16; 1],0.6063150140689686,0.2412701498252429,tvm
40,40,300,3,640,64,4,[40; 40; 300; 3; 640; 64; 4],0.2695867749862373,0.5426294160504808,tvm
320,2,750,10,16,16,1,[320; 2; 750; 10; 16; 16; 1],0.6350174759281799,0.2303648636943326,tvm
32,32,30,3,320,80,5,[32; 32; 30; 3; 320; 80; 5],0.4203202329808846,0.3480339579378923,tvm
8,8,300,1,64,64,4,[8; 8; 300; 1; 64; 64; 4],0.44262428896036,0.33049635533854577,tvm
20,5,60,6,320,64,4,[20; 5; 60; 6; 320; 64; 4],0.369561379076913,0.3958360439370191,tvm
20,5,300,4,80,80,5,[20; 5; 300; 4; 80; 80; 5],0.3316304550971836,0.4411106158595886,tvm
80,1,300,6,1280,64,4,[80; 1; 300; 6; 1280; 64; 4],0.5308103960705921,0.2755893919347048,tvm
16,8,250,2,64,32,2,[16; 8; 250; 2; 64; 32; 2],0.3507421729154885,0.4170747790884044,tvm
40,4,30,2,160,160,10,[40; 4; 30; 2; 160; 160; 10],0.379295458085835,0.3856774742939571,tvm
20,2,150,3,128,32,2,[20; 2; 150; 3; 128; 32; 2],0.5748485040385276,0.2544769852543791,tvm
5,1,60,2,80,80,5,[5; 1; 60; 2; 80; 80; 5],0.6737399529665709,0.2171248916463955,tvm
8,2,375,25,64,16,1,[8; 2; 375; 25; 64; 16; 1],1.145757418940775,0.1276759913289079,tvm
1,1,12,1,1280,128,8,[1; 1; 12; 1; 1280; 128; 8],1.9268213310278952,0.07592074673974869,tvm
32,32,300,5,320,80,5,[32; 32; 300; 5; 320; 80; 5],0.48114493500906974,0.3040366917360499,tvm
40,1,60,4,640,80,5,[40; 1; 60; 4; 640; 80; 5],0.517195470049046,0.28284415227349524,tvm
16,4,250,5,128,16,1,[16; 4; 250; 5; 128; 16; 1],0.5093554279301316,0.2871977135498011,tvm
5,5,1500,15,256,16,1,[5; 5; 1500; 15; 256; 16; 1],1.2831979130860418,0.11400089790818219,tvm
20,4,300,5,1280,80,5,[20; 4; 300; 5; 1280; 80; 5],0.4096851290669292,0.3570686459107867,tvm
256,1,250,25,32,16,1,[256; 1; 250; 25; 32; 16; 1],0.9846545830368996,0.1485655140450733,tvm
4,1,150,10,80,16,1,[4; 1; 150; 10; 80; 16; 1],0.8718083800049499,0.16779571938145826,tvm
8,1,100,2,1280,128,8,[8; 1; 100; 2; 1280; 128; 8],0.4681076599517837,0.31250442323627453,tvm
4,4,750,2,16,16,1,[4; 4; 750; 2; 16; 16; 1],0.8152866750024259,0.17942856024879716,tvm
40,10,30,3,320,64,4,[40; 10; 30; 3; 320; 64; 4],0.28886541398242116,0.5064147772796936,tvm
32,16,750,1,640,128,8,[32; 16; 750; 1; 640; 128; 8],0.31915054307319224,0.45835959693844525,tvm
4,2,10,1,64,16,1,[4; 2; 10; 1; 64; 16; 1],0.5020952200284228,0.29135054159136053,tvm
16,8,125,25,32,16,1,[16; 8; 125; 25; 32; 16; 1],0.610160802025348,0.2397494460478914,tvm
16,16,100,5,16,16,1,[16; 16; 100; 5; 16; 16; 1],0.4198780220467597,0.34840050349056656,tvm
16,1,50,1,640,128,8,[16; 1; 50; 1; 640; 128; 8],0.40338435396552086,0.3626459798146212,tvm
128,32,500,20,128,16,1,[128; 32; 500; 20; 128; 16; 1],0.8045662500662729,0.18181935207158464,tvm
40,4,750,2,128,64,4,[40; 4; 750; 2; 128; 64; 4],0.3171767779858783,0.46121193113396025,tvm
32,8,300,30,80,16,1,[32; 8; 300; 30; 80; 16; 1],0.7805089789908379,0.1874234867545726,tvm
32,32,150,5,128,32,2,[32; 32; 150; 5; 128; 32; 2],0.23368651000782847,0.6259912661660005,tvm
160,40,150,30,320,16,1,[160; 40; 150; 30; 320; 16; 1],0.9814849640242755,0.1490452932522929,tvm
16,4,750,5,256,16,1,[16; 4; 750; 5; 256; 16; 1],0.6534316929755732,0.22387300135315413,tvm
5,5,100,2,320,160,10,[5; 5; 100; 2; 320; 160; 10],0.5754157890332863,0.25422610410374413,tvm
128,1,60,5,320,32,2,[128; 1; 60; 5; 320; 32; 2],0.5882008000044152,0.2487002980693264,tvm
10,10,500,10,640,16,1,[10; 10; 500; 10; 640; 16; 1],0.7260746560059488,0.20147475617784924,tvm
16,8,150,1,160,32,2,[16; 8; 150; 1; 160; 32; 2],0.3416118680033833,0.42822199105876935,tvm
16,16,50,10,32,16,1,[16; 16; 50; 10; 32; 16; 1],0.3598158420063555,0.40655718066779956,tvm
20,1,750,2,16,16,1,[20; 1; 750; 2; 16; 16; 1],0.8131290449528024,0.17990467219653355,tvm
64,8,25,5,320,32,2,[64; 8; 25; 5; 320; 32; 2],0.30076699098572135,0.48637556204649823,tvm
320,10,12,12,320,16,1,[320; 10; 12; 12; 320; 16; 1],0.3566677999915555,0.4101455592267588,tvm
4,4,10,1,640,16,1,[4; 4; 10; 1; 640; 16; 1],0.5016581340460107,0.2916043902365936,tvm
80,4,60,2,1280,64,4,[80; 4; 60; 2; 1280; 64; 4],0.27031805797014385,0.5411614576702504,tvm
10,1,6,2,160,80,5,[10; 1; 6; 2; 160; 80; 5],0.5707529570208862,0.2563030335388365,tvm
10,5,1500,6,640,64,4,[10; 5; 1500; 6; 640; 64; 4],0.5224934499710798,0.2799761686846242,tvm
80,80,20,20,1280,16,1,[80; 80; 20; 20; 1280; 16; 1],1.2550012990832329,0.11656220148343646,tvm
10,10,75,1,160,160,10,[10; 10; 75; 1; 160; 160; 10],0.43436198600102216,0.3367829575338806,tvm
128,32,150,6,320,32,2,[128; 32; 150; 6; 320; 32; 2],0.24632269307039678,0.5938783490155621,tvm
320,20,375,25,16,16,1,[320; 20; 375; 25; 16; 16; 1],0.7460234659956768,0.1960872827109731,tvm
80,20,75,15,32,16,1,[80; 20; 75; 15; 32; 16; 1],0.4624098069034517,0.3163551293717649,tvm
160,20,30,5,32,32,2,[160; 20; 30; 5; 32; 32; 2],0.24106755596585572,0.6068245629305417,tvm
64,16,50,1,640,128,8,[64; 16; 50; 1; 640; 128; 8],0.44994111300911754,0.32512191052598916,tvm
5,5,5,5,160,32,2,[5; 5; 5; 5; 160; 32; 2],0.40008712897542864,0.365634642284877,tvm
8,2,20,20,320,16,1,[8; 2; 20; 20; 320; 16; 1],0.9670827559893951,0.15126493919959674,tvm
20,10,30,6,64,32,2,[20; 10; 30; 6; 64; 32; 2],0.3103813979541883,0.4713095412609289,tvm
128,2,15,3,640,64,4,[128; 2; 15; 3; 640; 64; 4],0.5144219939829782,0.2843690899626558,tvm
32,8,10,2,160,160,10,[32; 8; 10; 2; 160; 160; 10],0.29880774300545454,0.4895646706285116,tvm
20,10,10,2,640,80,5,[20; 10; 10; 2; 640; 80; 5],0.3177926749922335,0.4603180809289873,tvm
80,80,60,30,16,16,1,[80; 80; 60; 30; 16; 16; 1],1.1405548610491678,0.1282583760601833,tvm
40,1,300,6,160,32,2,[40; 1; 300; 6; 160; 32; 2],0.5936133309733123,0.24643266357556082,tvm
80,80,12,6,640,32,2,[80; 80; 12; 6; 640; 32; 2],0.36176496592815965,0.40436672442948535,tvm
32,8,375,1,640,128,8,[32; 8; 375; 1; 640; 128; 8],0.31953448604326695,0.4578088459156371,tvm
10,1,12,1,640,16,1,[10; 1; 12; 1; 640; 16; 1],0.5178453769767657,0.2824891768653903,tvm
16,8,1500,5,160,80,5,[16; 8; 1500; 5; 160; 80; 5],0.32039324194192886,0.4565817724464629,tvm
40,40,1500,20,256,16,1,[40; 40; 1500; 20; 256; 16; 1],1.114663054002449,0.13123760921333355,tvm
320,2,10,10,32,16,1,[320; 2; 10; 10; 32; 16; 1],0.6208597220247611,0.235617981157876,tvm
40,10,75,5,32,32,2,[40; 10; 75; 5; 32; 32; 2],0.32665926695335656,0.44782355526011247,tvm
80,16,300,10,80,16,1,[80; 16; 300; 10; 80; 16; 1],0.3758724619401619,0.38918976274724454,tvm
20,5,125,5,128,32,2,[20; 5; 125; 5; 128; 32; 2],0.34473445697221905,0.4243431758186648,tvm
256,4,60,20,16,16,1,[256; 4; 60; 20; 16; 16; 1],0.6108421640237793,0.23948201827144922,tvm
20,4,4,2,640,16,1,[20; 4; 4; 2; 640; 16; 1],0.4547442219918594,0.3216879010467846,tvm
160,40,60,12,256,16,1,[160; 40; 60; 12; 256; 16; 1],0.5795650469372049,0.2524060328668581,tvm
40,20,12,3,1280,80,5,[40; 20; 12; 3; 1280; 80; 5],0.32491220196243376,0.4502315191678391,tvm
64,1,60,4,256,32,2,[64; 1; 60; 4; 256; 32; 2],0.6060667450074106,0.2413689836816993,tvm
160,16,500,20,16,16,1,[160; 16; 500; 20; 16; 16; 1],0.5382061949931085,0.27180236059450674,tvm
16,4,10,5,1280,16,1,[16; 4; 10; 5; 1280; 16; 1],0.47964795399457216,0.30498559009254045,tvm
20,1,12,3,640,32,2,[20; 1; 12; 3; 640; 32; 2],0.6720221139257774,0.21767991150045857,tvm
2,2,6,6,256,32,2,[2; 2; 6; 6; 256; 32; 2],0.963059863075614,0.15189680298640873,tvm
20,1,750,2,128,32,2,[20; 1; 750; 2; 128; 32; 2],0.4881465910002589,0.29967578793485156,tvm
128,8,300,10,256,32,2,[128; 8; 300; 10; 256; 32; 2],0.3279430950060487,0.44607042048870144,tvm
64,1,300,25,80,16,1,[64; 1; 300; 25; 80; 16; 1],1.048183653037995,0.13956114833667574,tvm
80,40,500,10,64,32,2,[80; 40; 500; 10; 64; 32; 2],0.3676011050119996,0.3979468839761488,tvm
20,4,300,2,320,160,10,[20; 4; 300; 2; 320; 160; 10],0.38041215494740754,0.3845453211292328,tvm
4,2,1500,1,160,80,5,[4; 2; 1500; 1; 160; 80; 5],0.7719880010699853,0.18949221242164438,tvm
128,64,1500,5,32,32,2,[128; 64; 1500; 5; 32; 32; 2],0.28938665497116745,0.5055026269275935,tvm
80,1,20,10,32,32,2,[80; 1; 20; 10; 32; 32; 2],0.5001878290204331,0.2924615630336307,tvm
20,4,1500,12,320,32,2,[20; 4; 1500; 12; 320; 32; 2],0.5069433220196515,0.2885642396923488,tvm
