kc,ku,mc,mr,nc,nr,X,time,peak,backend
64,1,1,1,16,16,[64; 1; 1; 1; 16; 16],0.5221406519412994,0.10710534245018041,tvm
16,8,4,1,7168,16,[16; 8; 4; 1; 7168; 16],0.29474637808743864,0.18973618504225712,tvm
512,16,1,1,112,16,[512; 16; 1; 1; 112; 16],1.1228407450253144,0.04980586390465598,tvm
8,1,32,1,3584,128,[8; 1; 32; 1; 3584; 128],0.14414580294396728,0.38796865528628866,tvm
2048,16,2,1,32,16,[2048; 16; 2; 1; 32; 16],1.4720809500431642,0.03798979487622167,tvm
512,8,8,1,1024,64,[512; 8; 8; 1; 1024; 64],0.7443596719531342,0.07513041804991066,tvm
64,2,16,1,896,16,[64; 2; 16; 1; 896; 16],0.4780863400083035,0.11697479859466814,tvm
4,2,64,1,14336,64,[4; 2; 64; 1; 14336; 64],0.24255696509499103,0.23056049250711955,tvm
32,2,2,1,512,128,[32; 2; 2; 1; 512; 128],0.19991583202499896,0.2797379915680724,tvm
2048,32,4,1,1024,128,[2048; 32; 4; 1; 1024; 128],0.7765757659217343,0.0720136473315722,tvm
8,2,16,1,512,64,[8; 2; 16; 1; 512; 64],0.12455988198053092,0.44897323635931535,tvm
16,16,4,1,256,64,[16; 16; 4; 1; 256; 64],0.20092858094722033,0.2783280162020524,tvm
4096,1,8,1,64,64,[4096; 1; 8; 1; 64; 64],1.0487233960302547,0.053325837437234,tvm
8,4,64,1,256,16,[8; 4; 64; 1; 256; 16],0.1809035139158368,0.3091374629646571,tvm
32,8,8,1,2048,64,[32; 8; 8; 1; 2048; 64],0.21590581396594644,0.25902059933482807,tvm
128,64,16,1,896,64,[128; 64; 16; 1; 896; 64],0.23641538398806006,0.23654997568245276,tvm
64,1,32,1,1024,128,[64; 1; 32; 1; 1024; 128],0.1904529839521274,0.2936370550507652,tvm
32,2,32,1,128,16,[32; 2; 32; 1; 128; 16],0.23294992104638368,0.24006899458102007,tvm
4,1,4,1,1792,16,[4; 1; 4; 1; 1792; 16],0.16159870603587478,0.34606745750128864,tvm
16,4,32,1,2048,64,[16; 4; 32; 1; 2048; 64],0.132122514070943,0.42327421428951156,tvm
32,32,1,1,224,16,[32; 32; 1; 1; 224; 16],0.35174769104924053,0.15898911281127537,tvm
4096,4,32,1,14336,64,[4096; 4; 32; 1; 14336; 64],1.3225568339694291,0.04228480160318465,tvm
1,1,1,1,16,16,[1; 1; 1; 1; 16; 16],0.65442004497163,0.08545589910186464,tvm
4096,2,1,1,1792,64,[4096; 2; 1; 1; 1792; 64],0.8757926060352474,0.06385536135832894,tvm
128,2,16,1,128,128,[128; 2; 16; 1; 128; 128],0.22967423195950687,0.24349293717543868,tvm
32,4,64,1,256,16,[32; 4; 64; 1; 256; 16],0.23435220401734114,0.23863250430192318,tvm
8,8,4,1,1792,128,[8; 8; 4; 1; 1792; 128],0.19542495894711465,0.2861663813805244,tvm
64,32,16,1,2048,128,[64; 32; 16; 1; 2048; 128],0.19497653492726386,0.28682453175299194,tvm
2048,1,4,1,224,16,[2048; 1; 4; 1; 224; 16],1.0965840929420665,0.05099841744310972,tvm
2,1,8,1,1024,128,[2; 1; 8; 1; 1024; 128],0.2887406930094585,0.19368261795888048,tvm
16,16,64,1,512,16,[16; 16; 64; 1; 512; 16],0.19881719106342643,0.28128379157862915,tvm
512,4,16,1,64,16,[512; 4; 16; 1; 64; 16],1.2242019349941984,0.045682049451750265,tvm
64,8,32,1,64,16,[64; 8; 32; 1; 64; 16],0.3213003689888865,0.17405536604057775,tvm
4096,8,2,1,2048,64,[4096; 8; 2; 1; 2048; 64],0.9228771899361163,0.06059750305152143,tvm
2,2,8,1,14336,16,[2; 2; 8; 1; 14336; 16],0.4053510769736022,0.13796448686128765,tvm
2048,4,8,1,896,16,[2048; 4; 8; 1; 896; 16],1.1133513080421835,0.05023037466195211,tvm
32,8,8,1,128,64,[32; 8; 8; 1; 128; 64],0.23778315889649093,0.23518929428335822,tvm
8,4,4,1,224,16,[8; 4; 4; 1; 224; 16],0.14878888695966452,0.37586176277058847,tvm
32,1,16,1,448,64,[32; 1; 16; 1; 448; 64],0.22468572505749762,0.24889900468319576,tvm
2048,4,4,1,14336,16,[2048; 4; 4; 1; 14336; 16],1.7022228289861232,0.032853544424993275,tvm
1024,8,1,1,1024,128,[1024; 8; 1; 1; 1024; 128],0.7427648409502581,0.07529173467848418,tvm
64,1,4,1,1024,64,[64; 1; 4; 1; 1024; 64],0.21467250201385468,0.2605086949129799,tvm
2048,4,64,1,14336,128,[2048; 4; 64; 1; 14336; 128],0.858309073955752,0.06515607842241729,tvm
256,64,32,1,1792,64,[256; 64; 32; 1; 1792; 64],0.730208579916507,0.07658640951565888,tvm
2048,2,4,1,128,64,[2048; 2; 4; 1; 128; 64],0.8548235630150884,0.06542174988260849,tvm
128,8,64,1,2048,16,[128; 8; 64; 1; 2048; 16],0.4856968689709902,0.11514188562058361,tvm
256,64,2,1,896,64,[256; 64; 2; 1; 896; 64],0.7151258150115609,0.07820169844159415,tvm
4096,16,4,1,448,64,[4096; 16; 4; 1; 448; 64],1.2079009560402483,0.04629854215586025,tvm
64,4,4,1,1024,16,[64; 4; 4; 1; 1024; 16],0.4602876740973443,0.12149804672263763,tvm
128,2,8,1,112,16,[128; 2; 8; 1; 112; 16],0.4914433569647372,0.11379552198799196,tvm
4096,2,4,1,448,64,[4096; 2; 4; 1; 448; 64],1.368628497933969,0.04086138306907552,tvm
