i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
20,4,4,128,32,16,1024,64,1,[20; 4; 4; 128; 32; 16; 1024; 64; 1],0.6576457259943709,0.2224384778970896,tvm
1500,750,10,320,64,32,320,32,2,[1500; 750; 10; 320; 64; 32; 320; 32; 2],0.2689824540866539,0.5438485375651592,tvm
100,20,4,320,320,64,128,4,4,[100; 20; 4; 320; 320; 64; 128; 4; 4],0.3689335930394009,0.3965096078146819,tvm
750,50,2,640,160,160,256,2,10,[750; 50; 2; 640; 160; 160; 256; 2; 10],0.5113024259917438,0.2861040880100898,tvm
1500,60,3,32,32,32,40,2,2,[1500; 60; 3; 32; 32; 32; 40; 2; 2],0.4141072219936177,0.35325564616201954,tvm
60,1,1,1280,256,64,512,32,4,[60; 1; 1; 1280; 256; 64; 512; 32; 4],1.8101236809743568,0.08081531434745462,tvm
375,375,5,1280,320,16,32,32,1,[375; 375; 5; 1280; 320; 16; 32; 32; 1],0.43371177709195763,0.3372878533909355,tvm
375,125,5,32,32,32,640,1,2,[375; 125; 5; 32; 32; 32; 640; 1; 2],0.5033180740429088,0.2906426807022296,tvm
12,4,1,32,32,16,5120,64,1,[12; 4; 1; 32; 32; 16; 5120; 64; 1],2.4247626279247925,0.060329911308024155,tvm
300,300,3,320,80,16,5120,32,1,[300; 300; 3; 320; 80; 16; 5120; 32; 1],0.8430317419115454,0.17352337641998686,tvm
750,150,25,256,32,16,1280,8,1,[750; 150; 25; 256; 32; 16; 1280; 8; 1],0.6292281859787181,0.2324843634558068,tvm
15,5,1,640,320,160,128,4,10,[15; 5; 1; 640; 320; 160; 128; 4; 10],0.8177526999497786,0.17888747330910465,tvm
300,20,4,32,32,16,80,10,1,[300; 20; 4; 32; 32; 16; 80; 10; 1],0.4701004109811038,0.3111797200526047,tvm
500,10,2,640,160,80,40,10,5,[500; 10; 2; 640; 160; 80; 40; 10; 5],0.50892237003427,0.2874420990294918,tvm
1500,60,30,128,128,16,5120,10,1,[1500; 60; 30; 128; 128; 16; 5120; 10; 1],0.812113881111145,0.18012955779744122,tvm
1500,75,1,256,32,16,640,40,1,[1500; 75; 1; 256; 32; 16; 640; 40; 1],1.1565608630189672,0.12648336889410658,tvm
20,1,1,320,80,80,320,10,5,[20; 1; 1; 320; 80; 80; 320; 10; 5],1.8159853960387409,0.0805544552311992,tvm
750,6,1,1280,128,32,256,32,2,[750; 6; 1; 1280; 128; 32; 256; 32; 2],0.7937313700094819,0.18430128858831266,tvm
50,1,1,640,320,64,20,4,4,[50; 1; 1; 640; 320; 64; 20; 4; 4],2.0340902720345184,0.07191702172558831,tvm
100,50,25,256,128,16,5120,2,1,[100; 50; 25; 256; 128; 16; 5120; 2; 1],1.1307443670229986,0.12937116341410784,tvm
375,25,25,320,16,16,2,1,1,[375; 25; 25; 320; 16; 16; 2; 1; 1],0.8879201790550724,0.16475097394609506,tvm
100,20,1,160,160,16,2560,40,1,[100; 20; 1; 160; 160; 16; 2560; 40; 1],2.4251981339184567,0.06031907753836038,tvm
300,3,1,1280,1280,80,80,2,5,[300; 3; 1; 1280; 1280; 80; 80; 2; 5],1.0927503200946376,0.13386929438103046,tvm
1500,10,5,128,32,16,1024,8,1,[1500; 10; 5; 128; 32; 16; 1024; 8; 1],0.536633676965721,0.2725988333659103,tvm
250,25,5,320,32,32,4,2,2,[250; 25; 5; 320; 32; 32; 4; 2; 2],0.42398709792178124,0.3450239759717916,tvm
150,50,5,320,320,16,160,32,1,[150; 50; 5; 320; 320; 16; 160; 32; 1],0.31310860300436616,0.46720439132639996,tvm
100,100,4,320,160,80,20,4,5,[100; 100; 4; 320; 160; 80; 20; 4; 5],0.3362813330022618,0.4350099155956729,tvm
12,6,2,640,64,32,5,1,2,[12; 6; 2; 640; 64; 32; 5; 1; 2],0.49981124291662127,0.2926819201426362,tvm
60,12,12,640,320,16,80,2,1,[60; 12; 12; 640; 320; 16; 80; 2; 1],0.8149661180796102,0.17949913627136133,tvm
100,4,2,128,128,128,1280,1,8,[100; 4; 2; 128; 128; 128; 1280; 1; 8],0.8833784559974447,0.16559800988189083,tvm
375,5,1,320,320,16,1024,2,1,[375; 5; 1; 320; 320; 16; 1024; 2; 1],1.8522615591064095,0.07897681273280174,tvm
300,60,30,256,16,16,5120,1,1,[300; 60; 30; 256; 16; 16; 5120; 1; 1],0.9847920369356871,0.14854477777958278,tvm
250,250,10,256,256,16,640,64,1,[250; 250; 10; 256; 256; 16; 640; 64; 1],0.5789948779856786,0.2526545913405,tvm
20,5,5,320,64,16,40,2,1,[20; 5; 5; 320; 64; 16; 40; 2; 1],0.8670336570357904,0.16871976433514133,tvm
20,20,4,160,80,16,10,5,1,[20; 20; 4; 160; 80; 16; 10; 5; 1],0.3748887419933453,0.39021100902600864,tvm
30,1,1,160,160,80,256,1,5,[30; 1; 1; 160; 160; 80; 256; 1; 5],1.835284346016124,0.07970738409187582,tvm
750,50,2,640,160,32,40,40,2,[750; 50; 2; 640; 160; 32; 40; 40; 2],0.4210701020201668,0.34741415641690004,tvm
1500,300,6,1280,640,64,1280,4,4,[1500; 300; 6; 1280; 640; 64; 1280; 4; 4],0.5088393409969285,0.28748900192958415,tvm
12,3,1,1280,128,32,2560,1,2,[12; 3; 1; 1280; 128; 32; 2560; 1; 2],1.8980292819906026,0.07707242226120649,tvm
250,25,1,64,64,16,128,32,1,[250; 25; 1; 64; 64; 16; 128; 32; 1],1.0366567319724709,0.14111297382632443,tvm
1500,1500,2,640,64,16,320,5,1,[1500; 1500; 2; 640; 64; 16; 320; 5; 1],0.587139485985972,0.2491498490176649,tvm
375,375,15,320,320,16,512,64,1,[375; 375; 15; 320; 320; 16; 512; 64; 1],0.6271890350617468,0.23324022919391832,tvm
375,125,5,1280,320,32,128,1,2,[375; 125; 5; 1280; 320; 32; 128; 1; 2],0.428435834008269,0.3414413610484573,tvm
300,300,5,160,160,16,80,5,1,[300; 300; 5; 160; 160; 16; 80; 5; 1],0.4198591409949586,0.3484161710497826,tvm
375,15,1,1280,640,16,20,20,1,[375; 15; 1; 1280; 640; 16; 20; 20; 1],0.7174086449667811,0.20390849108388973,tvm
750,15,3,160,16,16,2560,2,1,[750; 15; 3; 160; 16; 16; 2560; 2; 1],0.8402683020103723,0.17409405297774586,tvm
1,1,1,1280,320,32,5120,32,2,[1; 1; 1; 1280; 320; 32; 5120; 32; 2],1.816479931003414,0.08053252435599816,tvm
300,60,2,160,32,32,2560,40,2,[300; 60; 2; 160; 32; 32; 2560; 40; 2],0.9718404249288142,0.150524417932532,tvm
